Id,name
1,
2,GRUPPO WASTE ITALIA SPA
3,INNOVATEC SPA
4,ENERTRONICA SANTERNO SPA
5,ECOSUNTEK SPA
6,ENERGY LAB SPA
7,PLT ENERGIA SPA
8,FRENI BREMBO SPA
9,IMMSI SPA
10,PIAGGIO NC SPA
11,LANDI RENZO S.P.A.
12,PININFARINA S.P.A.
13,SOGEFI SPA
14,
15,
16,
17,FERRARI NV
18,ENERGICA MOTOR COMPANY SPA
19,DAVIDE CAMPARI MILANO NV
20,ITALIAN WINE BRANDS SPA
21,MASSIMO ZANETTI BEVERAGE GROUP SPA
22,MASI AGRICOLA SPA
23,ISAGRO SPA
24,SOL SPA
25,BIO-ON SPA
26,ASTALDI
27,PANARIA GROUP INDUSTRIE CERAMICHE SPA
28,CALTAGIRONE SPA
29,BOERO BARTOLOMEO SPA
30,TREVI FINANZIARIA INDUSTRIALE
31,VISIBILIA EDITORE SPA
32,VIANINI SPA
33,GRUPPO CERAMICHE RICCHETTI S.P.A.
34,ITALCEMENTI SPA
35,CEMENTIR HOLDING NV
36,BUZZI UNICEM SPA
37,ITALMOBILIARE SPA
38,WEBUILD SPA
39,ALERION CLEANPOWER SPA
40,FALCK RENEWABLES SPA
41,SERI INDUSTRIAL SPA
42,ENEL SPA
43,TERNA RETE ELETTRICA NAZIONALE SPA
44,ERGYCAPITAL SPA
45,
46,ACEA SPA
47,A2A SPA
48,ENEL GREEN POWER SPA
49,FRENDY ENERGY SPA
50,INIZIATIVE BRESCIANE INBRE SPA
51,
52,ELETTRA INVESTIMENTI SPA
53,SAES GETTERS SPA
54,EL.EN SPA
55,DATALOGIC SPA
56,PRIMA INDUSTRIE SPA
57,NICE SPA
58,PRYSMIAN SPA
59,CEMBRE SPA
60,BEGHELLI SPA
61,GEFRAN
62,IRCE SPA
63,RETI TELEMATICHE ITALIANE SPA
64,TELECOM ITALIA SPA
65,MARR SPA
66,IVS GROUP SA
67,CENTRALE DEL LATTE D'ITALIA SPA
68,BIOERA SPA
69,PARMALAT SPA
70,VALSOIA SPA
71,ENERVIT SPA
72,LA DORIA SPA
73,SOCIETA PER LA BONIFICA DEI TERRENI FERRARESI E PER IMPRESE AGRICOLE SPA SA
74,
75,KI GROUP HOLDING SPA
76,SNAM SPA
77,IREN SPA
78,HERA SPA
79,ACSM-AGAM SPA
80,ASCOPIAVE SPA
81,EDISON SPA
82,GALA SPA
83,ZIGNAGO VETRO
84,CIR SPA - COMPAGNIE INDUSTRIALI RIUNITE
85,RENO DE MEDICI SPA
86,CIR SPA - COMPAGNIE INDUSTRIALI RIUNITE
87,NETWEEK SPA
88,CHL SPA
89,CASA DAMIANI SPA
90,YOOX NET-A-PORTER GROUP SPA
91,TRAWELL CO SPA
92,GRUPPO GREEN POWER SPA
93,
94,
95,AMPLIFON SPA
96,CICCOLELLA SPA
97,EUKEDOS SPA
98,DIASORIN S.P.A.
99,ITAL TBS SPA
100,DE LONGHI SPA
101,CALEFFI SPA
102,ELICA SPA
103,BIALETTI INDUSTRIE S.P.A.
104,PIQUADRO S.P.A.
105,ROSSS SPA.
106,EMAK SPA
107,ZUCCHI
108,FILA FABBRICA ITALIANA LAPIS ED AFFINI SPA
109,MOLESKINE SPA
110,TITANMET SPA
111,BORGOSESIA SPA
112,IMA INDUSTRIA MACCHINE AUTOMATICHE SPA
113,BIESSE SPA
114,FIDIA SPA
115,BOLZONI SPA
116,SABAF SPA
117,TESMEC S.P.A
118,CARRARO SPA
119,INTERPUMP GROUP SPA
120,FINCANTIERI SPA
121,CNH INDUSTRIAL NV
122,DANIELI & C. OFFICINE MECCANICHE S.P.A.
123,COSTAMP GROUP SPA
124,CLABO SPA
125,LUVE SPA
126,INTEK GROUP SPA
127,AUTOSTRADE MERIDIONALI
128,SIAS
129,AEROPORTO DI VENEZIA MARCO POLO - SAVE SPA
130,ANSALDO STS SPA
131,TOSCANA AEROPORTI SPA
132,ATLANTIA SPA
133,PREMUDA SPA
134,ASTM SPA
135,AEROPORTO GUGLIELMO MARCONI DI BOLOGNA SPA
136,DIGITAL BROS SPA
137,B&C SPEAKERS S.P.A.
138,
139,MONDO TV SPA
140,COSE BELLE D'ITALIA SPA
141,CALTAGIRONE EDITORE SPA
142,CAIRO COMMUNICATION SPA
143,MONRIF SPA
144,IL SOLE 24 ORE SPA
