Id,stock exchange
1,
2, ISE
3, ISE
4, ISE
5, ISE
6, ISE
7, ISE
8," ISE, OTH"
9," ISE, OTH"
10, ISE
11, ISE
12, ISE
13," ISE, OTH"
14,
15,
16,
17, ISE
18, ISE
19, ISE
20, ISE
21, ISE
22, ISE
23, ISE
24, ISE
25, ISE
26, ISE
27, ISE
28, ISE
29, ISE
30, ISE
31, ISE
32, ISE
33, ISE
34," FRA, ISE, OTH"
35, ISE
36, ISE
37, ISE
38, ISE
39," LON, ISE, OTH"
40, ISE
41, ISE
42, ISE
43, ISE
44, ISE
45,
46, ISE
47, ISE
48," FRA, MAD, ISE"
49, ISE
50, ISE
51,
52, ISE
53," ISE, OTH"
54, ISE
55, ISE
56, ISE
57, ISE
58, ISE
59, ISE
60, ISE
61, ISE
62, ISE
63, ISE
64," BRU, FRA, PAR, ISE, OTH"
65, ISE
66, ISE
67, ISE
68, ISE
69, ISE
70, ISE
71, ISE
72, ISE
73, ISE
74,
75, ISE
76, ISE
77," LON, ISE, BLN"
78, ISE
79," ISE, OTH"
80, ISE
81," DUS, FRA, ISE, OTH"
82, ISE
83, ISE
84, ISE
85," ISE, OTH"
86, ISE
87, ISE
88, ISE
89, ISE
90, ISE
91, ISE
92, ISE
93,
94,
95," ISE, OTH"
96, ISE
97, ISE
98, ISE
99, ISE
100, ISE
101, ISE
102, ISE
103, ISE
104, ISE
105, ISE
106, ISE
107, ISE
108, ISE
109, ISE
110," LON, ISE"
111, ISE
112, ISE
113," ISE, OTH"
114, ISE
115, ISE
116, ISE
117, ISE
118, ISE
119, ISE
120, ISE
121, ISE
122, ISE
123, ISE
124, ISE
125, TEL
126, ISE
127, ISE
128, ISE
129, ISE
130, ISE
131, ISE
132," FRA, ISE, OTH"
133, OTH
134," LON, ISE, OTH"
135, ISE
136, ISE
137, ISE
138,
139, OTH
140, OTH
141, ISE
142, ISE
143, ISE
144, ISE
145, ISE
146, ISE
147," DUS, FRA, ISE"
148," ISE, OTH"
149, ISE
150, ISE
151, ISE
152, ISE
153, ISE
154, ISE
155, ISE
156, ISE
157, ISE
158, ISE
159, ISE
160, ISE
161, OTH
162, ISE
163, ISE
164, ISE
165,
166, ISE
167, ISE
168, ISE
169, ISE
170, ISE
171, ISE
172, CAI
173," FRA, ISE"
174, ISE
175, ISE
176, ISE
177, ISE
178," LON, ISE, OTH, OTC, BLN"
179, ISE
180, ISE
181, PAR
182," DUS, FRA, LON, ISE, OTH"
183, ISE
184, ISE
185, ISE
186, ISE
187, ISE
188, ISE
189, MAD
190, ISE
191, ISE
192," ZHR, BLN"
193, ISE
194, ISE
195, ISE
196, ISE
197, ISE
198, ISE
199, ISE
200," ISE, OTH"
201, ISE
202, OTH
203," FRA, LON, ISE"
204, ISE
205, ISE
206, ISE
207," FRA, LON, ISE"
208, ISE
209, ISE
210, ISE
211, ISE
212, ISE
213, ISE
214, ISE
215, ISE
216, ISE
217, ISE
218, ISE
219, ISE
220, ISE
221, ISE
222, LON
223, OTH
224,
225, ISE
226, ISE
227, ISE
228," ISE, OTH"
229, ISE
230, ISE
231, ISE
232, ISE
233, ISE
234, ISE
235, ISE
236," ISE, OTH"
237," PAR, ISE, OTH"
238," FRA, ISE, OTH"
239, ISE
240, ISE
241, ISE
242, ISE
243,
244, ISE
245, ISE
246, ISE
247,
248,
249, ISE
250, ISE
251,
252,
253, ISE
254, ISE
255," LON, ISE"
256,
257, ISE
258, ISE
259,
260,
261,
262, ISE
263, ISE
264," ISE, OTH"
265, ISE
266, ISE
267,
268,
269, ISE
270, ISE
271, ISE
272, ISE
273, ISE
274, ISE
275, OTH
276,
277, PAR
278, ISE
279, ISE
280,
281,
282,
283,
284,
285,
286, ISE
287,
288, ISE
289,
290, ISE
291,
292, ISE
293, ISE
294, ISE
295,
296, ISE
297, ISE
298, ISE
299, ISE
300,
301,
302, ISE
303,
304,
305,
306,
307,
308, ISE
309,
310,
311,
312,
313,
314,
315,
316,
317,
318,
319,
320, ISE
321,
322,
323,
324,
325,
