Id,type security
1,
2,Azioni Ordinarie
3,AZIONI ORDINAIRE
4,Ordianry
5,Common
6,Ordinary
7,Ordinary
8,Azioni Ordinarie
9,Azioni Ordinarie
10,Aziohi Ordinarie
11,Azioni Ordinaire
12,Azioni Ordinarie
13,Azioni Ordinarie
14,
15,
16,
17,Common
18,Azioni Ordinaire
19,Azioni Ordinarie
20,Ordinary
21,Ordinary
22,Azioni Ordinaire
23,AZIONI ORDINAIRE
24,Azioni Ordinarie
25,Ordinary
26,Azioni Ordinaire
27,Azioni Ordinaire
28,Azioni Ordinarie
29,Azioni Ordinarie
30,Azioni Ordinarie
31,Azioni ordinaire
32,Azioni Ordinarie
33,Azioni Ordinaire
34,Azioni Ordinarie
35,Azioni Ordinarie
36,Azioni Ordinarie
37,Azioni Ordinarie
38,Azioni Ordinarie
39,Azioni Ordinarie
40,Azioni Ordinaire
41,AZIONI ORDINARIE
42,Azioni Ordinaire
43,Ordinaire
44,Azioni Ordinaire
45,
46,Azioni Ordinarie
47,Azioni Ordinaire
48,Ordinary
49,Ordinary
50,Ordinary
51,
52,Azioni Ordinaire
53,Azioni Ordinarie
54,Azioni Ordinarie
55,Azioni Ordinarie
56,Azioni Ordinaire
57,Aziohi Ordinarie
58,Azioni Ordinaire
59,Azioni Ordinarie
60,Azioni Ordinaire
61,Azioni Ordinarie
62,Azioni Ordinarie
63,Azioni Ordinarie
64,Azioni Ordinarie
65,Azioni Ordinaire
66,AZIONI ORDINAIRE
67,Azioni Ordinarie
68,Aziohi Ordinaire
69,Azioni Ordinaire
70,Aziohi Ordinarie
71,Azioni Ordinary
72,Azioni Ordinaire
73,Azioni Ordinarie
74,
75,Azioni Ordinaire
76,Azioni Ordinarie
77,Azioni Ordinarie
78,Azioni Ordinary
79,Azioni Ordinaire
80,Azioni Ordinaire
81,Azioni Di Risparmio
82,Azioni Ordinaire
83,Azioni Ordinaire
84,Azioni Ordinarie
85,Azioni Ordinarie
86,Azioni Ordinarie
87,Azioni Ordinarie
88,AZIONI ORDINAIRE
89,Azioni Ordinaire
90,Azioni Ordinaire
91,Azioni Ordinaires
92,Ordinary
93,
94,
95,Ordinary
96,Azioni Ordinarie
97,Aziohi Ordinarie
98,Azioni Ordinaire
99,
100,Ordinary Shares
101,Azioni Ordinaire
102,Azioni Ordinaire
103,Azion Ordinaire
104,Azioni Ordinaire
105,Ordinary
106,Azioni Ordinarie
107,Azioni Ordinarie
108,AZIONI ORDINAIRE
109,Ordinary
110,Azioni Ordinarie
111,Azioni Ordinarie
112,Azioni Ordinarie
113,Azioni Ordinarie
114,Azioni Ordinaire
115,Aziohi Ordinarie
116,Azioni Ordinarie
117,Azioni Ordinaire
118,Azioni Ordinarie
119,Azioni Ordinaire
120,Ordinary
121,Ordinary
122,Azioni Ordinarie
123,Azioni Ordinaire
124,Azioni Ordinaire
125,Azioni Ordinaire
126,Azioni Ordinarie
127,Azioni Ordinaire
128,Azioni Ordinaire
129,Azioni Ordinaire
130,Aziohi Ordinaire
131,Azioni Ordinaire
132,Azioni Ordinaire
133,Azioni Ordinarie
134,Azioni Ordinarie
135,Azioni Ordinaire
136,Azioni Ordinarie
137,Azioni Ordinaire
138,
139,Azioni Ordinarie
140,Azioni Ordinaire
141,Azioni Ordinarie
142,Azioni Ordinarie
143,Azioni Ordinarie
144,Azioni Di Risp
145,
146,Azioni Ordinarie
147,Azioni Ordinarie
148,Azioni Ordinarie
149,Azioni Ordinarie
150,Azioni Ordinaire
151,Azioni Ordinaire
152,Azioni Ordinaire
153,Azioni Ordinaire
154,AZIONI ORDINAIRE
155,AZIONI ORDINAIRE
156,Ordinary
157,Azioni Ordinaire
158,Azioni Ordinaire
159,AZIONI ORDINAIRE
160,Azioni Ordinaire
161,Azioni Ordinaire
162,Azioni Ordinaire
163,Azioni Ordinaire
164,Azioni Ordinarie
165,
166,Azioni Ordinaire
167,Aziohi Ordinarie
168,Azioni Ordinaire
169,Azioni Ordinaire
170,Azioni Ordinaire
171,Azioni Ordinaire
172,Azioni Ordinaire
173,Azioni Ordinarie
174,Azioni Ordinarie
175,Azioni Ordinarie
176,Azioni Ordinarie
177,Azioni Ordinaire
178,Azioni Ordinaire
179,Azioni Ordinarie
180,Azioni Ordinaire
181,Azioni Ordinaire
182,Azioni Ordinarie
183,Azioni Ordinaire
184,Azioni Ordinaire
185,Ordinary
186,Azioni Ordinarie
187,Ordinary
188,Azioni Ordinaire
189,Ordinary
190,Azioni Ordinaire
191,Aziohi Ordinaire
192,Azioni Ordinaire
193,Azioni Ordinaire
194,Azioni Ordinarie
195,Azioni Ordinaire
196,Azioni Ordinarie
197,Azioni Ordinarie
198,Azioni Ordinaire
199,Azioni Ordinaire
200,Azioni Ordinaire
201,Azioni Ordinarie
202,Azioni Ordinarie
203,Azioni Ordinarie
204,Azioni Ordinarie
205,Azioni Ordinarie
206,Aziohi Ordinarie
207,Azioni Ordinaire
208,
209,Azioni Ordinaire
210,Azioni Ordinaire
211,Azioni Ordinaire
212,Ordinary
213,Azioni Ordinaire
214,Azioni Ordinaire
215,Azioni Ordinaire
216,Ordinary
217,Ordinary
218,Azioni Ordinaire
219,Azioni Ordinaire
220,Azioni Ordinaire
221,Azioni Ordinaire
222,AZIONI ORDINAIRE
223,AZIONI ORINAIRE
224,
225,ORDINARY
226,Azioni Ordinaire
227,ORDINARY
228,Azioni Ordinarie
229,Ordinary
230,Ordinary
231,Azioni Ordinaire
232,Azioni Ordinaire
233,Azioni Ordinaire
234,Azioni Ordinaire
235,Aziohi Ordinarie
236,Azioni Ordinarie
237,Azioni Ordinarie
238,Azioni Ordinarie
239,Azioni Ordinarie
240,Azioni Ordinarie
241,Azioni Ordinarie
242,Azioni Ordinaire
243,
244,Azioni Ordinarie
245,Azioni Ordinaire
246,AZIONI ORDINARIE
247,
248,
249,Azioni Ordinaire
250,Ordinary
251,
252,
253,Ordinary
254,Azioni Ordinaire
255,Azioni Ordinaire
256,
257,Ordinary
258,Ordinary
259,
260,
261,
262,Azioni Ordinaire
