Date,Id,EBITDA
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,-1790
2009,2,170
2010,2,7050
2011,2,8839
2012,2,9385
2013,2,18870
2014,2,-8597
2015,2,17927
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,741
2015,3,-4197
2016,3,-27573
2017,3,7376
2018,3,21131
2019,3,7955
2020,3,1828
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,656
2014,4,-1435
2015,4,9112
2016,4,
2017,4,
2018,4,-7843
2019,4,5753
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,4100
2015,5,4531
2016,5,3548
2017,5,-198
2018,5,3846
2019,5,3872
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,2762
2015,6,3972
2016,6,-1500
2017,6,-8702
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,8820
2013,7,10505
2014,7,10481
2015,7,13737
2016,7,21553
2017,7,33192
2018,7,34628
2019,7,
2020,7,
2008,8,127483
2009,8,91702
2010,8,125930
2011,8,137454
2012,8,178310
2013,8,209328
2014,8,277450
2015,8,362222
2016,8,440025
2017,8,478621
2018,8,492167
2019,8,518425
2020,8,378310
2008,9,181128
2009,9,189667
2010,9,180924
2011,9,183633
2012,9,
2013,9,108591
2014,9,79538
2015,9,157726
2016,9,166612
2017,9,207837
2018,9,216629
2019,9,223431
2020,9,191496
2008,10,189669
2009,10,198948
2010,10,193260
2011,10,199796
2012,10,175851
2013,10,189690
2014,10,203753
2015,10,222733
2016,10,171760
2017,10,190571
2018,10,207162
2019,10,227181
2020,10,191003
2008,11,46678
2009,11,40392
2010,11,45387
2011,11,13123
2012,11,26679
2013,11,-6624
2014,11,18682
2015,11,-13305
2016,11,-3378
2017,11,21116
2018,11,17540
2019,11,23167
2020,11,3354
2008,12,-131303
2009,12,-8563
2010,12,-16798
2011,12,-527
2012,12,44894
2013,12,1781
2014,12,8238
2015,12,-8958
2016,12,26551
2017,12,7017
2018,12,6416
2019,12,-14076
2020,12,-17728
2008,13,104700
2009,13,43883
2010,13,82846
2011,13,104720
2012,13,115807
2013,13,127036
2014,13,103099
2015,13,111597
2016,13,142803
2017,13,145162
2018,13,180563
2019,13,166395
2020,13,129900
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,575725
2013,17,644781
2014,17,
2015,17,
2016,17,842799
2017,17,1042459
2018,17,1117377
2019,17,1276370
2020,17,1144834
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,-910
2016,18,-3341
2017,18,-3907
2018,18,-5260
2019,18,-4903
2020,18,-4491
2008,19,216586
2009,19,255108
2010,19,301100
2011,19,327100
2012,19,322400
2013,19,328600
2014,19,294200
2015,19,363000
2016,19,358200
2017,19,421200
2018,19,438200
2019,19,467100
2020,19,320200
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,10100
2016,20,8069
2017,20,12202
2018,20,11553
2019,20,14849
2020,20,21872
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,58173
2013,21,51948
2014,21,64717
2015,21,58825
2016,21,68009
2017,21,65935
2018,21,68678
2019,21,79141
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,20101
2012,22,20773
2013,22,17286
2014,22,17063
2015,22,14979
2016,22,14924
2017,22,12649
2018,22,11878
2019,22,10618
2020,22,4578
2008,23,23395
2009,23,22816
2010,23,20283
2011,23,13240
2012,23,18094
2013,23,14822
2014,23,12952
2015,23,18101
2016,23,19904
2017,23,13049
2018,23,14027
2019,23,-1991
2020,23,32711
2008,24,101663
2009,24,105044
2010,24,118173
2011,24,122152
2012,24,123628
2013,24,124394
2014,24,136546
2015,24,144969
2016,24,160875
2017,24,160725
2018,24,178255
2019,24,194002
2020,24,254012
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,
2013,25,
2014,25,
2015,25,
2016,25,860
2017,25,6850
2018,25,12141
2019,25,
2020,25,
2008,26,173994
2009,26,164639
2010,26,180912
2011,26,216985
2012,26,231148
2013,26,219003
2014,26,260533
2015,26,248554
2016,26,248459
2017,26,-3667
2018,26,-1882624
2019,26,29994
2020,26,2088913
2008,27,31740
2009,27,15401
2010,27,23486
2011,27,21771
2012,27,10641
2013,27,8153
2014,27,17651
2015,27,27849
2016,27,36860
2017,27,38161
2018,27,15631
2019,27,26574
2020,27,23227
2008,28,175243
2009,28,115297
2010,28,165254
2011,28,63005
2012,28,85817
2013,28,111569
2014,28,181753
2015,28,211150
2016,28,292466
2017,28,233906
2018,28,275193
2019,28,239261
2020,28,261129
2008,29,12920
2009,29,13203
2010,29,7944
2011,29,5428
2012,29,3001
2013,29,9761
2014,29,8191
2015,29,8126
2016,29,7443
2017,29,5010
2018,29,
2019,29,
2020,29,
2008,30,160367
2009,30,163103
2010,30,129222
2011,30,114822
2012,30,95540
2013,30,126497
2014,30,123616
2015,30,-37397
2016,30,7111
2017,30,-303993
2018,30,38233
2019,30,12067
2020,30,332003
2008,31,1916
2009,31,920
2010,31,-1175
2011,31,124
2012,31,9
2013,31,-134
2014,31,86
2015,31,
2016,31,-32
2017,31,190
2018,31,118
2019,31,-955
2020,31,
2008,32,-2578
2009,32,-908
2010,32,1888
2011,32,1716
2012,32,-2759
2013,32,-2576
2014,32,1027
2015,32,2169
2016,32,17512
2017,32,5647
2018,32,11537
2019,32,8319
2020,32,3731
2008,33,6193
2009,33,9698
2010,33,-2070
2011,33,-2149
2012,33,-1257
2013,33,-7078
2014,33,-4923
2015,33,-12819
2016,33,2215
2017,33,-5467
2018,33,-26353
