Date,Id,Earnings_Per_Share
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,-0.285
2009,2,-0.085
2010,2,0.024
2011,2,-0.109
2012,2,0.028
2013,2,0.067
2014,2,-0.527
2015,2,-0.699
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,-0.02
2015,3,-0.093
2016,3,-1.095
2017,3,0.107
2018,3,0.243
2019,3,0.066
2020,3,0.007
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,0.073
2014,4,-0.465
2015,4,0.35
2016,4,0.112
2017,4,-0.512
2018,4,-1.268
2019,4,0.054
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,-0.491
2015,5,0.152
2016,5,-0.352
2017,5,-1.89
2018,5,0.032
2019,5,0.077
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,0.09
2015,6,0.119
2016,6,-0.185
2017,6,-0.807
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,25.436
2013,7,0.828
2014,7,0.083
2015,7,0.17
2016,7,0.366
2017,7,0.253
2018,7,0.159
2019,7,
2020,7,
2008,8,0.114
2009,8,0.032
2010,8,0.098
2011,8,0.132
2012,8,0.238
2013,8,0.273
2014,8,0.396
2015,8,0.566
2016,8,0.74
2017,8,0.81
2018,8,0.733
2019,8,0.712
2020,8,0.422
2008,9,0.042
2009,9,0.048
2010,9,0.029
2011,9,0.027
2012,9,-0.099
2013,9,-0.099
2014,9,-0.208
2015,9,-0.028
2016,9,-0.025
2017,9,0.024
2018,9,0.038
2019,9,0.023
2020,9,0.029
2008,10,0.11
2009,10,0.12
2010,10,0.113
2011,10,0.126
2012,10,0.113
2013,10,-0.018
2014,10,0.044
2015,10,0.033
2016,10,0.039
2017,10,0.047
2018,10,0.101
2019,10,0.131
2020,10,0.088
2008,11,0.237
2009,11,0.198
2010,11,0.173
2011,11,-0.081
2012,11,0.025
2013,11,-0.227
2014,11,-0.016
2015,11,-0.314
2016,11,-0.224
2017,11,0.037
2018,11,0.042
2019,11,0.054
2020,11,-0.068
2008,12,-14.541
2009,12,-0.716
2010,12,-0.773
2011,12,-0.267
2012,12,0.766
2013,12,-0.242
2014,12,-0.029
2015,12,-0.423
2016,12,0.478
2017,12,0.024
2018,12,0.039
2019,12,-0.417
2020,12,-0.442
2008,13,0.25
2009,13,-0.067
2010,13,0.165
2011,13,0.216
2012,13,0.26
2013,13,0.187
2014,13,0.032
2015,13,0.01
2016,13,0.081
2017,13,0.228
2018,13,0.119
2019,13,0.027
2020,13,-0.298
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,1.193
2013,17,1.274
2014,17,1.383
2015,17,1.523
2016,17,2.111
2017,17,2.809
2018,17,4.16
2019,17,3.726
2020,17,3.289
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,-0.101
2016,18,-0.315
2017,18,-0.441
2018,18,-0.425
2019,18,-0.45
2020,18,-0.348
2008,19,0.11
2009,19,0.12
2010,19,0.135
2011,19,0.135
2012,19,0.136
2013,19,0.129
2014,19,0.112
2015,19,0.152
2016,19,0.144
2017,19,0.236
2018,19,0.257
2019,19,0.27
2020,19,0.166
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,0.546
2016,20,0.682
2017,20,1.194
2018,20,0.876
2019,20,1.102
2020,20,1.927
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,0.339
2013,21,0.254
2014,21,0.453
2015,21,0.363
2016,21,0.484
2017,21,0.523
2018,21,0.577
2019,21,0.442
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,0.336
2012,22,0.362
2013,22,0.281
2014,22,0.275
2015,22,0.193
2016,22,0.184
2017,22,0.21
2018,22,0.22
2019,22,0.135
2020,22,0.027
2008,23,0.01
2009,23,0.04
2010,23,-0.24
2011,23,0.59
2012,23,0.01
2013,23,-0.247
2014,23,-0.028
2015,23,0.081
2016,23,0.071
2017,23,0.006
2018,23,0.009
2019,23,-0.367
2020,23,0.425
2008,24,0.384
2009,24,0.277
2010,24,0.352
2011,24,0.343
2012,24,0.32
2013,24,0.238
2014,24,0.322
2015,24,0.358
2016,24,0.486
2017,24,0.444
2018,24,0.572
2019,24,0.544
2020,24,1.136
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,0.004
2013,25,0.011
2014,25,0.039
2015,25,0.21
2016,25,0.024
2017,25,0.305
2018,25,0.634
2019,25,
2020,25,
2008,26,0.43
2009,26,0.53
2010,26,0.64
2011,26,0.728
2012,26,0.758
2013,26,0.768
2014,26,0.833
2015,26,0.828
2016,26,0.742
2017,26,-1.034
2018,26,-19.499
2019,26,-0.736
2020,26,5.551
2008,27,0.12
2009,27,-0.1
2010,27,0.03
2011,27,0.034
2012,27,0.035
2013,27,-0.175
2014,27,-0.041
2015,27,0.131
2016,27,0.247
2017,27,0.253
2018,27,-0.09
2019,27,-0.141
2020,27,-0.127
2008,28,0.07
2009,28,0.02
2010,28,0.004
2011,28,-0.417
2012,28,-0.12
2013,28,0.054
2014,28,0.311
2015,28,0.374
2016,28,0.686
2017,28,0.407
2018,28,0.505
2019,28,0.367
2020,28,0.373
2008,29,1.19
2009,29,1.08
2010,29,0.1
2011,29,-0.4
2012,29,-0.442
2013,29,0.175
2014,29,0.17
2015,29,0.195
2016,29,0.037
2017,29,-0.276
2018,29,
2019,29,
2020,29,
2008,30,7.458
2009,30,8.205
2010,30,4.584
2011,30,2.52
2012,30,0.975
2013,30,1.244
2014,30,2.76
2015,30,-6.53
2016,30,-4.898
2017,30,-24.538
