Date,Id,Goodwill
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,2454
2009,2,26342
2010,2,26396
2011,2,22385
2012,2,35190
2013,2,32780
2014,2,212511
2015,2,207627
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,5694
2015,3,10311
2016,3,6742
2017,3,4
2018,3,2442
2019,3,5746
2020,3,22840
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,
2014,4,
2015,4,263
2016,4,71
2017,4,
2018,4,1318
2019,4,2106
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,
2015,5,
2016,5,
2017,5,1216
2018,5,1060
2019,5,794
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,
2015,6,
2016,6,219
2017,6,0
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,2307
2013,7,4229
2014,7,3898
2015,7,3619
2016,7,3341
2017,7,3155
2018,7,2877
2019,7,
2020,7,
2008,8,43265
2009,8,40947
2010,8,43721
2011,8,41255
2012,8,40763
2013,8,39556
2014,8,40789
2015,8,43946
2016,8,88880
2017,8,82837
2018,8,82722
2019,8,83883
2020,8,79882
2008,9,613982
2009,9,613982
2010,9,613982
2011,9,613982
2012,9,613982
2013,9,613982
2014,9,613982
2015,9,613982
2016,9,613982
2017,9,613982
2018,9,613982
2019,9,613982
2020,9,613982
2008,10,446940
2009,10,446940
2010,10,446940
2011,10,446940
2012,10,446940
2013,10,446940
2014,10,446940
2015,10,446940
2016,10,446940
2017,10,446940
2018,10,446940
2019,10,446940
2020,10,446940
2008,11,51961
2009,11,51961
2010,11,66225
2011,11,55582
2012,11,55582
2013,11,40190
2014,11,39942
2015,11,30094
2016,11,30094
2017,11,30094
2018,11,30094
2019,11,30094
2020,11,30094
2008,12,1043
2009,12,1043
2010,12,1043
2011,12,1043
2012,12,1043
2013,12,1043
2014,12,1043
2015,12,1043
2016,12,1043
2017,12,1043
2018,12,1043
2019,12,0
2020,12,0
2008,13,94071
2009,13,94079
2010,13,94079
2011,13,148998
2012,13,126639
2013,13,
2014,13,126639
2015,13,126639
2016,13,126639
2017,13,126639
2018,13,126639
2019,13,126639
2020,13,126639
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,
2013,17,787178
2014,17,787178
2015,17,787178
2016,17,785182
2017,17,785182
2018,17,785182
2019,17,785182
2020,17,785182
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,
2016,18,
2017,18,
2018,18,
2019,18,
2020,18,
2008,19,704647
2009,19,853656
2010,19,929500
2011,19,959700
2012,19,1057100
2013,19,976400
2014,19,1095400
2015,19,1146500
2016,19,1483200
2017,19,1297000
2018,19,1326400
2019,19,1390400
2020,19,1356600
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,55008
2016,20,55008
2017,20,55008
2018,20,55455
2019,20,55455
2020,20,68309
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,36662
2013,21,35590
2014,21,83639
2015,21,73148
2016,21,113928
2017,21,114438
2018,21,115702
2019,21,152502
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,20265
2012,22,18576
2013,22,16887
2014,22,15198
2015,22,13510
2016,22,11821
2017,22,14825
2018,22,14825
2019,22,14825
2020,22,14825
2008,23,14347
2009,23,17414
2010,23,3665
2011,23,5089
2012,23,4852
2013,23,3915
2014,23,3762
2015,23,3447
2016,23,3599
2017,23,3377
2018,23,3308
2019,23,3148
2020,23,4181
2008,24,6932
2009,24,12420
2010,24,21586
2011,24,22374
2012,24,24970
2013,24,24858
2014,24,39351
2015,24,56342
2016,24,60233
2017,24,84377
2018,24,97695
2019,24,134838
2020,24,139868
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,
2013,25,
2014,25,
2015,25,
2016,25,
2017,25,
2018,25,
2019,25,
2020,25,
2008,26,
2009,26,
2010,26,
2011,26,
2012,26,14745
2013,26,14745
2014,26,14527
2015,26,14745
2016,26,14745
2017,26,14745
2018,26,0
2019,26,
2020,26,
2008,27,12989
2009,27,12789
2010,27,12789
2011,27,12789
2012,27,8139
2013,27,8139
2014,27,8139
2015,27,8139
2016,27,8139
2017,27,8139
2018,27,8139
2019,27,8464
2020,27,8139
2008,28,868437
2009,28,867572
2010,28,882968
2011,28,854856
2012,28,
2013,28,
2014,28,
2015,28,673752
2016,28,
2017,28,348214
2018,28,355507
2019,28,350623
2020,28,
2008,29,7964
2009,29,7964
2010,29,7964
2011,29,7964
2012,29,7211
2013,29,7211
2014,29,7411
2015,29,7411
2016,29,7411
2017,29,7411
2018,29,
2019,29,
2020,29,
2008,30,1915
2009,30,6001
2010,30,6001
2011,30,6001
2012,30,6001
2013,30,6001
2014,30,6001
2015,30,6001
2016,30,6001
2017,30,0
2018,30,0
2019,30,0
2020,30,0
2008,31,2556
2009,31,2344
2010,31,1889
2011,31,1699
2012,31,1637
2013,31,1637
2014,31,4326
2015,31,4081
2016,31,3864
2017,31,3648
2018,31,3432
2019,31,3215
2020,31,
2008,32,
2009,32,
2010,32,
2011,32,
2012,32,
2013,32,
2014,32,
2015,32,
2016,32,
2017,32,
2018,32,
2019,32,
2020,32,
2008,33,4943
2009,33,5021
2010,33,5258
2011,33,5269
2012,33,5342
2013,33,5280
2014,33,5172
2015,33,5212
2016,33,5142
2017,33,5089
2018,33,5020
2019,33,
2020,33,
2008,34,1956717
2009,34,1961616
2010,34,2016614
2011,34,1919288
2012,34,1598687
2013,34,1508142
2014,34,1584870
2015,34,1603107
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
