Date,Id,International_Sales
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,3052
2009,2,
2010,2,0
2011,2,
2012,2,
2013,2,0
2014,2,0
2015,2,0
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,
2015,3,
2016,3,
2017,3,
2018,3,
2019,3,
2020,3,
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,
2014,4,
2015,4,
2016,4,
2017,4,
2018,4,19167
2019,4,46993
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,
2015,5,
2016,5,
2017,5,
2018,5,
2019,5,
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,
2015,6,
2016,6,
2017,6,
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,
2013,7,
2014,7,
2015,7,
2016,7,
2017,7,
2018,7,
2019,7,
2020,7,
2008,8,175271
2009,8,655319
2010,8,876735
2011,8,1030860
2012,8,1180960
2013,8,1354029
2014,8,1561205
2015,8,1825594
2016,8,2022450
2017,8,2174438
2018,8,2360047
2019,8,2314697
2020,8,1963707
2008,9,606306
2009,9,604321
2010,9,657862
2011,9,682413
2012,9,658773
2013,9,606515
2014,9,600451
2015,9,644563
2016,9,615668
2017,9,615668
2018,9,673184
2019,9,740528
2020,9,565384
2008,10,1069674
2009,10,431400
2010,10,546519
2011,10,582566
2012,10,568897
2013,10,513500
2014,10,
2015,10,0
2016,10,0
2017,10,0
2018,10,592200
2019,10,653700
2020,10,482600
2008,11,147944
2009,11,133936
2010,11,212790
2011,11,208730
2012,11,197206
2013,11,171878
2014,11,190554
2015,11,163788
2016,11,145775
2017,11,165853
2018,11,154782
2019,11,156639
2020,11,118670
2008,12,374850
2009,12,119113
2010,12,126355
2011,12,44968
2012,12,54960
2013,12,59176
2014,12,63298
2015,12,56695
2016,12,
2017,12,64320
2018,12,80165
2019,12,77326
2020,12,56675
2008,13,192773
2009,13,153256
2010,13,229723
2011,13,312476
2012,13,442206
2013,13,475649
2014,13,477291
2015,13,555254
2016,13,616886
2017,13,654964
2018,13,637671
2019,13,599271
2020,13,455253
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,2008876
2013,17,1962453
2014,17,2248083
2015,17,2615837
2016,17,2717900
2017,17,2852969
2018,17,2971009
2019,17,3402836
2020,17,3099290
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,
2016,18,
2017,18,
2018,18,2048
2019,18,3039
2020,18,5408
2008,19,555027
2009,19,620361
2010,19,765700
2011,19,871600
2012,19,2136200
2013,19,1147800
2014,19,1148100
2015,19,1131500
2016,19,1193700
2017,19,1279700
2018,19,1231900
2019,19,1343800
2020,19,1308400
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,
2016,20,
2017,20,
2018,20,116045
2019,20,124161
2020,20,164774
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,830160
2013,21,720160
2014,21,694404
2015,21,852312
2016,21,692807
2017,21,708902
2018,21,656253
2019,21,686643
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,55902
2012,22,59982
2013,22,58724
2014,22,53514
2015,22,53795
2016,22,53936
2017,22,51662
2018,22,51040
2019,22,50157
2020,22,40230
2008,23,
2009,23,126642
2010,23,101403
2011,23,106567
2012,23,116616
2013,23,37060
2014,23,48751
2015,23,44462
2016,23,47449
2017,23,45342
2018,23,41982
2019,23,10691
2020,23,
2008,24,172204
2009,24,
2010,24,217264
2011,24,246205
2012,24,272803
2013,24,287163
2014,24,322034
2015,24,349315
2016,24,372127
2017,24,408645
2018,24,452755
2019,24,509496
2020,24,548907
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,
2013,25,0
2014,25,0
2015,25,0
2016,25,0
2017,25,0
2018,25,0
2019,25,
2020,25,
2008,26,429283
2009,26,674161
2010,26,692708
2011,26,778348
2012,26,1113191
2013,26,1580000
2014,26,1920000
2015,26,2262000
2016,26,2400000
2017,26,2188000
2018,26,764000
2019,26,938000
2020,26,855034
2008,27,235245
2009,27,201989
2010,27,206891
2011,27,210272
2012,27,208294
2013,27,207458
2014,27,226729
2015,27,
2016,27,0
2017,27,0
2018,27,0
2019,27,0
2020,27,0
2008,28,883043
2009,28,666635
2010,28,734355
2011,28,806137
2012,28,856253
2013,28,901107
2014,28,887617
2015,28,897846
2016,28,943857
2017,28,1207708
2018,28,1286777
2019,28,1242371
2020,28,
2008,29,2202
2009,29,1030
2010,29,1801
2011,29,3233
2012,29,1951
2013,29,2281
2014,29,3101
2015,29,1504
2016,29,1338
2017,29,1619
2018,29,
2019,29,
2020,29,
2008,30,941217
2009,30,904276
2010,30,822404
2011,30,942144
2012,30,1010718
2013,30,1179176
2014,30,1128901
2015,30,1268408
2016,30,1014665
2017,30,889670
2018,30,572734
2019,30,565113
2020,30,442639
2008,31,
2009,31,
2010,31,
2011,31,
2012,31,0
2013,31,0
2014,31,
2015,31,
2016,31,
2017,31,
2018,31,
2019,31,
2020,31,
2008,32,0
2009,32,
2010,32,0
2011,32,0
2012,32,0
2013,32,0
2014,32,0
2015,32,
2016,32,
2017,32,
2018,32,
2019,32,
2020,32,
2008,33,191220
2009,33,156664
2010,33,162992
2011,33,162720
2012,33,166107
2013,33,163987
2014,33,
2015,33,
2016,33,
2017,33,
2018,33,
2019,33,
2020,33,
2008,34,4562861
2009,34,4068179
2010,34,4101469
2011,34,3802482
2012,34,3610535
2013,34,3501810
2014,34,3513773
2015,34,3674783
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,906719
2009,35,685469
2010,35,724961
