Date,Id,Invst_Unconsolidated_Subdrs
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,150
2009,2,3009
2010,2,7864
2011,2,6418
2012,2,6155
2013,2,7372
2014,2,9306
2015,2,17300
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,926
2015,3,1149
2016,3,799
2017,3,1299
2018,3,794
2019,3,1159
2020,3,1246
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,116
2014,4,554
2015,4,173
2016,4,331
2017,4,737
2018,4,151
2019,4,127
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,565
2015,5,566
2016,5,538
2017,5,595
2018,5,494
2019,5,478
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,157
2015,6,181
2016,6,180
2017,6,300
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,11117
2013,7,10765
2014,7,10509
2015,7,10215
2016,7,24
2017,7,181
2018,7,185
2019,7,
2020,7,
2008,8,830
2009,8,24479
2010,8,22515
2011,8,20813
2012,8,20515
2013,8,21926
2014,8,28176
2015,8,24999
2016,8,26969
2017,8,34300
2018,8,39564
2019,8,43149
2020,8,43947
2008,9,255
2009,9,251
2010,9,206
2011,9,2486
2012,9,6069
2013,9,8168
2014,9,8831
2015,9,9546
2016,9,7464
2017,9,7583
2018,9,7999
2019,9,8972
2020,9,9194
2008,10,1038
2009,10,698
2010,10,637
2011,10,2887
2012,10,6421
2013,10,8152
2014,10,8818
2015,10,9529
2016,10,7445
2017,10,7553
2018,10,7934
2019,10,8910
2020,10,9134
2008,11,0
2009,11,0
2010,11,0
2011,11,0
2012,11,0
2013,11,0
2014,11,180
2015,11,109
2016,11,43
2017,11,24301
2018,11,22292
2019,11,23530
2020,11,22509
2008,12,33877
2009,12,65039
2010,12,39561
2011,12,29478
2012,12,104
2013,12,51
2014,12,59
2015,12,71
2016,12,85
2017,12,97
2018,12,605
2019,12,602
2020,12,615
2008,13,101
2009,13,101
2010,13,
2011,13,303
2012,13,298
2013,13,0
2014,13,0
2015,13,0
2016,13,0
2017,13,0
2018,13,0
2019,13,0
2020,13,0
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,
2013,17,0
2014,17,0
2015,17,0
2016,17,20948
2017,17,23340
2018,17,25972
2019,17,30012
2020,17,34663
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,0
2016,18,0
2017,18,0
2018,18,0
2019,18,0
2020,18,0
2008,19,1101
2009,19,665
2010,19,
2011,19,
2012,19,200
2013,19,900
2014,19,700
2015,19,0
2016,19,0
2017,19,0
2018,19,400
2019,19,500
2020,19,26100
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,3
2016,20,2
2017,20,2
2018,20,2
2019,20,2
2020,20,2
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,4000
2013,21,4000
2014,21,128
2015,21,138
2016,21,10943
2017,21,9616
2018,21,10404
2019,21,11166
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,47
2012,22,47
2013,22,47
2014,22,419
2015,22,419
2016,22,419
2017,22,564
2018,22,574
2019,22,574
2020,22,90
2008,23,159
2009,23,175
2010,23,194
2011,23,195
2012,23,195
2013,23,323
2014,23,0
2015,23,
2016,23,
2017,23,
2018,23,
2019,23,4176
2020,23,3140
2008,24,474
2009,24,509
2010,24,433
2011,24,436
2012,24,781
2013,24,778
2014,24,8881
2015,24,10552
2016,24,10808
2017,24,13102
2018,24,14314
2019,24,17535
2020,24,9433
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,0
2013,25,0
2014,25,0
2015,25,0
2016,25,0
2017,25,0
2018,25,
2019,25,
2020,25,
2008,26,51222
2009,26,89924
2010,26,93910
2011,26,94188
2012,26,104414
2013,26,393532
2014,26,433619
2015,26,555393
2016,26,493191
2017,26,344948
2018,26,457078
2019,26,454269
2020,26,37577
2008,27,
2009,27,
2010,27,
2011,27,
2012,27,
2013,27,352
2014,27,352
2015,27,180
2016,27,70
2017,27,300
2018,27,161
2019,27,32
2020,27,43
2008,28,82570
2009,28,83964
2010,28,80367
2011,28,110758
2012,28,177912
2013,28,125139
2014,28,150618
2015,28,153737
2016,28,104028
2017,28,63576
2018,28,45534
2019,28,46837
2020,28,49432
2008,29,0
2009,29,0
2010,29,0
2011,29,0
2012,29,1472
2013,29,1759
2014,29,1825
2015,29,1884
2016,29,1709
2017,29,1661
2018,29,
2019,29,
2020,29,
2008,30,1472
2009,30,2605
2010,30,2782
2011,30,3218
2012,30,3934
2013,30,708
2014,30,125
2015,30,39
2016,30,31
2017,30,21
2018,30,687
2019,30,3403
2020,30,2995
2008,31,
2009,31,
2010,31,
2011,31,
2012,31,0
2013,31,0
2014,31,0
2015,31,0
2016,31,0
2017,31,0
2018,31,0
2019,31,0
2020,31,
2008,32,33
2009,32,20
2010,32,18
2011,32,17
2012,32,22893
2013,32,60954
2014,32,10
2015,32,10
2016,32,10
2017,32,10
2018,32,8
2019,32,0
2020,32,0
2008,33,6687
2009,33,6741
2010,33,6649
2011,33,2103
2012,33,1902
2013,33,1879
2014,33,1844
2015,33,1772
2016,33,1820
2017,33,1902
2018,33,1844
2019,33,
2020,33,
2008,34,218884
2009,34,228437
2010,34,212261
2011,34,216742
2012,34,207488
2013,34,189226
2014,34,207567
2015,34,203224
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,20338
2009,35,18939
2010,35,16868
2011,35,15956
2012,35,16917
2013,35,17240
2014,35,20342
2015,35,23430
2016,35,22893
2017,35,22470
2018,35,3613
