Date,Id,LT_Receivables
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,8
2009,2,1182
2010,2,1730
2011,2,577
2012,2,740
2013,2,0
2014,2,0
2015,2,0
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,3319
2015,3,2717
2016,3,695
2017,3,1073
2018,3,818
2019,3,872
2020,3,2301
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,0
2014,4,0
2015,4,0
2016,4,223
2017,4,121
2018,4,2785
2019,4,3663
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,3190
2015,5,2608
2016,5,2176
2017,5,3118
2018,5,5456
2019,5,5204
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,2718
2015,6,5056
2016,6,4369
2017,6,3682
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,1072
2013,7,984
2014,7,99
2015,7,147
2016,7,200
2017,7,137
2018,7,169
2019,7,
2020,7,
2008,8,210
2009,8,983
2010,8,548
2011,8,2840
2012,8,3957
2013,8,0
2014,8,0
2015,8,0
2016,8,0
2017,8,0
2018,8,0
2019,8,0
2020,8,0
2008,9,33371
2009,9,25419
2010,9,19710
2011,9,19025
2012,9,23397
2013,9,20241
2014,9,19712
2015,9,21297
2016,9,31267
2017,9,33899
2018,9,35859
2019,9,31346
2020,9,41935
2008,10,19954
2009,10,17445
2010,10,13179
2011,10,15736
2012,10,14632
2013,10,16342
2014,10,6775
2015,10,7921
2016,10,17946
2017,10,22758
2018,10,20351
2019,10,17001
2020,10,21494
2008,11,73
2009,11,137
2010,11,288
2011,11,170
2012,11,0
2013,11,0
2014,11,0
2015,11,0
2016,11,0
2017,11,0
2018,11,0
2019,11,0
2020,11,0
2008,12,128373
2009,12,70766
2010,12,11550
2011,12,0
2012,12,50
2013,12,80
2014,12,1770
2015,12,269
2016,12,134
2017,12,100
2018,12,550
2019,12,550
2020,12,550
2008,13,8772
2009,13,9097
2010,13,10146
2011,13,15020
2012,13,17022
2013,13,31586
2014,13,34787
2015,13,47826
2016,13,45592
2017,13,39601
2018,13,39399
2019,13,40335
2020,13,36159
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,
2013,17,0
2014,17,0
2015,17,0
2016,17,0
2017,17,0
2018,17,0
2019,17,0
2020,17,0
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,1
2016,18,0
2017,18,0
2018,18,0
2019,18,0
2020,18,0
2008,19,7179
2009,19,1848
2010,19,1900
2011,19,3000
2012,19,0
2013,19,31400
2014,19,54100
2015,19,34200
2016,19,61400
2017,19,44200
2018,19,22400
2019,19,21100
2020,19,11000
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,0
2016,20,0
2017,20,0
2018,20,0
2019,20,0
2020,20,0
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,17097
2013,21,16551
2014,21,15079
2015,21,13783
2016,21,13302
2017,21,3076
2018,21,9323
2019,21,19320
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,75
2012,22,75
2013,22,37
2014,22,339
2015,22,337
2016,22,461
2017,22,300
2018,22,355
2019,22,249
2020,22,253
2008,23,7209
2009,23,9479
2010,23,3711
2011,23,3609
2012,23,5484
2013,23,531
2014,23,1761
2015,23,1557
2016,23,1122
2017,23,759
2018,23,687
2019,23,2837
2020,23,1630
2008,24,1076
2009,24,1553
2010,24,1402
2011,24,1554
2012,24,0
2013,24,0
2014,24,0
2015,24,0
2016,24,0
2017,24,0
2018,24,2
2019,24,2
2020,24,649
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,0
2013,25,0
2014,25,0
2015,25,0
2016,25,0
2017,25,0
2018,25,261
2019,25,
2020,25,
2008,26,21499
2009,26,17708
2010,26,90088
2011,26,167944
2012,26,216410
2013,26,0
2014,26,0
2015,26,38143
2016,26,36442
2017,26,31505
2018,26,12660
2019,26,8461
2020,26,4118
2008,27,254
2009,27,
2010,27,278
2011,27,261
2012,27,441
2013,27,952
2014,27,1064
2015,27,802
2016,27,777
2017,27,537
2018,27,564
2019,27,368
2020,27,406
2008,28,5022
2009,28,10445
2010,28,13600
2011,28,19913
2012,28,0
2013,28,0
2014,28,0
2015,28,0
2016,28,0
2017,28,0
2018,28,0
2019,28,0
2020,28,0
2008,29,2538
2009,29,2746
2010,29,3042
2011,29,2291
2012,29,49
2013,29,49
2014,29,54
2015,29,30
2016,29,32
2017,29,30
2018,29,
2019,29,
2020,29,
2008,30,13732
2009,30,14106
2010,30,18946
2011,30,10482
2012,30,17616
2013,30,22555
2014,30,24551
2015,30,29172
2016,30,24047
2017,30,23247
2018,30,8310
2019,30,5469
2020,30,12643
2008,31,
2009,31,
2010,31,
2011,31,
2012,31,212
2013,31,200
2014,31,79
2015,31,0
2016,31,0
2017,31,0
2018,31,0
2019,31,6
2020,31,
2008,32,28
2009,32,9
2010,32,28
2011,32,38
2012,32,0
2013,32,0
2014,32,0
2015,32,0
2016,32,0
2017,32,0
2018,32,0
2019,32,0
2020,32,0
2008,33,1407
2009,33,1204
2010,33,1177
2011,33,1149
2012,33,1100
2013,33,747
2014,33,574
2015,33,1660
2016,33,1058
2017,33,500
2018,33,135
2019,33,
2020,33,
2008,34,33765
2009,34,49599
2010,34,50366
2011,34,171877
2012,34,0
2013,34,117476
2014,34,69345
2015,34,62083
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,234
2009,35,455
2010,35,527
2011,35,1620
2012,35,0
2013,35,0
2014,35,0
2015,35,0
2016,35,0
2017,35,0
2018,35,0
