Date,Id,Market_Cap_Fis_Period_End
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,15085
2009,2,46711
2010,2,52938
2011,2,26869
2012,2,26974
2013,2,64445
2014,2,47650
2015,2,40652
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,52299
2015,3,88110
2016,3,3025
2017,3,7654
2018,3,6391
2019,3,34806
2020,3,71240
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,13888
2014,4,13015
2015,4,13226
2016,4,13973
2017,4,14356
2018,4,10861
2019,4,9891
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,19783
2015,5,10298
2016,5,5612
2017,5,13724
2018,5,7453
2019,5,11822
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,24514
2015,6,21121
2016,6,5664
2017,6,7288
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,
2013,7,
2014,7,49990
2015,7,42503
2016,7,58505
2017,7,59366
2018,7,61710
2019,7,
2020,7,
2008,8,245695
2009,8,341098
2010,8,504786
2011,8,430548
2012,8,634440
2013,8,1273433
2014,8,1801537
2015,8,2905873
2016,8,3739653
2017,8,4120122
2018,8,2892541
2019,8,3582193
2020,8,3497982
2008,9,238696
2009,9,288288
2010,9,277702
2011,9,190697
2012,9,152489
2013,9,158687
2014,9,183886
2015,9,159368
2016,9,125894
2017,9,240925
2018,9,137234
2019,9,191378
2020,9,140809
2008,10,465588
2009,10,736988
2010,10,863159
2011,10,663479
2012,10,730937
2013,10,868453
2014,10,870512
2015,10,840133
2016,10,568032
2017,10,823753
2018,10,654326
2019,10,981736
2020,10,962809
2008,11,370125
2009,11,383906
2010,11,335813
2011,11,137363
2012,11,166500
2013,11,134775
2014,11,111375
2015,11,83756
2016,11,38858
2017,11,176625
2018,11,126450
2019,11,101588
2020,11,92025
2008,12,35251
2009,12,83744
2010,12,106658
2011,12,96482
2012,12,89548
2013,12,93165
2014,12,94975
2015,12,111558
2016,12,53065
2017,12,107728
2018,12,123196
2019,12,88570
2020,12,62683
2008,13,141599
2009,13,240947
2010,13,282763
2011,13,220923
2012,13,218544
2013,13,479150
2014,13,238468
2015,13,249883
2016,13,283740
2017,13,470332
2018,13,175446
2019,13,188337
2020,13,139471
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,
2013,17,
2014,17,
2015,17,
2016,17,13571626
2017,17,21464375
2018,17,21210206
2019,17,36772413
2020,17,46803086
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,
2016,18,37162
2017,18,40804
2018,18,39861
2019,18,41058
2020,18,33576
2008,19,1384604
2009,19,2100565
2010,19,2817406
2011,19,2970998
2012,19,3342551
2013,19,3500154
2014,19,2976901
2015,19,4632628
2016,19,5383162
2017,19,7428165
2018,19,8467774
2019,19,9343872
2020,19,16546133
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,66021
2016,20,55327
2017,20,70948
2018,20,85889
2019,20,91394
2020,20,153166
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,
2013,21,
2014,21,
2015,21,326022
2016,21,238214
2017,21,253820
2018,21,197225
2019,21,200998
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,
2012,22,
2013,22,
2014,22,
2015,22,138700
2016,22,140758
2017,22,142430
2018,22,118638
2019,22,100955
2020,22,78127
2008,23,44800
2009,23,57925
2010,23,59413
2011,23,43680
2012,23,37275
2013,23,39550
2014,23,55769
2015,23,58012
2016,23,42658
2017,23,66405
2018,23,53005
2019,23,47135
2020,23,42714
2008,24,249425
2009,24,360533
2010,24,447151
2011,24,371870
2012,24,362800
2013,24,514723
2014,24,603609
2015,24,749182
2016,24,722879
2017,24,964141
2018,24,986816
2019,24,952350
2020,24,1269800
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,
2013,25,
2014,25,80048
2015,25,221722
2016,25,216253
2017,25,546121
2018,25,1069276
2019,25,
2020,25,
2008,26,384157
2009,26,583137
2010,26,480450
2011,26,484179
2012,26,494953
2013,26,749461
2014,26,466186
2015,26,548159
2016,26,527944
2017,26,207516
2018,26,50697
2019,26,54759
2020,26,432362
2008,27,101077
2009,27,84770
2010,27,68867
2011,27,43845
2012,27,48876
2013,27,56962
2014,27,56154
2015,27,158129
2016,27,150043
2017,27,260554
2018,27,66037
2019,27,69092
2020,27,40880
2008,28,293693
2009,28,293693
2010,28,212492
2011,28,166967
2012,28,140420
2013,28,243603
2014,28,230150
2015,28,283483
2016,28,249850
2017,28,362522
2018,28,273874
2019,28,348348
2020,28,361561
2008,29,100634
2009,29,85646
2010,29,85646
2011,29,89928
2012,29,88172
2013,29,85646
2014,29,87359
2015,29,95495
2016,29,78923
2017,29,84233
2018,29,
2019,29,
2020,29,
2008,30,465664
2009,30,705920
2010,30,689920
2011,30,345075
2012,30,283066
2013,30,440714
2014,30,465610
2015,30,301180
2016,30,161452
2017,30,51694
2018,30,49538
2019,30,26218
2020,30,178889
2008,31,
2009,31,
2010,31,7345
2011,31,5182
2012,31,4116
2013,31,2335
2014,31,14249
2015,31,6540
2016,31,1813
2017,31,4783
2018,31,920
2019,31,1860
2020,31,
2008,32,46061
2009,32,41846
2010,32,38565
2011,32,37933
2012,32,30105
2013,32,36397
2014,32,35524
2015,32,36397
2016,32,33869
2017,32,37180
2018,32,34170
2019,32,34019
2020,32,31611
2008,33,52511
2009,33,26089
2010,33,21017
2011,33,13294
2012,33,13976
2013,33,14307
2014,33,17350
2015,33,18776
2016,33,13386
2017,33,22133
2018,33,16856
2019,33,
2020,33,
