Date,Id,Net_income
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,-2174
2009,2,-1816
2010,2,572
2011,2,-2810
2012,2,737
2013,2,1962
2014,2,-29549
2015,2,-39236
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,-1427
2015,3,-11786
2016,3,-33141
2017,3,3237
2018,3,16618
2019,3,5086
2020,3,673
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,253
2014,4,-1610
2015,4,1206
2016,4,463
2017,4,-2404
2018,4,-9839
2019,4,421
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,-715
2015,5,227
2016,5,-525
2017,5,-3239
2018,5,56
2019,5,132
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,1083
2015,6,1434
2016,6,-2234
2017,6,-9750
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,1526
2013,7,1655
2014,7,1986
2015,7,4059
2016,7,8757
2017,7,6047
2018,7,3803
2019,7,
2020,7,
2008,8,37512
2009,8,10528
2010,8,32271
2011,8,42937
2012,8,77770
2013,8,89016
2014,8,129054
2015,8,183962
2016,8,240632
2017,8,263428
2018,8,238349
2019,8,231301
2020,8,136533
2008,9,14212
2009,9,16210
2010,9,9816
2011,9,9094
2012,9,-33609
2013,9,-33551
2014,9,-70814
2015,9,-9554
2016,9,-8663
2017,9,8189
2018,9,12863
2019,9,7889
2020,9,9754
2008,10,43001
2009,10,46031
2010,10,42811
2011,10,47053
2012,10,42008
2013,10,-6547
2014,10,16065
2015,10,11873
2016,10,14040
2017,10,16884
2018,10,36075
2019,10,46749
2020,10,31322
2008,11,26706
2009,11,22238
2010,11,19459
2011,11,-9138
2012,11,2863
2013,11,-25558
2014,11,-1783
2015,11,-35288
2016,11,-25245
2017,11,4139
2018,11,4671
2019,11,6048
2020,11,-7662
2008,12,-204126
2009,12,-30747
2010,12,-33076
2011,12,-11485
2012,12,32863
2013,12,-10387
2014,12,-1263
2015,12,-18169
2016,12,20531
2017,12,1312
2018,12,2173
2019,12,-23075
2020,12,-24438
2008,13,28495
2009,13,-7639
2010,13,18821
2011,13,24736
2012,13,29325
2013,13,21124
2014,13,3639
2015,13,1120
2016,13,9336
2017,13,26604
2018,13,14005
2019,13,3202
2020,13,-35131
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,225403
2013,17,240774
2014,17,261371
2015,17,287816
2016,17,398762
2017,17,530747
2018,17,784678
2019,17,695818
2020,17,607817
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,-1295
2016,18,-4024
2017,18,-5824
2018,18,-7270
2019,18,-7705
2020,18,-6335
2008,19,126547
2009,19,137112
2010,19,156200
2011,19,159200
2012,19,156700
2013,19,149800
2014,19,128900
2015,19,175400
2016,19,166300
2017,19,274500
2018,19,296300
2019,19,308400
2020,19,187900
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,3592
2016,20,4340
2017,20,6733
2018,20,6350
2019,20,7899
2020,20,14193
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,9487
2013,21,7106
2014,21,12688
2015,21,11495
2016,21,16586
2017,21,17936
2018,21,19792
2019,21,15172
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,9340
2012,22,10075
2013,22,7826
2014,22,7634
2015,22,6195
2016,22,5914
2017,22,6736
2018,22,7079
2019,22,4349
2020,22,882
2008,23,96
2009,23,660
2010,23,-4252
2011,23,10315
2012,23,221
2013,23,-4329
2014,23,-878
2015,23,3132
2016,23,2733
2017,23,213
2018,23,363
2019,23,-13907
2020,23,16151
2008,24,34801
2009,24,25086
2010,24,31880
2011,24,31146
2012,24,29027
2013,24,21629
2014,24,29181
2015,24,32441
2016,24,44125
2017,24,40239
2018,24,51880
2019,24,49338
2020,24,103047
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,51
2013,25,136
2014,25,515
2015,25,3009
2016,25,358
2017,25,5233
2018,25,11932
2019,25,
2020,25,
2008,26,42101
2009,26,51458
2010,26,63056
2011,26,71195
2012,26,74126
2013,26,75213
2014,26,81559
2015,26,80876
2016,26,72457
2017,26,-101175
2018,26,-1908424
2019,26,-72000
2020,26,1801721
2008,27,5445
2009,27,-4608
2010,27,1444
2011,27,1551
2012,27,1591
2013,27,-7851
2014,27,-1841
2015,27,5865
2016,27,11215
2017,27,11356
2018,27,-4098
2019,27,-6386
2020,27,-5777
2008,28,8233
2009,28,2496
2010,28,513
2011,28,-50031
2012,28,-14394
2013,28,6521
2014,28,37389
2015,28,44925
2016,28,82414
2017,28,48909
2018,28,60638
2019,28,44092
2020,28,44782
2008,29,5082
2009,29,4643
2010,29,439
2011,29,-1727
2012,29,-1892
2013,29,751
2014,29,727
2015,29,833
2016,29,159
2017,29,-1183
2018,29,
2019,29,
2020,29,
2008,30,74661
2009,30,82158
2010,30,46360
2011,30,25700
2012,30,10803
2013,30,13763
2014,30,24415
2015,30,-115187
2016,30,-86400
2017,30,-432839
2018,30,-143427
2019,30,-75802
2020,30,241468
2008,31,713
2009,31,284
2010,31,-1732
2011,31,-534
2012,31,-783
2013,31,-849
2014,31,-42
2015,31,-1214
2016,31,-780
2017,31,-455
2018,31,-512
2019,31,-1519
2020,31,
2008,32,-3618
2009,32,-2415
2010,32,981
2011,32,734
2012,32,-4210
2013,32,-3834
2014,32,258
2015,32,488
2016,32,6984
2017,32,1882
2018,32,1871
2019,32,2322
2020,32,425
2008,33,-13549
2009,33,-6567
2010,33,-15834
2011,33,-5541
2012,33,-14571
2013,33,-19715
2014,33,-16763
