Date,Id,Oancf
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,-1617
2009,2,5802
2010,2,4849
2011,2,-2002
2012,2,19317
2013,2,-2057
2014,2,-70299
2015,2,-25879
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,2828
2015,3,1374
2016,3,-1329
2017,3,5511
2018,3,5649
2019,3,14588
2020,3,13259
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,
2014,4,-1310
2015,4,30802
2016,4,-24160
2017,4,-13979
2018,4,-2830
2019,4,10786
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,3329
2015,5,768
2016,5,1249
2017,5,716
2018,5,-324
2019,5,1250
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,-6810
2015,6,6290
2016,6,-5796
2017,6,-4828
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,17053
2013,7,1322
2014,7,868
2015,7,23339
2016,7,15059
2017,7,26808
2018,7,15373
2019,7,
2020,7,
2008,8,56339
2009,8,137475
2010,8,98907
2011,8,120876
2012,8,145405
2013,8,166833
2014,8,212093
2015,8,312282
2016,8,360860
2017,8,383780
2018,8,447590
2019,8,306620
2020,8,333401
2008,9,121946
2009,9,36712
2010,9,69168
2011,9,124163
2012,9,119630
2013,9,31314
2014,9,44025
2015,9,102245
2016,9,139119
2017,9,143025
2018,9,132269
2019,9,196883
2020,9,169842
2008,10,127623
2009,10,125319
2010,10,124901
2011,10,167290
2012,10,135223
2013,10,37114
2014,10,66890
2015,10,129590
2016,10,127561
2017,10,151204
2018,10,148567
2019,10,219066
2020,10,194314
2008,11,23242
2009,11,-14360
2010,11,27504
2011,11,275
2012,11,39590
2013,11,30647
2014,11,20060
2015,11,4185
2016,11,-6104
2017,11,8954
2018,11,5569
2019,11,8401
2020,11,6305
2008,12,-86363
2009,12,-11686
2010,12,-9818
2011,12,-25371
2012,12,-18812
2013,12,1847
2014,12,-3223
2015,12,4696
2016,12,7843
2017,12,7243
2018,12,-960
2019,12,-7416
2020,12,-7452
2008,13,78326
2009,13,124054
2010,13,39574
2011,13,92082
2012,13,107838
2013,13,91686
2014,13,85073
2015,13,51585
2016,13,123408
2017,13,132280
2018,13,135016
2019,13,148382
2020,13,87957
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,462520
2013,17,454014
2014,17,426067
2015,17,707268
2016,17,1005299
2017,17,662799
2018,17,934041
2019,17,1306093
2020,17,838211
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,-909
2016,18,-4263
2017,18,-6289
2018,18,-4172
2019,18,-948
2020,18,-3073
2008,19,155741
2009,19,239098
2010,19,191700
2011,19,160900
2012,19,171200
2013,19,165600
2014,19,226100
2015,19,249500
2016,19,300100
2017,19,283000
2018,19,306800
2019,19,340900
2020,19,248300
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,13856
2016,20,10396
2017,20,10697
2018,20,6990
2019,20,10671
2020,20,15835
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,47023
2013,21,35439
2014,21,19064
2015,21,31380
2016,21,86534
2017,21,72046
2018,21,54791
2019,21,62072
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,
2012,22,8771
2013,22,6028
2014,22,8917
2015,22,13830
2016,22,3674
2017,22,4908
2018,22,7617
2019,22,9891
2020,22,8680
2008,23,282
2009,23,9844
2010,23,-7193
2011,23,3886
2012,23,8479
2013,23,175
2014,23,9954
2015,23,-4260
2016,23,7987
2017,23,15570
2018,23,9288
2019,23,-9027
2020,23,5214
2008,24,65486
2009,24,80415
2010,24,62075
2011,24,85928
2012,24,87414
2013,24,99752
2014,24,124512
2015,24,92696
2016,24,117962
2017,24,136707
2018,24,132609
2019,24,186385
2020,24,199351
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,418
2013,25,28
2014,25,-801
2015,25,-1515
2016,25,-2363
2017,25,-570
2018,25,9020
2019,25,
2020,25,
2008,26,68718
2009,26,62527
2010,26,83059
2011,26,134403
2012,26,43158
2013,26,9965
2014,26,129600
2015,26,-13304
2016,26,-101118
2017,26,-220848
2018,26,-651353
2019,26,-217463
2020,26,-14316
2008,27,6361
2009,27,30096
2010,27,17823
2011,27,11334
2012,27,11002
2013,27,19295
2014,27,25615
2015,27,35344
2016,27,36610
2017,27,22801
2018,27,23879
2019,27,19480
2020,27,48173
2008,28,235670
2009,28,169720
2010,28,101328
2011,28,128859
2012,28,73976
2013,28,124844
2014,28,133816
2015,28,139768
2016,28,238483
2017,28,83328
2018,28,148300
2019,28,253977
2020,28,255778
2008,29,3795
2009,29,8801
2010,29,-1415
2011,29,-4037
2012,29,7081
2013,29,8463
2014,29,4347
2015,29,8177
2016,29,14597
2017,29,6761
2018,29,
2019,29,
2020,29,
2008,30,-54017
2009,30,-40084
2010,30,99182
2011,30,17074
2012,30,66612
2013,30,87055
2014,30,-28700
2015,30,9037
2016,30,-9280
2017,30,-67390
2018,30,-32659
2019,30,13678
2020,30,39902
2008,31,1623
2009,31,1032
2010,31,569
2011,31,-454
2012,31,-289
2013,31,305
2014,31,368
2015,31,-838
2016,31,-499
2017,31,45
2018,31,-900
2019,31,-1505
2020,31,
2008,32,720
2009,32,1863
2010,32,739
2011,32,297
2012,32,-1679
2013,32,3356
2014,32,-1097
2015,32,515
2016,32,-3069
2017,32,-41373
2018,32,10851
2019,32,14782
2020,32,4601
2008,33,7220
2009,33,-667
2010,33,19967
2011,33,5689
2012,33,1119
2013,33,13370
2014,33,15317
2015,33,12627
2016,33,13317
