Date,Id,Other_Investments
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,27
2009,2,31
2010,2,32
2011,2,67
2012,2,31
2013,2,0
2014,2,0
2015,2,0
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,0
2015,3,0
2016,3,0
2017,3,0
2018,3,0
2019,3,4410
2020,3,0
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,400
2014,4,100
2015,4,100
2016,4,100
2017,4,100
2018,4,112
2019,4,113
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,0
2015,5,0
2016,5,0
2017,5,0
2018,5,0
2019,5,0
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,746
2015,6,933
2016,6,686
2017,6,385
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,109
2013,7,60
2014,7,3670
2015,7,3686
2016,7,3654
2017,7,3424
2018,7,3409
2019,7,
2020,7,
2008,8,95
2009,8,95
2010,8,150
2011,8,154
2012,8,177
2013,8,216
2014,8,1180
2015,8,11631
2016,8,6887
2017,8,6769
2018,8,8190
2019,8,7078
2020,8,217263
2008,9,172513
2009,9,152802
2010,9,153427
2011,9,167860
2012,9,133184
2013,9,149294
2014,9,115309
2015,9,122777
2016,9,118970
2017,9,93001
2018,9,90911
2019,9,12678
2020,9,4600
2008,10,359
2009,10,343
2010,10,334
2011,10,11836
2012,10,13047
2013,10,17814
2014,10,31073
2015,10,36658
2016,10,30919
2017,10,18887
2018,10,16298
2019,10,12715
2020,10,4637
2008,11,0
2009,11,0
2010,11,0
2011,11,0
2012,11,203
2013,11,1059
2014,11,773
2015,11,574
2016,11,664
2017,11,428
2018,11,352
2019,11,334
2020,11,921
2008,12,536
2009,12,440
2010,12,252
2011,12,509
2012,12,252
2013,12,9351
2014,12,9001
2015,12,8733
2016,12,8368
2017,12,8004
2018,12,7645
2019,12,5750
2020,12,252
2008,13,464
2009,13,472
2010,13,440
2011,13,490
2012,13,489
2013,13,439
2014,13,439
2015,13,439
2016,13,46
2017,13,46
2018,13,46
2019,13,46
2020,13,46
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,
2013,17,37911
2014,17,47431
2015,17,11836
2016,17,12987
2017,17,6698
2018,17,6162
2019,17,8704
2020,17,8178
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,0
2016,18,45
2017,18,42
2018,18,44
2019,18,58
2020,18,56
2008,19,959
2009,19,161111
2010,19,5400
2011,19,14700
2012,19,500
2013,19,1800
2014,19,2800
2015,19,11400
2016,19,123600
2017,19,122200
2018,19,123200
2019,19,1700
2020,19,600
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,6
2016,20,0
2017,20,0
2018,20,0
2019,20,0
2020,20,0
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,17900
2013,21,16491
2014,21,6645
2015,21,6966
2016,21,6963
2017,21,6985
2018,21,7096
2019,21,7355
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,56
2012,22,56
2013,22,54
2014,22,54
2015,22,54
2016,22,63
2017,22,393
2018,22,467
2019,22,475
2020,22,56
2008,23,1444
2009,23,692
2010,23,685
2011,23,478
2012,23,507
2013,23,3080
2014,23,3128
2015,23,296
2016,23,313
2017,23,437
2018,23,3131
2019,23,2509
2020,23,2503
2008,24,161
2009,24,60
2010,24,352
2011,24,955
2012,24,4784
2013,24,5350
2014,24,8107
2015,24,19436
2016,24,19558
2017,24,12653
2018,24,7621
2019,24,8319
2020,24,6087
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,0
2013,25,0
2014,25,0
2015,25,5
2016,25,3
2017,25,205
2018,25,5153
2019,25,
2020,25,
2008,26,2030
2009,26,3915
2010,26,3142
2011,26,102917
2012,26,154132
2013,26,102904
2014,26,191076
2015,26,311773
2016,26,284056
2017,26,228018
2018,26,114317
2019,26,178133
2020,26,122049
2008,27,11566
2009,27,10580
2010,27,10773
2011,27,10473
2012,27,9983
2013,27,8599
2014,27,9069
2015,27,9339
2016,27,22797
2017,27,18898
2018,27,19054
2019,27,17803
2020,27,15196
2008,28,317344
2009,28,434657
2010,28,527904
2011,28,363658
2012,28,378142
2013,28,525958
2014,28,499271
2015,28,584405
2016,28,678058
2017,28,684444
2018,28,696978
2019,28,779642
2020,28,678208
2008,29,26
2009,29,26
2010,29,30
2011,29,30
2012,29,30
2013,29,15
2014,29,15
2015,29,-37
2016,29,15
2017,29,2941
2018,29,
2019,29,
2020,29,
2008,30,1233
2009,30,1331
2010,30,1396
2011,30,3483
2012,30,2934
2013,30,1152
2014,30,1162
2015,30,1761
2016,30,2600
2017,30,939
2018,30,707
2019,30,597
2020,30,633
2008,31,0
2009,31,0
2010,31,0
2011,31,0
2012,31,0
2013,31,0
2014,31,0
2015,31,0
2016,31,0
2017,31,0
2018,31,0
2019,31,0
2020,31,
2008,32,8406
2009,32,38871
2010,32,32912
2011,32,26896
2012,32,29050
2013,32,27
2014,32,63024
2015,32,65206
2016,32,194424
2017,32,232950
2018,32,276864
2019,32,276424
2020,32,276221
2008,33,18528
2009,33,20434
2010,33,1149
2011,33,26362
2012,33,26340
2013,33,28917
2014,33,28653
2015,33,21928
2016,33,386
2017,33,376
2018,33,362
2019,33,
2020,33,
2008,34,354274
2009,34,330598
2010,34,293491
2011,34,228346
2012,34,109365
2013,34,202280
2014,34,208049
2015,34,123867
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,30530
2009,35,34417
2010,35,105096
2011,35,101888
2012,35,113674
2013,35,100002
2014,35,111289
