Date,Id,Price
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,1.94
2009,2,2.14
2010,2,2.05
2011,2,1
2012,2,1.01
2013,2,2.21
2014,2,0.85
2015,2,0.73
2016,2,0.15
2017,2,0.14
2018,2,0.08
2019,2,0.08
2020,2,0.08
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,2.126
2014,3,0.7296
2015,3,0.6964
2016,3,0.1
2017,3,0.253
2018,3,0.0935
2019,3,0.451
2020,3,0.793
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,3.716
2014,4,3.5086
2015,4,3.553
2016,4,3.1198
2017,4,2.8309
2018,4,1.4
2019,4,1.275
2020,4,0.97
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,13.6
2015,5,6.9
2016,5,3.76
2017,5,8.01
2018,5,4.35
2019,5,6.9
2020,5,7.9
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,2.03
2015,6,1.75
2016,6,0.47
2017,6,0.6
2018,6,0.37
2019,6,0.37
2020,6,0.37
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,
2013,7,
2014,7,2.09
2015,7,1.78
2016,7,2.45
2017,7,2.47
2018,7,2.58
2019,7,2.79
2020,7,2.79
2008,8,0.752
2009,8,1.044
2010,8,1.545
2011,8,1.324
2012,8,1.951
2013,8,3.916
2014,8,5.54
2015,8,8.936
2016,8,11.5
2017,8,12.67
2018,8,8.895
2019,8,11.06
2020,8,10.8
2008,9,0.6955
2009,9,0.84
2010,9,0.8155
2011,9,0.56
2012,9,0.4478
2013,9,0.466
2014,9,0.54
2015,9,0.468
2016,9,0.3697
2017,9,0.7075
2018,9,0.403
2019,9,0.562
2020,9,0.4135
2008,10,1.26
2009,10,2
2010,10,2.3525
2011,10,1.818
2012,10,2.03
2013,10,2.412
2014,10,2.41
2015,10,2.326
2016,10,1.586
2017,10,2.3
2018,10,1.831
2019,10,2.748
2020,10,2.696
2008,11,3.29
2009,11,3.4125
2010,11,2.985
2011,11,1.221
2012,11,1.48
2013,11,1.198
2014,11,0.99
2015,11,0.7445
2016,11,0.3454
2017,11,1.57
2018,11,1.124
2019,11,0.903
2020,11,0.818
2008,12,2.576
2009,12,1.9509
2010,12,2.4847
2011,12,2.2477
2012,12,2.0861
2013,12,2.1704
2014,12,2.2126
2015,12,2.5989
2016,12,1.2362
2017,12,1.9491
2018,12,2.229
2019,12,1.6025
2020,12,1.1341
2008,13,1.24
2009,13,2.11
2010,13,2.47
2011,13,1.948
2012,13,1.935
2013,13,4.368
2014,13,2.072
2015,13,2.166
2016,13,2.436
2017,13,4.01
2018,13,1.431
2019,13,1.598
2020,13,1.182
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,2.72
2009,15,4.34
2010,15,6.05
2011,15,6.5
2012,15,8.65
2013,15,12.58
2014,15,11.21
2015,15,14.97
2016,15,14.97
2017,15,14.97
2018,15,14.97
2019,15,14.97
2020,15,14.97
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,
2013,17,
2014,17,
2015,17,48
2016,17,58.14
2017,17,104.84
2018,17,99.44
2019,17,165.54
2020,17,229.52
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,
2016,18,2.6455
2017,18,3.09
2018,18,2.33
2019,18,2.4
2020,18,1.845
2008,19,1.2
2009,19,1.8237
2010,19,2.435
2011,19,2.5725
2012,19,2.9
2013,19,3.04
2014,19,2.58
2015,19,4
2016,19,4.645
2017,19,6.445
2018,19,7.385
2019,19,8.14
2020,19,9.34
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,10.04
2016,20,8.7
2017,20,12.58
2018,20,12
2019,20,12.75
2020,20,20.8
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,
2013,21,
2014,21,
2015,21,9.51
2016,21,6.94
2017,21,7.4
2018,21,5.75
2019,21,5.86
2020,21,5.48
2008,22,
2009,22,
2010,22,
2011,22,
2012,22,
2013,22,
2014,22,
2015,22,4.314
2016,22,4.378
2017,22,4.43
2018,22,3.66
2019,22,3.14
2020,22,2.43
2008,23,1.9143
2009,23,2.4752
2010,23,2.5387
2011,23,1.8665
2012,23,1.5928
2013,23,1.69
2014,23,1.442
2015,23,1.5
2016,23,1.103
2017,23,1.717
2018,23,1.38
2019,23,1.245
2020,23,1.13
2008,24,2.75
2009,24,3.975
2010,24,4.93
2011,24,4.1
2012,24,4
2013,24,5.675
2014,24,6.655
2015,24,8.26
2016,24,7.97
2017,24,10.63
2018,24,10.88
2019,24,10.5
2020,24,14
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,
2013,25,
2014,25,
2015,25,
2016,25,
2017,25,
2018,25,
2019,25,
2020,25,
2008,26,3.95
2009,26,5.985
2010,26,4.9225
2011,26,4.95
2012,26,5.06
2013,26,7.655
2014,26,4.78
2015,26,5.615
2016,26,5.4
2017,26,2.12
2018,26,0.518
2019,26,0.5595
2020,26,0.2955
2008,27,2.25
2009,27,1.887
2010,27,1.533
2011,27,0.976
2012,27,1.088
2013,27,1.268
2014,27,1.25
2015,27,3.52
2016,27,3.34
2017,27,5.8
2018,27,1.47
2019,27,1.538
2020,27,0.91
2008,28,2.445
2009,28,2.445
2010,28,1.769
2011,28,1.39
2012,28,1.169
2013,28,2.028
2014,28,1.916
2015,28,2.36
2016,28,2.08
2017,28,3.018
2018,28,2.28
2019,28,2.9
2020,28,3.01
2008,29,24.1
2009,29,20
2010,29,20
2011,29,21
2012,29,20.59
2013,29,20
2014,29,20.4
2015,29,22.3
2016,29,18.43
2017,29,19.67
2018,29,21
2019,29,21
2020,29,21
2008,30,47.9666
2009,30,71.8359
2010,30,70.2077
2011,30,32.0168
2012,30,26.3116
2013,30,40.9653
2014,30,27.1626
2015,30,17.5645
2016,30,9.4157
2017,30,3.0148
2018,30,2.889
2019,30,1.5309
2020,30,1.186
