Date,Id,adjustment factor
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,0.9788
2009,2,0.9788
2010,2,0.9788
2011,2,0.9788
2012,2,0.9788
2013,2,1
2014,2,1
2015,2,1
2016,2,1
2017,2,1
2018,2,1
2019,2,1
2020,2,1
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,0.5922
2014,3,0.5922
2015,3,0.5922
2016,3,5
2017,3,5
2018,3,5
2019,3,5
2020,3,1
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,0.9258
2014,4,0.9258
2015,4,0.9258
2016,4,0.9258
2017,4,0.9258
2018,4,1
2019,4,1
2020,4,1
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,1
2015,5,1
2016,5,1
2017,5,1
2018,5,1
2019,5,1
2020,5,1
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,1
2015,6,1
2016,6,1
2017,6,1
2018,6,1
2019,6,1
2020,6,1
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,
2013,7,
2014,7,1
2015,7,1
2016,7,1
2017,7,1
2018,7,1
2019,7,1
2020,7,1
2008,8,0.2
2009,8,0.2
2010,8,0.2
2011,8,0.2
2012,8,0.2
2013,8,0.2
2014,8,0.2
2015,8,0.2
2016,8,0.2
2017,8,1
2018,8,1
2019,8,1
2020,8,1
2008,9,1
2009,9,1
2010,9,1
2011,9,1
2012,9,1
2013,9,1
2014,9,1
2015,9,1
2016,9,1
2017,9,1
2018,9,1
2019,9,1
2020,9,1
2008,10,1
2009,10,1
2010,10,1
2011,10,1
2012,10,1
2013,10,1
2014,10,1
2015,10,1
2016,10,1
2017,10,1
2018,10,1
2019,10,1
2020,10,1
2008,11,1
2009,11,1
2010,11,1
2011,11,1
2012,11,1
2013,11,1
2014,11,1
2015,11,1
2016,11,1
2017,11,1
2018,11,1
2019,11,1
2020,11,1
2008,12,0.6797
2009,12,0.7024
2010,12,0.7024
2011,12,0.7024
2012,12,0.7024
2013,12,0.7024
2014,12,0.7024
2015,12,0.7024
2016,12,0.7024
2017,12,0.9819
2018,12,0.9819
2019,12,0.9819
2020,12,0.9819
2008,13,1
2009,13,1
2010,13,1
2011,13,1
2012,13,1
2013,13,1
2014,13,1
2015,13,1
2016,13,1
2017,13,1
2018,13,1
2019,13,1
2020,13,1
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,10.3261
2009,15,10.3261
2010,15,1
2011,15,1
2012,15,1
2013,15,1
2014,15,1
2015,15,1
2016,15,1
2017,15,1
2018,15,1
2019,15,1
2020,15,1
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,
2013,17,
2014,17,
2015,17,1
2016,17,1
2017,17,1
2018,17,1
2019,17,1
2020,17,1
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,
2016,18,0.9091
2017,18,1
2018,18,1
2019,18,1
2020,18,1
2008,19,0.25
2009,19,0.25
2010,19,0.5
2011,19,0.5
2012,19,0.5
2013,19,0.5
2014,19,0.5
2015,19,0.5
2016,19,0.5
2017,19,1
2018,19,1
2019,19,1
2020,19,1
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,1
2016,20,1
2017,20,1
2018,20,1
2019,20,1
2020,20,1
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,
2013,21,
2014,21,
2015,21,1
2016,21,1
2017,21,1
2018,21,1
2019,21,1
2020,21,1
2008,22,
2009,22,
2010,22,
2011,22,
2012,22,
2013,22,
2014,22,
2015,22,1
2016,22,1
2017,22,1
2018,22,1
2019,22,1
2020,22,1
2008,23,0.7478
2009,23,0.7478
2010,23,0.7478
2011,23,0.7478
2012,23,0.7478
2013,23,0.7478
2014,23,1
2015,23,1
2016,23,1
2017,23,1
2018,23,1
2019,23,1
2020,23,1
2008,24,1
2009,24,1
2010,24,1
2011,24,1
2012,24,1
2013,24,1
2014,24,1
2015,24,1
2016,24,1
2017,24,1
2018,24,1
2019,24,1
2020,24,1
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,
2013,25,
2014,25,
2015,25,
2016,25,
2017,25,
2018,25,
2019,25,
2020,25,
2008,26,1
2009,26,1
2010,26,1
2011,26,1
2012,26,1
2013,26,1
2014,26,1
2015,26,1
2016,26,1
2017,26,1
2018,26,1
2019,26,1
2020,26,1
2008,27,1
2009,27,1
2010,27,1
2011,27,1
2012,27,1
2013,27,1
2014,27,1
2015,27,1
2016,27,1
2017,27,1
2018,27,1
2019,27,1
2020,27,1
2008,28,1
2009,28,1
2010,28,1
2011,28,1
2012,28,1
2013,28,1
2014,28,1
2015,28,1
2016,28,1
2017,28,1
2018,28,1
2019,28,1
2020,28,1
2008,29,1
2009,29,1
2010,29,1
2011,29,1
2012,29,1
2013,29,1
2014,29,1
2015,29,1
2016,29,1
2017,29,1
2018,29,1
2019,29,1
2020,29,1
2008,30,6.5128
2009,30,6.5128
2010,30,6.5128
2011,30,6.5128
2012,30,6.5128
2013,30,6.5128
2014,30,9.5981
2015,30,9.5981
2016,30,9.5981
2017,30,9.5981
2018,30,9.5981
2019,30,0.096
2020,30,1
2008,31,
2009,31,
2010,31,5538.945
2011,31,5538.945
2012,31,5538.945
2013,31,5538.945
2014,31,5538.945
2015,31,5538.945
2016,31,5555.336
2017,31,6105.641
2018,31,6105.641
2019,31,97.2083
2020,31,100
2008,32,1
2009,32,1
2010,32,1
2011,32,1
2012,32,1
2013,32,1
2014,32,1
2015,32,1
2016,32,1
2017,32,1
2018,32,1
2019,32,1
2020,32,1
2008,33,0.9255
2009,33,0.9255
2010,33,1
2011,33,1
2012,33,1
2013,33,1
2014,33,1
2015,33,1
2016,33,1
2017,33,1
2018,33,1
2019,33,1
2020,33,1
2008,34,0.875
2009,34,0.875
2010,34,0.875
2011,34,0.875
2012,34,0.875
2013,34,0.875
2014,34,1
2015,34,1
2016,34,1
2017,34,1
