Date,Id,ap
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,6811
2009,2,10087
2010,2,40695
2011,2,53731
2012,2,57785
2013,2,49302
2014,2,101305
2015,2,68628
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,9716
2015,3,29298
2016,3,27335
2017,3,15811
2018,3,6663
2019,3,5946
2020,3,15542
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,1596
2014,4,3746
2015,4,33206
2016,4,24254
2017,4,22631
2018,4,15058
2019,4,32397
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,14939
2015,5,11111
2016,5,12640
2017,5,15879
2018,5,23526
2019,5,23599
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,8708
2015,6,19869
2016,6,15646
2017,6,4854
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,13707
2013,7,9076
2014,7,9717
2015,7,8884
2016,7,31580
2017,7,24865
2018,7,13389
2019,7,
2020,7,
2008,8,178926
2009,8,159361
2010,8,224010
2011,8,266573
2012,8,247263
2013,8,301585
2014,8,308977
2015,8,349941
2016,8,428530
2017,8,470390
2018,8,566737
2019,8,473996
2020,8,474906
2008,9,499878
2009,9,471570
2010,9,505464
2011,9,551925
2012,9,549387
2013,9,492507
2014,9,507511
2015,9,468641
2016,9,469314
2017,9,490483
2018,9,492553
2019,9,535336
2020,9,533931
2008,10,362824
2009,10,346594
2010,10,353057
2011,10,375573
2012,10,393080
2013,10,346164
2014,10,386288
2015,10,380363
2016,10,395649
2017,10,411775
2018,10,432722
2019,10,478688
2020,10,489964
2008,11,76991
2009,11,96559
2010,11,64828
2011,11,55964
2012,11,55780
2013,11,52115
2014,11,55936
2015,11,58351
2016,11,53090
2017,11,47829
2018,11,55166
2019,11,51935
2020,11,53509
2008,12,89953
2009,12,61352
2010,12,33050
2011,12,11493
2012,12,13267
2013,12,14098
2014,12,8968
2015,12,9049
2016,12,6910
2017,12,15607
2018,12,16595
2019,12,19357
2020,12,15405
2008,13,159892
2009,13,149522
2010,13,160082
2011,13,217413
2012,13,213488
2013,13,223703
2014,13,242525
2015,13,325421
2016,13,266138
2017,13,288416
2018,13,277389
2019,13,274585
2020,13,226905
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,
2013,17,485948
2014,17,535707
2015,17,507499
2016,17,614888
2017,17,607505
2018,17,653751
2019,17,711539
2020,17,713807
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,523
2016,18,1557
2017,18,872
2018,18,1842
2019,18,2260
2020,18,2501
2008,19,152145
2009,19,179082
2010,19,187400
2011,19,166800
2012,19,201400
2013,19,198100
2014,19,223200
2015,19,217200
2016,19,262800
2017,19,225600
2018,19,216000
2019,19,240700
2020,19,321200
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,35709
2016,20,43889
2017,20,46801
2018,20,44522
2019,20,45750
2020,20,56809
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,75494
2013,21,63360
2014,21,92576
2015,21,80745
2016,21,122209
2017,21,139329
2018,21,144292
2019,21,155238
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,10578
2012,22,9880
2013,22,8275
2014,22,6965
2015,22,8736
2016,22,9372
2017,22,8719
2018,22,9255
2019,22,10180
2020,22,9460
2008,23,59821
2009,23,53147
2010,23,34512
2011,23,37210
2012,23,33183
2013,23,30212
2014,23,44578
2015,23,37689
2016,23,31663
2017,23,30998
2018,23,32696
2019,23,26143
2020,23,24206
2008,24,69846
2009,24,64281
2010,24,69209
2011,24,85960
2012,24,74576
2013,24,77245
2014,24,83454
2015,24,88960
2016,24,91428
2017,24,105494
2018,24,107342
2019,24,108494
2020,24,122222
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,906
2013,25,637
2014,25,1091
2015,25,852
2016,25,1101
2017,25,2217
2018,25,21572
2019,25,
2020,25,
2008,26,647012
2009,26,762954
2010,26,898074
2011,26,1119164
2012,26,1130217
2013,26,1117990
2014,26,1031736
2015,26,1013237
2016,26,1092282
2017,26,1226626
2018,26,1236912
2019,26,1185695
2020,26,794725
2008,27,65078
2009,27,57104
2010,27,59947
2011,27,62306
2012,27,59772
2013,27,50655
2014,27,58633
2015,27,76037
2016,27,83647
2017,27,83198
2018,27,88342
2019,27,82103
2020,27,77471
2008,28,246920
2009,28,233440
2010,28,297316
2011,28,304575
2012,28,327620
2013,28,245328
2014,28,501298
2015,28,537212
2016,28,667768
2017,28,539094
2018,28,293989
2019,28,263273
2020,28,267928
2008,29,28447
2009,29,25314
2010,29,31213
2011,29,19778
2012,29,15141
2013,29,25008
2014,29,20451
2015,29,16938
2016,29,15392
2017,29,17601
2018,29,
2019,29,
2020,29,
2008,30,340224
2009,30,169980
2010,30,191106
2011,30,338822
2012,30,209684
2013,30,
2014,30,298543
2015,30,360542
2016,30,260573
2017,30,234997
2018,30,193848
2019,30,170665
2020,30,100427
2008,31,1262
2009,31,1673
2010,31,2120
2011,31,2201
2012,31,1670
2013,31,1962
2014,31,2322
2015,31,2521
2016,31,1956
2017,31,1090
2018,31,1257
2019,31,1421
2020,31,
2008,32,9656
2009,32,7315
2010,32,6302
2011,32,4921
2012,32,3971
2013,32,5346
2014,32,5374
2015,32,7044
2016,32,10752
2017,32,5173
2018,32,1484
2019,32,2862
2020,32,1047
2008,33,39989
2009,33,33484
2010,33,34160
2011,33,39223
2012,33,44068
2013,33,40451
2014,33,47135
2015,33,42727
2016,33,47995
2017,33,47296
2018,33,48794
2019,33,
2020,33,
2008,34,697907
