Date,Id,ar
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,8798
2009,2,12657
2010,2,45507
2011,2,36706
2012,2,39316
2013,2,33896
2014,2,76688
2015,2,81641
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,12519
2015,3,33703
2016,3,34757
2017,3,21537
2018,3,19671
2019,3,17306
2020,3,29183
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,6640
2014,4,8032
2015,4,21860
2016,4,31556
2017,4,41176
2018,4,24796
2019,4,33406
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,5817
2015,5,6076
2016,5,6360
2017,5,10808
2018,5,21746
2019,5,23254
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,17458
2015,6,32116
2016,6,31635
2017,6,12822
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,20001
2013,7,23197
2014,7,21684
2015,7,27147
2016,7,28311
2017,7,44031
2018,7,47754
2019,7,
2020,7,
2008,8,233359
2009,8,188370
2010,8,238228
2011,8,245516
2012,8,246776
2013,8,294379
2014,8,325452
2015,8,347603
2016,8,401222
2017,8,456174
2018,8,479550
2019,8,487810
2020,8,504779
2008,9,282778
2009,9,295173
2010,9,329611
2011,9,323126
2012,9,259195
2013,9,247438
2014,9,238288
2015,9,227738
2016,9,158861
2017,9,151334
2018,9,135568
2019,9,135871
2020,9,126529
2008,10,139430
2009,10,151341
2010,10,157921
2011,10,113323
2012,10,104676
2013,10,125851
2014,10,138491
2015,10,123753
2016,10,118959
2017,10,112901
2018,10,119790
2019,10,120406
2020,10,117696
2008,11,55901
2009,11,125939
2010,11,101285
2011,11,104330
2012,11,82411
2013,11,53921
2014,11,49032
2015,11,47770
2016,11,46305
2017,11,35800
2018,11,42471
2019,11,46666
2020,11,45374
2008,12,89653
2009,12,57435
2010,12,26747
2011,12,19406
2012,12,32047
2013,12,22194
2014,12,30418
2015,12,21515
2016,12,18376
2017,12,24920
2018,12,33788
2019,12,39203
2020,12,20348
2008,13,207339
2009,13,141639
2010,13,160762
2011,13,206948
2012,13,209453
2013,13,174168
2014,13,177531
2015,13,178157
2016,13,189478
2017,13,202954
2018,13,172843
2019,13,168830
2020,13,167550
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,
2013,17,1099771
2014,17,1448070
2015,17,1372988
2016,17,1056852
2017,17,994929
2018,17,1245860
2019,17,1271939
2020,17,1173950
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,355
2016,18,1180
2017,18,750
2018,18,925
2019,18,854
2020,18,1933
2008,19,292155
2009,19,257403
2010,19,290600
2011,19,312100
2012,19,335100
2013,19,327900
2014,19,340600
2015,19,324400
2016,19,335500
2017,19,361500
2018,19,324900
2019,19,369100
2020,19,324400
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,24609
2016,20,26073
2017,20,24180
2018,20,23796
2019,20,24621
2020,20,32663
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,130869
2013,21,126033
2014,21,123669
2015,21,122991
2016,21,133636
2017,21,129067
2018,21,133220
2019,21,125939
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,16093
2012,22,16765
2013,22,17586
2014,22,16972
2015,22,16233
2016,22,18662
2017,22,20844
2018,22,20122
2019,22,20317
2020,22,16833
2008,23,106574
2009,23,103751
2010,23,62363
2011,23,55811
2012,23,48806
2013,23,54593
2014,23,58828
2015,23,61773
2016,23,61144
2017,23,53968
2018,23,48517
2019,23,35767
2020,23,24256
2008,24,209950
2009,24,212759
2010,24,237450
2011,24,269507
2012,24,239618
2013,24,241755
2014,24,234960
2015,24,244610
2016,24,282847
2017,24,293440
2018,24,307542
2019,24,308464
2020,24,323227
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,277
2013,25,205
2014,25,1381
2015,25,7772
2016,25,10029
2017,25,17821
2018,25,59977
2019,25,
2020,25,
2008,26,800501
2009,26,939119
2010,26,917550
2011,26,1244594
2012,26,1356276
2013,26,1083200
2014,26,2184036
2015,26,2357950
2016,26,2398633
2017,26,2314584
2018,26,1500672
2019,26,1561517
2020,26,1825105
2008,27,101726
2009,27,92333
2010,27,90836
2011,27,88483
2012,27,87222
2013,27,74941
2014,27,77239
2015,27,86521
2016,27,85332
2017,27,83379
2018,27,69723
2019,27,61151
2020,27,59559
2008,28,319236
2009,28,297576
2010,28,323767
2011,28,331355
2012,28,354836
2013,28,312394
2014,28,293633
2015,28,299380
2016,28,366608
2017,28,308086
2018,28,387999
2019,28,325333
2020,28,294562
2008,29,59701
2009,29,58822
2010,29,60740
2011,29,53424
2012,29,44122
2013,29,50099
2014,29,45361
2015,29,42182
2016,29,40751
2017,29,40720
2018,29,
2019,29,
2020,29,
2008,30,372731
2009,30,384445
2010,30,419502
2011,30,580570
2012,30,483615
2013,30,565801
2014,30,1372403
2015,30,702768
2016,30,510545
2017,30,395785
2018,30,341694
2019,30,296813
2020,30,243431
2008,31,2371
2009,31,2890
2010,31,2751
2011,31,2641
2012,31,1915
2013,31,1781
2014,31,2545
2015,31,2484
2016,31,2253
2017,31,2804
2018,31,2982
2019,31,4976
2020,31,
2008,32,10555
2009,32,11382
2010,32,7789
2011,32,6970
2012,32,13357
2013,32,8212
2014,32,11362
2015,32,10747
2016,32,17442
2017,32,9004
2018,32,9174
2019,32,7945
2020,32,2786
2008,33,46597
2009,33,44750
2010,33,46657
2011,33,46896
2012,33,40689
2013,33,38966
2014,33,40994
2015,33,37227
2016,33,32504
2017,33,33757
2018,33,31992
2019,33,
2020,33,
