Date,Id,auditor fees
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,62
2009,2,53
2010,2,44
2011,2,177
2012,2,151
2013,2,151
2014,2,351
2015,2,200
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,
2015,3,
2016,3,
2017,3,55
2018,3,24
2019,3,
2020,3,
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,
2014,4,
2015,4,
2016,4,
2017,4,
2018,4,485
2019,4,185
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,
2015,5,
2016,5,
2017,5,
2018,5,
2019,5,
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,
2015,6,
2016,6,
2017,6,
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,
2013,7,
2014,7,
2015,7,
2016,7,
2017,7,
2018,7,
2019,7,
2020,7,
2008,8,848
2009,8,
2010,8,
2011,8,
2012,8,
2013,8,654
2014,8,915
2015,8,803
2016,8,824
2017,8,701
2018,8,707
2019,8,729
2020,8,720
2008,9,1191
2009,9,1656
2010,9,1460
2011,9,1404
2012,9,947
2013,9,1018
2014,9,1347
2015,9,1153
2016,9,1476
2017,9,1493
2018,9,1693
2019,9,1472
2020,9,1474
2008,10,988
2009,10,1433
2010,10,1226
2011,10,1185
2012,10,786
2013,10,859
2014,10,1184
2015,10,1016
2016,10,1340
2017,10,620
2018,10,922
2019,10,706
2020,10,1316
2008,11,353
2009,11,417
2010,11,470
2011,11,474
2012,11,47
2013,11,293
2014,11,375
2015,11,330
2016,11,62
2017,11,299
2018,11,309
2019,11,227
2020,11,224
2008,12,70
2009,12,88
2010,12,79
2011,12,125
2012,12,300
2013,12,137
2014,12,136
2015,12,137
2016,12,
2017,12,225
2018,12,156
2019,12,282
2020,12,282
2008,13,
2009,13,
2010,13,
2011,13,1021
2012,13,
2013,13,
2014,13,
2015,13,
2016,13,
2017,13,
2018,13,7000
2019,13,16850
2020,13,13
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,
2013,17,
2014,17,
2015,17,2983
2016,17,1611
2017,17,1616
2018,17,1357
2019,17,1289
2020,17,1481
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,
2016,18,
2017,18,
2018,18,28
2019,18,28
2020,18,28
2008,19,
2009,19,209
2010,19,1000
2011,19,1255
2012,19,2204
2013,19,2262
2014,19,2173
2015,19,2420
2016,19,2716
2017,19,
2018,19,250
2019,19,1841
2020,19,2583
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,
2016,20,
2017,20,
2018,20,
2019,20,
2020,20,
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,
2013,21,
2014,21,
2015,21,
2016,21,
2017,21,1518
2018,21,2180
2019,21,1540
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,
2012,22,
2013,22,
2014,22,
2015,22,
2016,22,
2017,22,84
2018,22,118
2019,22,95
2020,22,74
2008,23,
2009,23,
2010,23,
2011,23,239
2012,23,
2013,23,
2014,23,287
2015,23,128
2016,23,124
2017,23,160
2018,23,181
2019,23,304
2020,23,
2008,24,215
2009,24,237
2010,24,379
2011,24,353
2012,24,363
2013,24,112
2014,24,220
2015,24,215
2016,24,172
2017,24,699
2018,24,548
2019,24,525
2020,24,546
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,
2013,25,
2014,25,32
2015,25,
2016,25,
2017,25,
2018,25,
2019,25,
2020,25,
2008,26,673
2009,26,1240
2010,26,1018
2011,26,802
2012,26,1240
2013,26,1738
2014,26,1644
2015,26,1491
2016,26,1742
2017,26,2167
2018,26,2922
2019,26,1682
2020,26,
2008,27,202
2009,27,268
2010,27,272
2011,27,277
2012,27,277
2013,27,210
2014,27,238
2015,27,256
2016,27,275
2017,27,308
2018,27,152
2019,27,269
2020,27,251
2008,28,865
2009,28,823
2010,28,803
2011,28,742
2012,28,771
2013,28,1206
2014,28,1255
2015,28,1509
2016,28,1604
2017,28,1741
2018,28,1681
2019,28,1543
2020,28,
2008,29,70
2009,29,101
2010,29,82
2011,29,181
2012,29,215
2013,29,155
2014,29,186
2015,29,144
2016,29,128
2017,29,150
2018,29,
2019,29,
2020,29,
2008,30,
2009,30,
2010,30,
2011,30,610
2012,30,
2013,30,661
2014,30,1205
2015,30,716
2016,30,653
2017,30,729
2018,30,847
2019,30,1100
2020,30,2441
2008,31,
2009,31,
2010,31,
2011,31,
2012,31,
2013,31,
2014,31,
2015,31,
2016,31,
2017,31,
2018,31,
2019,31,
2020,31,
2008,32,35
2009,32,35
2010,32,35
2011,32,35
2012,32,50
2013,32,29
2014,32,30
2015,32,
2016,32,
2017,32,
2018,32,
2019,32,94
2020,32,
2008,33,58579
2009,33,350
2010,33,357
2011,33,356
2012,33,339
2013,33,339
2014,33,
2015,33,
2016,33,
2017,33,
2018,33,
2019,33,
2020,33,
2008,34,2940
2009,34,3060
2010,34,3046
2011,34,1379
2012,34,2188
2013,34,2201
2014,34,3226
2015,34,2389
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,
2009,35,
2010,35,
2011,35,405
2012,35,812
2013,35,953
2014,35,1042
2015,35,1242
2016,35,1280
2017,35,170
2018,35,131
2019,35,229
2020,35,
2008,36,1702
2009,36,1888
2010,36,1951
2011,36,2012
2012,36,
2013,36,2044
2014,36,1398
2015,36,1367
2016,36,1425
2017,36,1530
2018,36,1549
2019,36,1585
2020,36,1446
2008,37,
2009,37,
2010,37,2173
2011,37,2360
2012,37,4074
2013,37,
2014,37,4419
2015,37,3392
2016,37,1344
