Date,Id,auditor opinion
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,Unqualified
2009,2,Unqualified
2010,2,Unqualified
2011,2,Unqualified
2012,2,Unqualified
2013,2,Unqualified
2014,2,Unqualified
2015,2,Unqualified
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,Unqualified
2015,3,Unqualified
2016,3,Unqualified
2017,3,Unqualified
2018,3,Unqualified
2019,3,Unqualified
2020,3,
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,Unqualified
2014,4,
2015,4,
2016,4,
2017,4,
2018,4,Unqualified
2019,4,Unqualified
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,Unqualified
2015,5,Unqualified
2016,5,Unqualified
2017,5,Unqualified
2018,5,Unqualified
2019,5,Unqualified
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,
2015,6,
2016,6,
2017,6,
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,
2013,7,
2014,7,
2015,7,
2016,7,
2017,7,
2018,7,Unqualified
2019,7,
2020,7,
2008,8,Unqualified
2009,8,Unqualified
2010,8,Unqualified
2011,8,Unqualified
2012,8,Unqualified
2013,8,
2014,8,
2015,8,Unqualified
2016,8,Unqualified
2017,8,Unqualified
2018,8,Unqualified
2019,8,Unqualified
2020,8,Unqualified
2008,9,Unqualified
2009,9,Unqualified
2010,9,Unqualified
2011,9,Unqualified
2012,9,Unqualified
2013,9,Unqualified
2014,9,Unqualified
2015,9,Unqualified
2016,9,Unqualified
2017,9,Unqualified
2018,9,Unqualified
2019,9,Unqualified
2020,9,Unqualified
2008,10,Unqualified
2009,10,Unqualified
2010,10,Unqualified
2011,10,Unqualified
2012,10,Unqualified
2013,10,
2014,10,
2015,10,Unqualified
2016,10,Unqualified
2017,10,Unqualified
2018,10,Unqualified
2019,10,Unqualified
2020,10,Unqualified
2008,11,Unqualified
2009,11,Unqualified
2010,11,Unqualified
2011,11,Unqualified
2012,11,
2013,11,
2014,11,
2015,11,Unqualified
2016,11,Unqualified
2017,11,Unqualified
2018,11,Unqualified
2019,11,Unqualified
2020,11,Unqualified
2008,12,No audit report in abbreviated version
2009,12,Unqualified
2010,12,Unqualified
2011,12,Unqualified
2012,12,Unqualified
2013,12,Unqualified
2014,12,Unqualified
2015,12,Unqualified
2016,12,
2017,12,Unqualified
2018,12,Unqualified
2019,12,Unqualified
2020,12,Unqualified
2008,13,Unqualified
2009,13,Unqualified
2010,13,Unqualified
2011,13,Unqualified
2012,13,Unqualified
2013,13,Unqualified
2014,13,Unqualified
2015,13,Unqualified
2016,13,Unqualified
2017,13,Unqualified
2018,13,Unqualified
2019,13,Unqualified
2020,13,Unqualified
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,
2013,17,
2014,17,
2015,17,Unqualified
2016,17,Unqualified
2017,17,Unqualified
2018,17,Unqualified
2019,17,Unqualified
2020,17,Unqualified
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,
2016,18,
2017,18,
2018,18,Unqualified
2019,18,Qualified
2020,18,Qualified
2008,19,Unqualified
2009,19,Unqualified
2010,19,Unqualified
2011,19,Unqualified
2012,19,Unqualified
2013,19,Unqualified
2014,19,Unqualified
2015,19,Unqualified
2016,19,Unqualified
2017,19,Unqualified
2018,19,Unqualified
2019,19,Unqualified
2020,19,Unqualified
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,
2016,20,
2017,20,
2018,20,Unqualified
2019,20,Unqualified
2020,20,Unqualified
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,
2013,21,
2014,21,
2015,21,Unqualified
2016,21,Unqualified
2017,21,Unqualified
2018,21,Unqualified
2019,21,Unqualified
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,Unqualified
2012,22,Unqualified
2013,22,Unqualified
2014,22,Unqualified
2015,22,Unqualified
2016,22,Unqualified
2017,22,Unqualified
2018,22,Unqualified
2019,22,Unqualified
2020,22,Unqualified
2008,23,No audit report in abbreviated version
2009,23,No audit report in abbreviated version
2010,23,Unqualified
2011,23,Unqualified
2012,23,Unqualified
2013,23,Unqualified
2014,23,Unqualified
2015,23,Unqualified
2016,23,Unqualified
2017,23,Unqualified
2018,23,Unqualified
2019,23,Unqualified
2020,23,
2008,24,Unqualified
2009,24,Unqualified
2010,24,Unqualified
2011,24,Unqualified
2012,24,Unqualified
2013,24,Unqualified
2014,24,Unqualified
2015,24,Unqualified
2016,24,Unqualified
2017,24,Unqualified
2018,24,Unqualified
2019,24,Unqualified
2020,24,Unqualified
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,Unqualified
2013,25,Unqualified
2014,25,Unqualified
2015,25,Unqualified
2016,25,Unqualified
2017,25,Unqualified
2018,25,Unqualified
2019,25,
2020,25,
2008,26,Unqualified
2009,26,Unqualified
2010,26,Unqualified
2011,26,Unqualified
2012,26,Unqualified
2013,26,Unqualified
2014,26,Unqualified
2015,26,Unqualified
2016,26,Unqualified
2017,26,Unqualified
2018,26,No opinion
2019,26,No opinion
2020,26,No opinion
2008,27,
2009,27,Unqualified
2010,27,Unqualified
2011,27,Unqualified
2012,27,Unqualified
2013,27,Unqualified
2014,27,Unqualified
2015,27,Unqualified
2016,27,Unqualified
2017,27,Unqualified
2018,27,Unqualified
2019,27,Unqualified
2020,27,Unqualified
2008,28,Unqualified
2009,28,Unqualified
2010,28,Unqualified
2011,28,Unqualified
2012,28,
2013,28,
2014,28,
2015,28,Unqualified
2016,28,Unqualified
2017,28,Unqualified
2018,28,Not audited
