Date,Id,bvs
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,0.946
2009,2,1.756
2010,2,1.901
2011,2,1.956
2012,2,1.898
2013,2,2.01
2014,2,1.12
2015,2,0.331
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,0.183
2015,3,0.089
2016,3,-0.627
2017,3,-0.52
2018,3,0.13
2019,3,0.181
2020,3,0.191
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,0.697
2014,4,0.239
2015,4,0.306
2016,4,0.908
2017,4,1.336
2018,4,-0.021
2019,4,0.033
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,3.659
2015,5,3.887
2016,5,3.007
2017,5,2.17
2018,5,2.247
2019,5,2.351
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,0.547
2015,6,0.682
2016,6,0.497
2017,6,-0.296
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,254.575
2013,7,8.324
2014,7,1.159
2015,7,1.296
2016,7,1.426
2017,7,1.76
2018,7,1.75
2019,7,
2020,7,
2008,8,0.854
2009,8,0.869
2010,8,0.973
2011,8,0.995
2012,8,1.195
2013,8,1.305
2014,8,1.633
2015,8,2.097
2016,8,2.638
2017,8,3.188
2018,8,3.687
2019,8,4.19
2020,8,4.477
2008,9,1.15
2009,9,1.217
2010,9,1.242
2011,9,1.186
2012,9,1.057
2013,9,0.992
2014,9,0.788
2015,9,0.78
2016,9,0.684
2017,9,0.651
2018,9,0.69
2019,9,0.706
2020,9,0.674
2008,10,1.074
2009,10,1.144
2010,10,1.203
2011,10,1.219
2012,10,1.218
2013,10,1.086
2014,10,1.141
2015,10,1.12
2016,10,1.1
2017,10,1.076
2018,10,1.097
2019,10,1.075
2020,10,1.042
2008,11,1.112
2009,11,1.241
2010,11,1.356
2011,11,1.211
2012,11,1.231
2013,11,0.972
2014,11,0.955
2015,11,0.635
2016,11,0.404
2017,11,0.51
2018,11,0.532
2019,11,0.593
2020,11,0.505
2008,12,0.713
2009,12,1.135
2010,12,0.489
2011,12,0.223
2012,12,0.928
2013,12,0.685
2014,12,0.65
2015,12,0.229
2016,12,0.71
2017,12,1.064
2018,12,1.117
2019,12,0.706
2020,12,0.619
2008,13,1.409
2009,13,1.461
2010,13,1.723
2011,13,1.727
2012,13,1.731
2013,13,1.536
2014,13,1.401
2015,13,1.481
2016,13,1.485
2017,13,1.612
2018,13,1.573
2019,13,1.601
2020,13,1.127
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,
2013,17,6.059
2014,17,6.536
2015,17,-0.066
2016,17,1.324
2017,17,3.172
2018,17,5.518
2019,17,5.958
2020,17,7.196
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,0.257
2016,18,0.346
2017,18,0.394
2018,18,0.279
2019,18,0.121
2020,18,-0.026
2008,19,0.826
2009,19,0.906
2010,19,1.08
2011,19,1.181
2012,19,1.24
2013,19,1.209
2014,19,1.365
2015,19,1.507
2016,19,1.639
2017,19,1.685
2018,19,1.886
2019,19,2.082
2020,19,1.127
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,10.945
2016,20,11.976
2017,20,14.473
2018,20,11.628
2019,20,12.445
2020,20,14.194
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,8.288
2013,21,7.705
2014,21,7.315
2015,21,8.51
2016,21,8.982
2017,21,8.714
2018,21,9.235
2019,21,9.782
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,2.186
2012,22,2.486
2013,22,2.69
2014,22,2.91
2015,22,3.269
2016,22,3.361
2017,22,3.672
2018,22,3.825
2019,22,3.857
2020,22,3.863
2008,23,4.128
2009,23,4.458
2010,23,4.493
2011,23,4.379
2012,23,4.226
2013,23,3.727
2014,23,2.464
2015,23,2.582
2016,23,2.64
2017,23,2.568
2018,23,2.469
2019,23,2.404
2020,23,2.79
2008,24,3.339
2009,24,3.523
2010,24,3.779
2011,24,4.017
2012,24,4.171
2013,24,4.228
2014,24,4.504
2015,24,4.884
2016,24,5.204
2017,24,5.406
2018,24,5.821
2019,24,6.18
2020,24,7.009
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,0.019
2013,25,0.029
2014,25,0.432
2015,25,1.084
2016,25,0.986
2017,25,2.519
2018,25,3.148
2019,25,
2020,25,
2008,26,3.345
2009,26,3.698
2010,26,4.354
2011,26,4.756
2012,26,5.19
2013,26,5.708
2014,26,5.886
2015,26,6.468
2016,26,7.082
2017,26,5.299
2018,26,-14.703
2019,26,-15.754
2020,26,0.665
2008,27,3.417
2009,27,3.261
2010,27,3.343
2011,27,3.411
2012,27,3.421
2013,27,3.187
2014,27,3.275
2015,27,3.545
2016,27,3.834
2017,27,3.813
2018,27,3.719
2019,27,3.502
2020,27,3.259
2008,28,8.367
2009,28,8.321
2010,28,8.438
2011,28,7.503
2012,28,7.516
2013,28,7.637
2014,28,8.067
2015,28,8.537
2016,28,8.266
2017,28,8.479
2018,28,8.569
2019,28,9.439
2020,28,9.125
2008,29,12.409
2009,29,13.493
2010,29,13.196
2011,29,12.792
2012,29,12.363
2013,29,12.511
2014,29,12.646
2015,29,12.704
2016,29,12.599
2017,29,12.193
2018,29,
2019,29,
2020,29,
2008,30,22.673
2009,30,29.896
2010,30,35.033
2011,30,38.404
2012,30,37.89
2013,30,36.666
2014,30,36.792
2015,30,32.025
2016,30,26.779
2017,30,-0.083
2018,30,-8.394
2019,30,-12.436
2020,30,0.818
2008,31,5202.282
2009,31,4924.837
2010,31,2976.57
2011,31,1979.617
