Date,Id,capex
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,6107
2009,2,6749
2010,2,82046
2011,2,0
2012,2,28346
2013,2,5460
2014,2,7487
2015,2,5167
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,12703
2015,3,1576
2016,3,1040
2017,3,
2018,3,249
2019,3,4627
2020,3,1045
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,
2014,4,3192
2015,4,1339
2016,4,10332
2017,4,
2018,4,755
2019,4,3525
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,
2015,5,5685
2016,5,6
2017,5,22
2018,5,48
2019,5,59
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,11
2015,6,20
2016,6,15
2017,6,8
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,65343
2013,7,7341
2014,7,16488
2015,7,26739
2016,7,57641
2017,7,99930
2018,7,0
2019,7,
2020,7,
2008,8,69280
2009,8,30342
2010,8,51915
2011,8,146320
2012,8,121447
2013,8,115435
2014,8,109417
2015,8,137511
2016,8,231431
2017,8,326658
2018,8,250447
2019,8,213657
2020,8,162052
2008,9,51275
2009,9,42225
2010,9,38920
2011,9,63061
2012,9,79390
2013,9,39523
2014,9,37836
2015,9,38817
2016,9,39371
2017,9,29800
2018,9,39594
2019,9,53653
2020,9,54761
2008,10,45635
2009,10,39254
2010,10,37132
2011,10,61790
2012,10,78392
2013,10,38845
2014,10,36628
2015,10,38062
2016,10,38247
2017,10,28775
2018,10,37148
2019,10,50992
2020,10,51973
2008,11,11770
2009,11,9339
2010,11,10047
2011,11,10495
2012,11,13135
2013,11,15509
2014,11,12883
2015,11,14415
2016,11,8958
2017,11,4779
2018,11,8211
2019,11,8532
2020,11,11584
2008,12,2341
2009,12,1121
2010,12,1640
2011,12,902
2012,12,2198
2013,12,1547
2014,12,1194
2015,12,3014
2016,12,1560
2017,12,2641
2018,12,4206
2019,12,3687
2020,12,1399
2008,13,41082
2009,13,22557
2010,13,24304
2011,13,36255
2012,13,45237
2013,13,36030
2014,13,42278
2015,13,51266
2016,13,58763
2017,13,68092
2018,13,97277
2019,13,95544
2020,13,84961
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,161380
2013,17,161653
2014,17,169363
2015,17,184910
2016,17,175647
2017,17,188904
2018,17,300794
2019,17,352154
2020,17,357018
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,109
2016,18,1091
2017,18,384
2018,18,618
2019,18,2787
2020,18,308
2008,19,48108
2009,19,61133
2010,19,65700
2011,19,40300
2012,19,54900
2013,19,64700
2014,19,55600
2015,19,54400
2016,19,63800
2017,19,85800
2018,19,82800
2019,19,92000
2020,19,84700
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,414
2016,20,943
2017,20,399
2018,20,1873
2019,20,1049
2020,20,1736
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,27871
2013,21,24861
2014,21,28593
2015,21,26786
2016,21,29106
2017,21,35394
2018,21,29806
2019,21,31041
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,
2012,22,2141
2013,22,11568
2014,22,3443
2015,22,4385
2016,22,5597
2017,22,3466
2018,22,5213
2019,22,5595
2020,22,4719
2008,23,3038
2009,23,2455
2010,23,3249
2011,23,2097
2012,23,3624
2013,23,1808
2014,23,4345
2015,23,3415
2016,23,2555
2017,23,2157
2018,23,2345
2019,23,2276
2020,23,2021
2008,24,73870
2009,24,63005
2010,24,61703
2011,24,84968
2012,24,85315
2013,24,91660
2014,24,96645
2015,24,86532
2016,24,98381
2017,24,93722
2018,24,94696
2019,24,160504
2020,24,128550
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,78
2013,25,25
2014,25,92
2015,25,1376
2016,25,123
2017,25,4443
2018,25,42512
2019,25,
2020,25,
2008,26,66035
2009,26,76256
2010,26,25563
2011,26,40995
2012,26,71764
2013,26,27936
2014,26,61657
2015,26,40334
2016,26,32641
2017,26,32050
2018,26,10650
2019,26,23900
2020,26,7412
2008,27,17701
2009,27,15918
2010,27,10607
2011,27,18804
2012,27,17028
2013,27,16530
2014,27,13578
2015,27,37385
2016,27,28579
2017,27,31864
2018,27,17236
2019,27,19289
2020,27,19535
2008,28,179630
2009,28,83688
2010,28,37659
2011,28,59485
2012,28,76763
2013,28,81122
2014,28,66761
2015,28,60812
2016,28,65394
2017,28,86124
2018,28,69577
2019,28,58824
2020,28,52341
2008,29,25764
2009,29,11024
2010,29,4429
2011,29,3467
2012,29,2148
2013,29,2591
2014,29,3382
2015,29,2668
2016,29,3134
2017,29,3122
2018,29,
2019,29,
2020,29,
2008,30,123388
2009,30,80450
2010,30,51893
2011,30,72370
2012,30,73160
2013,30,114333
2014,30,135315
2015,30,90288
2016,30,26565
2017,30,46267
2018,30,45849
2019,30,20749
2020,30,6173
2008,31,324
2009,31,44
2010,31,5
2011,31,9
2012,31,5
2013,31,38
2014,31,395
2015,31,27
2016,31,
2017,31,3
2018,31,1
2019,31,9
2020,31,
2008,32,782
2009,32,314
2010,32,1050
2011,32,345
2012,32,360
2013,32,695
2014,32,114
2015,32,185
2016,32,204
2017,32,13
2018,32,247
2019,32,447
2020,32,257
2008,33,1976
2009,33,2403
2010,33,5621
2011,33,0
2012,33,4768
2013,33,3190
2014,33,11485
2015,33,4062
2016,33,10342
2017,33,5996
2018,33,6097
2019,33,
2020,33,
2008,34,698133
2009,34,680101
2010,34,500882
2011,34,374077
2012,34,352869
2013,34,323113
2014,34,507255
2015,34,348054
2016,34,
