Date,Id,cash dividends paid
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,0
2009,2,0
2010,2,207
2011,2,0
2012,2,1049
2013,2,0
2014,2,188
2015,2,1200
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,0
2015,3,0
2016,3,0
2017,3,0
2018,3,0
2019,3,0
2020,3,0
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,
2014,4,0
2015,4,0
2016,4,0
2017,4,0
2018,4,0
2019,4,0
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,0
2015,5,0
2016,5,0
2017,5,0
2018,5,0
2019,5,0
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,0
2015,6,0
2016,6,0
2017,6,0
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,0
2013,7,1250
2014,7,2075
2015,7,302
2016,7,3375
2017,7,494
2018,7,1323
2019,7,
2020,7,
2008,8,19775
2009,8,14703
2010,8,14703
2011,8,19603
2012,8,19511
2013,8,26015
2014,8,32519
2015,8,52030
2016,8,52030
2017,8,65037
2018,8,71541
2019,8,71541
2020,8,0
2008,9,10296
2009,9,10296
2010,9,10216
2011,9,10216
2012,9,10216
2013,9,0
2014,9,0
2015,9,0
2016,9,5107
2017,9,0
2018,9,0
2019,9,0
2020,9,0
2008,10,23251
2009,10,22533
2010,10,25765
2011,10,25684
2012,10,29877
2013,10,33087
2014,10,0
2015,10,26007
2016,10,17962
2017,10,19698
2018,10,19698
2019,10,51805
2020,10,32856
2008,11,6188
2009,11,8438
2010,11,6975
2011,11,6188
2012,11,0
2013,11,0
2014,11,0
2015,11,0
2016,11,0
2017,11,0
2018,11,0
2019,11,0
2020,11,0
2008,12,0
2009,12,0
2010,12,0
2011,12,0
2012,12,0
2013,12,0
2014,12,0
2015,12,0
2016,12,0
2017,12,0
2018,12,0
2019,12,0
2020,12,0
2008,13,162529
2009,13,3000
2010,13,2000
2011,13,16138
2012,13,17216
2013,13,17240
2014,13,2597
2015,13,4341
2016,13,8230
2017,13,2606
2018,13,9
2019,13,5012
2020,13,0
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,0
2013,17,0
2014,17,0
2015,17,0
2016,17,0
2017,17,0
2018,17,133095
2019,17,192664
2020,17,208100
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,0
2016,18,0
2017,18,0
2018,18,0
2019,18,0
2020,18,0
2008,19,31829
2009,19,31701
2010,19,34600
2011,19,34600
2012,19,40500
2013,19,39800
2014,19,46100
2015,19,45700
2016,19,52100
2017,19,52100
2018,19,57500
2019,19,57300
2020,19,62900
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,0
2016,20,0
2017,20,1126
2018,20,2546
2019,20,2896
2020,20,740
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,0
2013,21,0
2014,21,0
2015,21,0
2016,21,3211
2017,21,5305
2018,21,5999
2019,21,6657
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,
2012,22,0
2013,22,0
2014,22,1251
2015,22,1251
2016,22,2894
2017,22,2894
2018,22,3215
2019,22,3215
2020,22,0
2008,23,0
2009,23,0
2010,23,0
2011,23,5250
2012,23,1750
2013,23,0
2014,23,0
2015,23,0
2016,23,1038
2017,23,0
2018,23,0
2019,23,0
2020,23,0
2008,24,7347
2009,24,7347
2010,24,7619
2011,24,8616
2012,24,9070
2013,24,9070
2014,24,9456
2015,24,10903
2016,24,12394
2017,24,15116
2018,24,14970
2019,24,17420
2020,24,18269
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,14
2013,25,15
2014,25,58
2015,25,0
2016,25,2201
2017,25,0
2018,25,0
2019,25,
2020,25,
2008,26,24972
2009,26,6342
2010,26,10095
2011,26,14645
2012,26,16630
2013,26,16806
2014,26,18701
2015,26,19522
2016,26,19524
2017,26,19556
2018,26,0
2019,26,0
2020,26,0
2008,27,6749
2009,27,1348
2010,27,0
2011,27,0
2012,27,0
2013,27,0
2014,27,0
2015,27,0
2016,27,0
2017,27,3145
2018,27,3145
2019,27,0
2020,27,0
2008,28,66355
2009,28,23446
2010,28,21761
2011,28,21555
2012,28,15083
2013,28,3604
2014,28,3604
2015,28,16265
2016,28,54467
2017,28,18093
2018,28,28142
2019,28,25754
2020,28,29049
2008,29,1713
2009,29,0
2010,29,1713
2011,29,0
2012,29,0
2013,29,0
2014,29,0
2015,29,642
2016,29,557
2017,29,557
2018,29,
2019,29,
2020,29,
2008,30,6930
2009,30,8061
2010,30,8346
2011,30,8716
2012,30,9490
2013,30,33176
2014,30,20830
2015,30,14289
2016,30,649
2017,30,907
2018,30,0
2019,30,48
2020,30,644
2008,31,0
2009,31,400
2010,31,420
2011,31,0
2012,31,0
2013,31,0
2014,31,0
2015,31,0
2016,31,0
2017,31,0
2018,31,0
2019,31,0
2020,31,
2008,32,1204
2009,32,602
2010,32,602
2011,32,602
2012,32,602
2013,32,602
2014,32,602
2015,32,602
2016,32,602
2017,32,1505
2018,32,4956
2019,32,1806
2020,32,0
2008,33,0
2009,33,0
2010,33,0
2011,33,0
2012,33,0
2013,33,0
2014,33,0
2015,33,0
2016,33,0
2017,33,0
2018,33,0
2019,33,
2020,33,
2008,34,103474
2009,34,53308
2010,34,33432
2011,34,33433
2012,34,40434
2013,34,83695
2014,34,83159
2015,34,108421
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,21321
2009,35,14187
2010,35,11630
2011,35,11467
2012,35,10702
2013,35,8094
2014,35,14608
2015,35,17543
2016,35,17275
