Date,Id,cash flows per share
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,-0.26
2009,2,0.035
2010,2,0.253
2011,2,0.394
2012,2,-0.137
2013,2,0.299
2014,2,-1.466
2015,2,-0.395
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,0.015
2015,3,0.013
2016,3,-0.362
2017,3,-0.051
2018,3,0.129
2019,3,0.167
2020,3,0.073
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,0.114
2014,4,-0.408
2015,4,3.854
2016,4,0.197
2017,4,-1.809
2018,4,-0.992
2019,4,-0.287
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,2.793
2015,5,2.952
2016,5,1.366
2017,5,1.655
2018,5,1.829
2019,5,1.319
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,-0.117
2015,6,-0.12
2016,6,-0.6
2017,6,0.014
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,102.667
2013,7,3.336
2014,7,0.258
2015,7,0.683
2016,7,0.6
2017,7,1.325
2018,7,1.143
2019,7,
2020,7,
2008,8,0.338
2009,8,0.238
2010,8,0.325
2011,8,0.356
2012,8,0.438
2013,8,0.567
2014,8,0.734
2015,8,0.947
2016,8,1.172
2017,8,1.243
2018,8,1.214
2019,8,1.321
2020,8,1.123
2008,9,0.316
2009,9,0.41
2010,9,0.341
2011,9,0.252
2012,9,0.26
2013,9,0.253
2014,9,0.259
2015,9,0.313
2016,9,0.327
2017,9,0.49
2018,9,0.488
2019,9,0.517
2020,9,0.478
2008,10,0.342
2009,10,0.309
2010,10,0.395
2011,10,0.327
2012,10,0.308
2013,10,0.271
2014,10,0.202
2015,10,0.382
2016,10,0.314
2017,10,0.509
2018,10,0.466
2019,10,0.527
2020,10,0.527
2008,11,0.273
2009,11,0.243
2010,11,0.371
2011,11,0.058
2012,11,0.166
2013,11,0.055
2014,11,0.117
2015,11,-0.055
2016,11,-0.06
2017,11,-0.021
2018,11,0.148
2019,11,0.167
2020,11,0.034
2008,12,-1.638
2009,12,-0.103
2010,12,-0.382
2011,12,-0.198
2012,12,-0.206
2013,12,-0.099
2014,12,0.053
2015,12,-0.03
2016,12,-0.013
2017,12,0.12
2018,12,0.215
2019,12,-0.079
2020,12,-0.163
2008,13,0.772
2009,13,0.339
2010,13,0.481
2011,13,0.681
2012,13,0.741
2013,13,0.764
2014,13,0.614
2015,13,0.468
2016,13,0.957
2017,13,1.086
2018,13,1.193
2019,13,1.269
2020,13,0.962
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,2.729
2013,17,2.925
2014,17,3.521
2015,17,3.409
2016,17,3.226
2017,17,4.449
2018,17,5.63
2019,17,6.673
2020,17,5.734
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,-0.061
2016,18,-0.198
2017,18,-0.249
2018,18,-0.295
2019,18,0.015
2020,18,-0.235
2008,19,0.135
2009,19,0.167
2010,19,0.192
2011,19,0.191
2012,19,0.168
2013,19,0.174
2014,19,0.203
2015,19,0.224
2016,19,0.233
2017,19,0.294
2018,19,0.288
2019,19,0.324
2020,19,0.181
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,0.87
2016,20,0.828
2017,20,2.413
2018,20,1.495
2019,20,2.551
2020,20,2.382
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,1.392
2013,21,1.416
2014,21,1.402
2015,21,1.371
2016,21,1.664
2017,21,1.775
2018,21,1.677
2019,21,1.934
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,0.499
2012,22,0.49
2013,22,0.392
2014,22,0.477
2015,22,0.291
2016,22,0.382
2017,22,0.188
2018,22,0.279
2019,22,0.192
2020,22,0.16
2008,23,0.796
2009,23,0.705
2010,23,0.196
2011,23,0.255
2012,23,0.753
2013,23,0.387
2014,23,0.164
2015,23,0.359
2016,23,0.312
2017,23,0.223
2018,23,0.233
2019,23,-0.262
2020,23,0.066
2008,24,0.879
2009,24,1.037
2010,24,1.068
2011,24,1.174
2012,24,1.091
2013,24,1.028
2014,24,1.166
2015,24,1.258
2016,24,1.45
2017,24,1.391
2018,24,1.598
2019,24,1.761
2020,24,2.452
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,0.019
2013,25,0.028
2014,25,0.057
2015,25,0.311
2016,25,-0.054
2017,25,0.394
2018,25,0.64
2019,25,
2020,25,
2008,26,0.859
2009,26,1.039
2010,26,1.143
2011,26,1.407
2012,26,1.333
2013,26,1.735
2014,26,1.215
2015,26,0.916
2016,26,0.968
2017,26,0.209
2018,26,-14.061
2019,26,-1.076
2020,26,1.603
2008,27,0.503
2009,27,0.338
2010,27,0.494
2011,27,0.294
2012,27,0.371
2013,27,0.117
2014,27,0.319
2015,27,0.611
2016,27,0.833
2017,27,0.751
2018,27,0.342
2019,27,0.616
2020,27,0.738
2008,28,2.011
2009,28,1.178
2010,28,1.122
2011,28,1.095
2012,28,0.808
2013,28,1.011
2014,28,1.203
2015,28,1.205
2016,28,1.845
2017,28,1.342
2018,28,1.321
2019,28,1.917
2020,28,1.816
2008,29,1.627
2009,29,1.99
2010,29,0.752
2011,29,0.025
2012,29,0.602
2013,29,1.596
2014,29,1.889
2015,29,1.965
2016,29,1.94
2017,29,1.465
2018,29,
2019,29,
2020,29,
2008,30,11.522
2009,30,13.09
2010,30,10.367
2011,30,8.735
2012,30,5.57
2013,30,7.559
2014,30,6.982
2015,30,-4.582
2016,30,-0.664
2017,30,-4.012
2018,30,0.798
2019,30,-0.066
2020,30,0.922
2008,31,1320.029
