Date,Id,cash
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,69
2009,2,38
2010,2,169
2011,2,169
2012,2,30
2013,2,12087
2014,2,25228
2015,2,2939
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,6104
2015,3,3834
2016,3,2793
2017,3,5379
2018,3,7786
2019,3,7571
2020,3,15118
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,243
2014,4,2654
2015,4,32071
2016,4,15822
2017,4,4688
2018,4,1930
2019,4,8901
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,1130
2015,5,483
2016,5,269
2017,5,2048
2018,5,1831
2019,5,1957
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,859
2015,6,819
2016,6,703
2017,6,25
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,4899
2013,7,3372
2014,7,5166
2015,7,3248
2016,7,8819
2017,7,14529
2018,7,5069
2019,7,
2020,7,
2008,8,668
2009,8,531
2010,8,76292
2011,8,95749
2012,8,115602
2013,8,105981
2014,8,205900
2015,8,201980
2016,8,245674
2017,8,300830
2018,8,345117
2019,8,304793
2020,8,551282
2008,9,55353
2009,9,206508
2010,9,190604
2011,9,160085
2012,9,96623
2013,9,107
2014,9,122
2015,9,108
2016,9,149
2017,9,129
2018,9,122
2019,9,110
2020,9,64
2008,10,42
2009,10,336
2010,10,384
2011,10,52
2012,10,59
2013,10,57345
2014,10,92272
2015,10,95964
2016,10,166163
2017,10,88743
2018,10,131344
2019,10,128630
2020,10,230093
2008,11,17
2009,11,23
2010,11,124
2011,11,52
2012,11,38629
2013,11,32915
2014,11,31775
2015,11,38222
2016,11,16406
2017,11,17738
2018,11,15033
2019,11,22650
2020,11,21914
2008,12,1575
2009,12,1282
2010,12,1838
2011,12,1216
2012,12,36
2013,12,18394
2014,12,24424
2015,12,20996
2016,12,27775
2017,12,39767
2018,12,18357
2019,12,20115
2020,12,28529
2008,13,151
2009,13,212
2010,13,239
2011,13,92
2012,13,85209
2013,13,125344
2014,13,124033
2015,13,121892
2016,13,93661
2017,13,103889
2018,13,91735
2019,13,165173
2020,13,209673
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,
2013,17,113786
2014,17,134278
2015,17,182753
2016,17,457784
2017,17,647706
2018,17,793664
2019,17,897946
2020,17,1362406
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,29
2016,18,127
2017,18,1623
2018,18,378
2019,18,1181
2020,18,1060
2008,19,101217
2009,19,93312
2010,19,126100
2011,19,323600
2012,19,442500
2013,19,444200
2014,19,230900
2015,19,844300
2016,19,354100
2017,19,514500
2018,19,613900
2019,19,704400
2020,19,548100
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,22816
2016,20,27622
2017,20,30680
2018,20,39201
2019,20,32653
2020,20,33402
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,27574
2013,21,19870
2014,21,18302
2015,21,25574
2016,21,45167
2017,21,89594
2018,21,93491
2019,21,94846
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,9779
2012,22,11553
2013,22,5999
2014,22,4280
2015,22,20674
2016,22,6067
2017,22,7121
2018,22,6303
2019,22,5428
2020,22,20516
2008,23,13630
2009,23,14083
2010,23,4528
2011,23,7882
2012,23,14739
2013,23,14099
2014,23,17149
2015,23,16714
2016,23,16459
2017,23,22814
2018,23,17919
2019,23,46581
2020,23,31896
2008,24,198
2009,24,201
2010,24,224
2011,24,299
2012,24,61121
2013,24,67026
2014,24,95331
2015,24,101642
2016,24,119327
2017,24,117175
2018,24,129350
2019,24,169326
2020,24,269181
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,571
2013,25,8
2014,25,8
2015,25,23
2016,25,22
2017,25,15824
2018,25,6586
2019,25,
2020,25,
2008,26,333759
2009,26,785
2010,26,693
2011,26,1367
2012,26,526
2013,26,373772
2014,26,530212
2015,26,611263
2016,26,506470
2017,26,584510
2018,26,201596
2019,26,313726
2020,26,500344
2008,27,56
2009,27,50
2010,27,54
2011,27,46
2012,27,135
2013,27,137
2014,27,170
2015,27,46
2016,27,105
2017,27,53
2018,27,272
2019,27,34
2020,27,35
2008,28,505
2009,28,387
2010,28,547
2011,28,763
2012,28,330087
2013,28,357285
2014,28,329358
2015,28,419407
2016,28,552734
2017,28,445778
2018,28,406217
2019,28,511183
2020,28,642265
2008,29,996
2009,29,3904
2010,29,1288
2011,29,852
2012,29,626
2013,29,334
2014,29,854
2015,29,345
2016,29,928
2017,29,1356
2018,29,
2019,29,
2020,29,
2008,30,1031
2009,30,1226
2010,30,2027
2011,30,1292
2012,30,1463
2013,30,219031
2014,30,243002
2015,30,296861
2016,30,301133
2017,30,146090
2018,30,88912
2019,30,77709
2020,30,69810
2008,31,
2009,31,
2010,31,
2011,31,
2012,31,194
2013,31,2
2014,31,26
2015,31,239
2016,31,105
2017,31,30
2018,31,6
2019,31,8
2020,31,
2008,32,2
2009,32,2
2010,32,6
2011,32,9
2012,32,32421
2013,32,30476
2014,32,29374
2015,32,28678
2016,32,30362
2017,32,10174
2018,32,6397
2019,32,7278
2020,32,1975
2008,33,142
2009,33,173
2010,33,156
2011,33,264
2012,33,138
2013,33,2203
2014,33,1759
2015,33,1595
2016,33,1442
2017,33,1566
2018,33,16459
2019,33,
2020,33,
2008,34,92203
2009,34,103190
2010,34,128048
2011,34,251962
2012,34,578388
2013,34,484386
2014,34,551525
2015,34,537092
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,259
2009,35,199
