Date,Id,che
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,3693
2009,2,8937
2010,2,8257
2011,2,16519
2012,2,17142
2013,2,16428
2014,2,35454
2015,2,9239
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,6104
2015,3,3834
2016,3,2887
2017,3,5379
2018,3,7786
2019,3,9080
2020,3,16931
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,243
2014,4,2655
2015,4,32072
2016,4,15830
2017,4,4688
2018,4,1930
2019,4,8901
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,2326
2015,5,508
2016,5,284
2017,5,2089
2018,5,1873
2019,5,2058
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,859
2015,6,849
2016,6,779
2017,6,25
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,9174
2013,7,7778
2014,7,9131
2015,7,6575
2016,7,11557
2017,7,20259
2018,7,14190
2019,7,
2020,7,
2008,8,45673
2009,8,64653
2010,8,76323
2011,8,105533
2012,8,125454
2013,8,116054
2014,8,216170
2015,8,202918
2016,8,246575
2017,8,301126
2018,8,345420
2019,8,306217
2020,8,553195
2008,9,79467
2009,9,232748
2010,9,228265
2011,9,166118
2012,9,108249
2013,9,74285
2014,9,118818
2015,9,141005
2016,9,212612
2017,9,145614
2018,9,206022
2019,9,220026
2020,9,254642
2008,10,45772
2009,10,204366
2010,10,177910
2011,10,151887
2012,10,87370
2013,10,67342
2014,10,98902
2015,10,104251
2016,10,199227
2017,10,130490
2018,10,191549
2019,10,194658
2020,10,234147
2008,11,30428
2009,11,33751
2010,11,26428
2011,11,20235
2012,11,38745
2013,11,32953
2014,11,31820
2015,11,38264
2016,11,16484
2017,11,17779
2018,11,15075
2019,11,25451
2020,11,24715
2008,12,185373
2009,12,161637
2010,12,163098
2011,12,157015
2012,12,92311
2013,12,60346
2014,12,40782
2015,12,37355
2016,12,27783
2017,12,39785
2018,12,34593
2019,12,24732
2020,12,33105
2008,13,50297
2009,13,111629
2010,13,66960
2011,13,104373
2012,13,93438
2013,13,132852
2014,13,133523
2015,13,128227
2016,13,99542
2017,13,105399
2018,13,92941
2019,13,168479
2020,13,213647
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,
2013,17,188545
2014,17,143025
2015,17,191379
2016,17,474060
2017,17,663389
2018,17,803838
2019,17,909355
2020,17,1402490
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,29
2016,18,127
2017,18,1624
2018,18,378
2019,18,1182
2020,18,1061
2008,19,176015
2009,19,133300
2010,19,261300
2011,19,416000
2012,19,484900
2013,19,475700
2014,19,253700
2015,19,914200
2016,19,361300
2017,19,523800
2018,19,643000
2019,19,712700
2020,19,549300
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,22816
2016,20,27622
2017,20,30680
2018,20,39487
2019,20,32765
2020,20,33459
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,30833
2013,21,22158
2014,21,19336
2015,21,26005
2016,21,46264
2017,21,89594
2018,21,94541
2019,21,95360
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,9783
2012,22,11556
2013,22,6005
2014,22,4288
2015,22,23282
2016,22,6115
2017,22,7181
2018,22,6570
2019,22,5650
2020,22,20517
2008,23,17868
2009,23,21257
2010,23,8685
2011,23,11319
2012,23,15774
2013,23,14228
2014,23,17489
2015,23,17155
2016,23,16480
2017,23,23128
2018,23,31928
2019,23,46772
2020,23,32171
2008,24,33778
2009,24,42224
2010,24,32580
2011,24,48902
2012,24,63832
2013,24,69999
2014,24,98571
2015,24,107391
2016,24,127521
2017,24,121301
2018,24,135106
2019,24,177335
2020,24,276630
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,571
2013,25,278
2014,25,4066
2015,25,8640
2016,25,4056
2017,25,40945
2018,25,18130
2019,25,
2020,25,
2008,26,356058
2009,26,467684
2010,26,419435
2011,26,462458
2012,26,417868
2013,26,404716
2014,26,552672
2015,26,645909
2016,26,507978
2017,26,596503
2018,26,222595
2019,26,333494
2020,26,549611
2008,27,3690
2009,27,4456
2010,27,2328
2011,27,3101
2012,27,4559
2013,27,9973
2014,27,2932
2015,27,7500
2016,27,16995
2017,27,8285
2018,27,18092
2019,27,9384
2020,27,38183
2008,28,613604
2009,28,486262
2010,28,421943
2011,28,437209
2012,28,340577
2013,28,369716
2014,28,353787
2015,28,444232
2016,28,571235
2017,28,460085
2018,28,412973
2019,28,517503
2020,28,645035
2008,29,1022
2009,29,3955
2010,29,1365
2011,29,932
2012,29,626
2013,29,334
2014,29,854
2015,29,345
2016,29,928
2017,29,1356
2018,29,
2019,29,
2020,29,
2008,30,89021
2009,30,113310
2010,30,134671
2011,30,163126
2012,30,190001
2013,30,220306
2014,30,244468
2015,30,299156
2016,30,301133
2017,30,146669
2018,30,88927
2019,30,88686
2020,30,73485
2008,31,702
2009,31,426
2010,31,951
2011,31,993
2012,31,195
2013,31,55
2014,31,26
2015,31,264
2016,31,105
2017,31,30
2018,31,6
2019,31,8
2020,31,
2008,32,85269
2009,32,61201
2010,32,55394
2011,32,55743
2012,32,33536
2013,32,30568
2014,32,29463
2015,32,28771
2016,32,30455
2017,32,10175
2018,32,6398
2019,32,7279
2020,32,1975
2008,33,6996
2009,33,4953
2010,33,15808
2011,33,10457
2012,33,9319
2013,33,12338
2014,33,12480
2015,33,14353
2016,33,11372
2017,33,13542
2018,33,21203
2019,33,
2020,33,
2008,34,574555
2009,34,775099
2010,34,831526
2011,34,677992
2012,34,601394
