Date,Id,closely held shares
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,2248
2009,2,11888
2010,2,11920
2011,2,14218
2012,2,14773
2013,2,
2014,2,29689
2015,2,29689
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,
2015,3,
2016,3,
2017,3,
2018,3,
2019,3,
2020,3,
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,
2014,4,
2015,4,
2016,4,
2017,4,
2018,4,
2019,4,
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,
2015,5,
2016,5,
2017,5,
2018,5,1489
2019,5,1480
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,
2015,6,
2016,6,
2017,6,10865
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,
2013,7,
2014,7,
2015,7,0
2016,7,
2017,7,
2018,7,
2019,7,
2020,7,
2008,8,
2009,8,188940
2010,8,197285
2011,8,188732
2012,8,188732
2013,8,188723
2014,8,188723
2015,8,188723
2016,8,188723
2017,8,178725
2018,8,178724
2019,8,182210
2020,8,182210
2008,9,280484
2009,9,186986
2010,9,186986
2011,9,183307
2012,9,190716
2013,9,183307
2014,9,183304
2015,9,201400
2016,9,201400
2017,9,201400
2018,9,203739
2019,9,201389
2020,9,201400
2008,10,215601
2009,10,241651
2010,10,215109
2011,10,217946
2012,10,213325
2013,10,214909
2014,10,214909
2015,10,213514
2016,10,213514
2017,10,211708
2018,10,199658
2019,10,201244
2020,10,211708
2008,11,61500
2009,11,61500
2010,11,61500
2011,11,75904
2012,11,69548
2013,11,75904
2014,11,75900
2015,11,75900
2016,11,75900
2017,11,92987
2018,11,92987
2019,11,75895
2020,11,75904
2008,12,7116
2009,12,7811
2010,12,
2011,12,33194
2012,12,33194
2013,12,33195
2014,12,33195
2015,12,33195
2016,12,32667
2017,12,42102
2018,12,42102
2019,12,42102
2020,12,42102
2008,13,72973
2009,13,64632
2010,13,74513
2011,13,70926
2012,13,72210
2013,13,69981
2014,13,69981
2015,13,70117
2016,13,70117
2017,13,67595
2018,13,66789
2019,13,66789
2020,13,66789
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,
2013,17,
2014,17,
2015,17,
2016,17,
2017,17,
2018,17,126718
2019,17,126718
2020,17,126837
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,
2016,18,0
2017,18,0
2018,18,10051
2019,18,10051
2020,18,10051
2008,19,679847
2009,19,708896
2010,19,713484
2011,19,592416
2012,19,592416
2013,19,592416
2014,19,592416
2015,19,714396
2016,19,714396
2017,19,592416
2018,19,747954
2019,19,592416
2020,19,630728
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,0
2016,20,0
2017,20,0
2018,20,1448
2019,20,1315
2020,20,1315
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,
2013,21,
2014,21,22645
2015,21,22874
2016,21,22874
2017,21,22874
2018,21,22874
2019,21,22871
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,
2012,22,
2013,22,
2014,22,
2015,22,0
2016,22,0
2017,22,23631
2018,22,23631
2019,22,23631
2020,22,23631
2008,23,9575
2009,23,
2010,23,9573
2011,23,10089
2012,23,10089
2013,23,13859
2014,23,13859
2015,23,13859
2016,23,13174
2017,23,13174
2018,23,13174
2019,23,13174
2020,23,13174
2008,24,6814
2009,24,6824
2010,24,7844
2011,24,63472
2012,24,63472
2013,24,63472
2014,24,68069
2015,24,61720
2016,24,61720
2017,24,61200
2018,24,61200
2019,24,61200
2020,24,
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,
2013,25,11863
2014,25,11863
2015,25,11863
2016,25,11861
2017,25,0
2018,25,0
2019,25,
2020,25,
2008,26,51209
2009,26,51239
2010,26,51391
2011,26,51703
2012,26,51703
2013,26,51701
2014,26,51701
2015,26,51701
2016,26,51701
2017,26,67970
2018,26,
2019,26,51929
2020,26,1030188
2008,27,32207
2009,27,31749
2010,27,
2011,27,33876
2012,27,33876
2013,27,33877
2014,27,33877
2015,27,33877
2016,27,33877
2017,27,31432
2018,27,31432
2019,27,31431
2020,27,31431
2008,28,105227
2009,28,105227
2010,28,105267
2011,28,105225
2012,28,105225
2013,28,105225
2014,28,
2015,28,0
2016,28,0
2017,28,105228
2018,28,105228
2019,28,105267
2020,28,
2008,29,2458
2009,29,2429
2010,29,2429
2011,29,3880
2012,29,3880
2013,29,3880
2014,29,
2015,29,2417
2016,29,3665
2017,29,3434
2018,29,
2019,29,
2020,29,
2008,30,5585
2009,30,5986
2010,30,
2011,30,5845
2012,30,5689
2013,30,5689
2014,30,8756
2015,30,8756
2016,30,8756
2017,30,
2018,30,8756
2019,30,8
2020,30,59036
2008,31,
2009,31,
2010,31,
2011,31,0
2012,31,0
2013,31,
2014,31,0
2015,31,
2016,31,
2017,31,
2018,31,0
2019,31,25
2020,31,
2008,32,20137
2009,32,23457
2010,32,20137
2011,32,20137
2012,32,20137
2013,32,20137
2014,32,20137
2015,32,21407
2016,32,24699
2017,32,24699
2018,32,24699
2019,32,24177
2020,32,24299
2008,33,37061
2009,33,31631
2010,33,35457
2011,33,54076
2012,33,54076
2013,33,54076
2014,33,54076
2015,33,54076
2016,33,51076
2017,33,51076
2018,33,
2019,33,
2020,33,
2008,34,195189
2009,34,121978
2010,34,125980
2011,34,121978
2012,34,121978
2013,34,176905
2014,34,154797
2015,34,157172
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,100732
2009,35,100776
2010,35,60729
2011,35,108711
2012,35,110127
2013,35,110127
