Date,Id,cogs
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,6406
2009,2,5891
2010,2,961
2011,2,44791
2012,2,50064
2013,2,15061
2014,2,6866
2015,2,5461
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,6353
2015,3,15258
2016,3,32953
2017,3,30204
2018,3,13785
2019,3,32591
2020,3,21161
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,3480
2014,4,10736
2015,4,96709
2016,4,81957
2017,4,81224
2018,4,34577
2019,4,47315
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,2500
2015,5,2737
2016,5,10615
2017,5,28445
2018,5,65308
2019,5,80080
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,5849
2015,6,16974
2016,6,1885
2017,6,1586
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,-3663
2013,7,-1227
2014,7,-2738
2015,7,-8875
2016,7,-19176
2017,7,-14057
2018,7,5544
2019,7,
2020,7,
2008,8,729135
2009,8,586927
2010,8,744353
2011,8,882773
2012,8,981829
2013,8,791673
2014,8,918004
2015,8,1041822
2016,8,1105505
2017,8,1153036
2018,8,1237655
2019,8,1187976
2020,8,1002388
2008,9,1316751
2009,9,1209247
2010,9,1214605
2011,9,1241665
2012,9,863714
2013,9,732477
2014,9,728406
2015,9,785366
2016,9,786766
2017,9,825168
2018,9,843470
2019,9,936495
2020,9,835350
2008,10,1138397
2009,10,1096434
2010,10,1102752
2011,10,1129235
2012,10,1039685
2013,10,643394
2014,10,620478
2015,10,663759
2016,10,740157
2017,10,749184
2018,10,790876
2019,10,876040
2020,10,765551
2008,11,116153
2009,11,147058
2010,11,171328
2011,11,163914
2012,11,119754
2013,11,105555
2014,11,108056
2015,11,100439
2016,11,94236
2017,11,100527
2018,11,93092
2019,11,100510
2020,11,84212
2008,12,453756
2009,12,161261
2010,12,176678
2011,12,46540
2012,12,56914
2013,12,18940
2014,12,22257
2015,12,17868
2016,12,16498
2017,12,23123
2018,12,29928
2019,12,24183
2020,12,15047
2008,13,763926
2009,13,601742
2010,13,701325
2011,13,894828
2012,13,927302
2013,13,929339
2014,13,964020
2015,13,1079129
2016,13,1122186
2017,13,1199321
2018,13,1137960
2019,13,1065219
2020,13,830726
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,1059310
2013,17,1084837
2014,17,1342404
2015,17,1193810
2016,17,1329666
2017,17,1510480
2018,17,1447897
2019,17,1592993
2020,17,1440241
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,529
2016,18,2768
2017,18,2435
2018,18,4558
2019,18,3578
2020,18,6818
2008,19,413547
2009,19,416278
2010,19,477900
2011,19,517400
2012,19,542400
2013,19,684300
2014,19,700700
2015,19,704500
2016,19,704600
2017,19,703100
2018,19,648200
2019,19,681100
2020,19,702300
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,77005
2016,20,78189
2017,20,80817
2018,20,87244
2019,20,91212
2020,20,118871
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,728388
2013,21,597953
2014,21,565153
2015,21,689703
2016,21,645727
2017,21,677289
2018,21,617150
2019,21,627220
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,22072
2012,22,24621
2013,22,24838
2014,22,19118
2015,22,21013
2016,22,21427
2017,22,21972
2018,22,22141
2019,22,22794
2020,22,18530
2008,23,150814
2009,23,144468
2010,23,96904
2011,23,106802
2012,23,104765
2013,23,71932
2014,23,78982
2015,23,75510
2016,23,72114
2017,23,77960
2018,23,80565
2019,23,58546
2020,23,59770
2008,24,205992
2009,24,200468
2010,24,225916
2011,24,240151
2012,24,140742
2013,24,138495
2014,24,142053
2015,24,149255
2016,24,149084
2017,24,170598
2018,24,189332
2019,24,200960
2020,24,208747
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,0
2013,25,0
2014,25,0
2015,25,0
2016,25,17
2017,25,31
2018,25,492
2019,25,
2020,25,
2008,26,509120
2009,26,550598
2010,26,571677
2011,26,720282
2012,26,791458
2013,26,422112
2014,26,396337
2015,26,456635
2016,26,449134
2017,26,369803
2018,26,371703
2019,26,206228
2020,26,192554
2008,27,160736
2009,27,156947
2010,27,142434
2011,27,145777
2012,27,146377
2013,27,82450
2014,27,82936
2015,27,97219
2016,27,107023
2017,27,96083
2018,27,106939
2019,27,117133
2020,27,122467
2008,28,810909
2009,28,653333
2010,28,631878
2011,28,744221
2012,28,457425
2013,28,504479
2014,28,409650
2015,28,431490
2016,28,428061
2017,28,432601
2018,28,496710
2019,28,470800
2020,28,478459
2008,29,74474
2009,29,71304
2010,29,72204
2011,29,72969
2012,29,34726
2013,29,36754
2014,29,38599
2015,29,35667
2016,29,32168
2017,29,32918
2018,29,
2019,29,
2020,29,
2008,30,505100
2009,30,402110
2010,30,379044
2011,30,672026
2012,30,712303
2013,30,563520
2014,30,510507
2015,30,621078
2016,30,339530
2017,30,389961
2018,30,191107
2019,30,213251
2020,30,139168
2008,31,1893
2009,31,2232
2010,31,2103
2011,31,1977
2012,31,2639
2013,31,2254
2014,31,1714
2015,31,3126
2016,31,2580
2017,31,2492
2018,31,2974
2019,31,3747
2020,31,
2008,32,8028
2009,32,8611
2010,32,5235
2011,32,6762
2012,32,6905
2013,32,1851
2014,32,6184
2015,32,5065
2016,32,-8838
2017,32,-7091
2018,32,14531
2019,32,1748
2020,32,258
2008,33,145874
2009,33,118126
2010,33,133181
2011,33,118286
2012,33,118801
2013,33,75802
2014,33,69355
2015,33,70066
2016,33,58991
2017,33,59959
