Date,Id,common shares outstanding
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,7623
2009,2,21329
2010,2,25329
2011,2,26213
2012,2,26213
2013,2,29214
2014,2,55928
2015,2,56072
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,71682
2015,3,126516
2016,3,30251
2017,3,30251
2018,3,68350
2019,3,77175
2020,3,89836
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,3460
2014,4,3434
2015,4,3446
2016,4,4146
2017,4,4695
2018,4,7758
2019,4,7758
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,1455
2015,5,1492
2016,5,1492
2017,5,1713
2018,5,1713
2019,5,1713
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,12076
2015,6,12076
2016,6,12076
2017,6,12076
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,60
2013,7,2000
2014,7,23919
2015,7,23919
2016,7,23919
2017,7,23919
2018,7,23919
2019,7,
2020,7,
2008,8,326722
2009,8,326722
2010,8,326722
2011,8,325187
2012,8,325187
2013,8,325187
2014,8,325187
2015,8,325187
2016,8,325187
2017,8,325187
2018,8,325187
2019,8,323887
2020,8,323887
2008,9,343200
2009,9,343200
2010,9,340530
2011,9,340530
2012,9,340530
2013,9,340530
2014,9,340530
2015,9,340530
2016,9,340530
2017,9,340530
2018,9,340530
2019,9,340530
2020,9,340530
2008,10,369515
2009,10,368494
2010,10,366911
2011,10,364950
2012,10,360067
2013,10,360055
2014,10,361208
2015,10,361192
2016,10,358154
2017,10,358154
2018,10,357360
2019,10,357255
2020,10,357125
2008,11,112500
2009,11,112500
2010,11,112500
2011,11,112500
2012,11,112500
2013,11,112500
2014,11,112500
2015,11,112500
2016,11,112500
2017,11,112500
2018,11,112500
2019,11,112500
2020,11,112500
2008,12,14040
2009,12,42925
2010,12,42925
2011,12,42925
2012,12,42925
2013,12,42925
2014,12,42925
2015,12,42925
2016,12,42925
2017,12,55269
2018,12,55269
2019,12,55269
2020,12,55269
2008,13,114193
2009,13,114193
2010,13,114479
2011,13,113410
2012,13,112943
2013,13,109695
2014,13,115091
2015,13,115366
2016,13,116478
2017,13,117290
2018,13,122604
2019,13,117858
2020,13,117996
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,
2013,17,377843
2014,17,377843
2015,17,377843
2016,17,245418
2017,17,245447
2018,17,244414
2019,17,248630
2020,17,248095
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,12771
2016,18,12771
2017,18,13205
2018,18,17108
2019,18,17108
2020,18,18199
2008,19,1153837
2009,19,1151784
2010,19,1157046
2011,19,1154907
2012,19,1152604
2013,19,1151366
2014,19,1153837
2015,19,1158157
2016,19,1158915
2017,19,1152547
2018,19,1146618
2019,19,1147896
2020,19,1771535
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,6576
2016,20,6359
2017,20,5640
2018,20,7248
2019,20,7168
2020,20,7364
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,28000
2013,21,28000
2014,21,28000
2015,21,34300
2016,21,34300
2017,21,34300
2018,21,34300
2019,21,34300
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,27804
2012,22,27804
2013,22,27804
2014,22,27804
2015,22,32151
2016,22,32151
2017,22,32151
2018,22,32151
2019,22,32151
2020,22,32151
2008,23,17500
2009,23,17500
2010,23,17500
2011,23,17500
2012,23,17500
2013,23,17500
2014,23,38675
2015,23,38675
2016,23,38675
2017,23,38675
2018,23,38410
2019,23,37860
2020,23,37968
2008,24,90700
2009,24,90700
2010,24,90700
2011,24,90700
2012,24,90700
2013,24,90700
2014,24,90700
2015,24,90700
2016,24,90700
2017,24,90700
2018,24,90700
2019,24,90700
2020,24,90700
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,12000
2013,25,12000
2014,25,13275
2015,25,14577
2016,25,14661
2017,25,18825
2018,25,18825
2019,25,
2020,25,
2008,26,97255
2009,26,97433
2010,26,97603
2011,26,97814
2012,26,97817
2013,26,97905
2014,26,97528
2015,26,97624
2016,26,97767
2017,26,97885
2018,26,97871
2019,26,97871
2020,26,1463152
2008,27,44923
2009,27,44923
2010,27,44923
2011,27,44923
2012,27,44923
2013,27,44923
2014,27,44923
2015,27,44923
2016,27,44923
2017,27,44923
2018,27,44923
2019,27,44923
2020,27,44923
2008,28,120120
2009,28,120120
2010,28,120120
2011,28,120120
2012,28,120120
2013,28,120120
2014,28,120120
2015,28,120120
2016,28,120120
2017,28,120120
2018,28,120120
2019,28,120120
2020,28,120120
2008,29,4282
2009,29,4282
2010,29,4282
2011,29,4282
2012,29,4282
2013,29,4282
2014,29,4282
2015,29,4282
2016,29,4282
2017,29,4282
2018,29,
2019,29,
2020,29,
2008,30,9987
2009,30,10109
2010,30,10109
2011,30,11088
2012,30,11067
2013,30,11067
2014,30,17634
2015,30,17640
2016,30,17640
2017,30,17640
2018,30,17640
2019,30,17618
2020,30,150834
2008,31,0
2009,31,0
2010,31,0
2011,31,0
2012,31,0
2013,31,0
2014,31,3
2015,31,3
2016,31,4
2017,31,5
2018,31,9
2019,31,56
2020,31,
2008,32,30105
2009,32,30105
2010,32,30105
2011,32,30105
2012,32,30105
2013,32,30105
2014,32,30105
2015,32,30105
2016,32,30105
2017,32,30105
2018,32,30105
2019,32,30105
2020,32,30105
2008,33,56935
2009,33,57089
2010,33,80836
2011,33,79605
2012,33,78691
2013,33,77756
2014,33,78613
2015,33,78760
2016,33,78739
2017,33,78766
2018,33,78766
2019,33,
2020,33,
