Date,Id,common stock
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,15734
2009,2,44025
2010,2,52281
2011,2,54106
2012,2,54106
2013,2,60301
2014,2,93902
2015,2,93902
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,5028
2015,3,15028
2016,3,17875
2017,3,4173
2018,3,1850
2019,3,1955
2020,3,2862
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,345
2014,4,346
2015,4,347
2016,4,417
2017,4,472
2018,4,785
2019,4,785
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,2424
2015,5,2488
2016,5,2488
2017,5,2856
2018,5,2856
2019,5,2856
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,1208
2015,6,1208
2016,6,1208
2017,6,1208
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,60
2013,7,2000
2014,7,2392
2015,7,2392
2016,7,2392
2017,7,2392
2018,7,2392
2019,7,
2020,7,
2008,8,34728
2009,8,34728
2010,8,34728
2011,8,34728
2012,8,34728
2013,8,34728
2014,8,34728
2015,8,34728
2016,8,34728
2017,8,34728
2018,8,34728
2019,8,34728
2020,8,34728
2008,9,177076
2009,9,177076
2010,9,177076
2011,9,177076
2012,9,177076
2013,9,178464
2014,9,178464
2015,9,178464
2016,9,178464
2017,9,178464
2018,9,178464
2019,9,178464
2020,9,178464
2008,10,192147
2009,10,191616
2010,10,203348
2011,10,202209
2012,10,199504
2013,10,205570
2014,10,206228
2015,10,207614
2016,10,207614
2017,10,207614
2018,10,207614
2019,10,207614
2020,10,207614
2008,11,11250
2009,11,11250
2010,11,11250
2011,11,11250
2012,11,11250
2013,11,11250
2014,11,11250
2015,11,11250
2016,11,11250
2017,11,11250
2018,11,11250
2019,11,11250
2020,11,11250
2008,12,9301
2009,12,30151
2010,12,30151
2011,12,30151
2012,12,30151
2013,12,30151
2014,12,30151
2015,12,30151
2016,12,30151
2017,12,54271
2018,12,54271
2019,12,54271
2020,12,54271
2008,13,60397
2009,13,60397
2010,13,60546
2011,13,60665
2012,13,60712
2013,13,60924
2014,13,61631
2015,13,61681
2016,13,62065
2017,13,62394
2018,13,62461
2019,13,62461
2020,13,62461
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,
2013,17,3778
2014,17,3778
2015,17,3778
2016,17,2504
2017,17,2504
2018,17,2504
2019,17,2573
2020,17,2573
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,100
2016,18,117
2017,18,140
2018,18,150
2019,18,174
2020,18,216
2008,19,29040
2009,19,29040
2010,19,58100
2011,19,58100
2012,19,58100
2013,19,58100
2014,19,58100
2015,19,58100
2016,19,58100
2017,19,58100
2018,19,58100
2019,19,58100
2020,19,18300
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,707
2016,20,707
2017,20,710
2018,20,880
2019,20,880
2020,20,880
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,28000
2013,21,28000
2014,21,28000
2015,21,34300
2016,21,34300
2017,21,34300
2018,21,34300
2019,21,34300
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,37258
2012,22,37258
2013,22,37258
2014,22,37258
2015,22,43083
2016,22,43083
2017,22,43083
2018,22,43083
2019,22,43083
2020,22,43083
2008,23,17550
2009,23,17550
2010,23,17550
2011,23,17550
2012,23,17550
2013,23,17550
2014,23,24961
2015,23,24961
2016,23,24961
2017,23,24961
2018,23,24961
2019,23,24961
2020,23,24961
2008,24,47164
2009,24,47164
2010,24,47164
2011,24,47164
2012,24,47164
2013,24,47164
2014,24,47164
2015,24,47164
2016,24,47164
2017,24,47164
2018,24,47164
2019,24,47164
2020,24,47164
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,10
2013,25,10
2014,25,132
2015,25,146
2016,25,147
2017,25,188
2018,25,188
2019,25,
2020,25,
2008,26,193554
2009,26,193610
2010,26,193606
2011,26,196850
2012,26,196850
2013,26,196850
2014,26,196850
2015,26,196850
2016,26,196850
2017,26,196850
2018,26,196850
2019,26,196850
2020,26,340431
2008,27,22678
2009,27,22678
2010,27,22678
2011,27,22678
2012,27,22678
2013,27,22678
2014,27,22678
2015,27,22678
2016,27,22678
2017,27,22678
2018,27,22678
2019,27,22678
2020,27,22678
2008,28,120120
2009,28,120120
2010,28,120120
2011,28,120120
2012,28,120120
2013,28,120120
2014,28,120120
2015,28,120120
2016,28,120120
2017,28,120120
2018,28,120120
2019,28,120120
2020,28,120120
2008,29,11285
2009,29,11285
2010,29,11285
2011,29,11285
2012,29,11285
2013,29,11285
2014,29,11285
2015,29,11285
2016,29,11285
2017,29,11285
2018,29,
2019,29,
2020,29,
2008,30,31614
2009,30,32000
2010,30,32000
2011,30,35040
2012,30,35033
2013,30,35033
2014,30,82328
2015,30,82289
2016,30,82290
2017,30,82290
2018,30,82290
2019,30,82290
2020,30,97374
2008,31,
2009,31,
2010,31,
2011,31,
2012,31,130
2013,31,130
2014,31,868
2015,31,1070
2016,31,475
2017,31,780
2018,31,2030
2019,31,3818
2020,31,
2008,32,30105
2009,32,30105
2010,32,30105
2011,32,30105
2012,32,30105
2013,32,30105
2014,32,30105
2015,32,30105
2016,32,30105
2017,32,30105
2018,32,30105
2019,32,30105
2020,32,30105
2008,33,54666
2009,33,54813
2010,33,62692
2011,33,62423
2012,33,62259
2013,33,62081
2014,33,62316
2015,33,62360
2016,33,62356
2017,33,62362
2018,33,62362
2019,33,
2020,33,
2008,34,282549
2009,34,282549
2010,34,282549
2011,34,282549
2012,34,282549
2013,34,282549
