Date,Id,current assets
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,17561
2009,2,29556
2010,2,92780
2011,2,115718
2012,2,63766
2013,2,87815
2014,2,161606
2015,2,114794
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,23879
2015,3,56725
2016,3,42151
2017,3,31853
2018,3,28992
2019,3,27406
2020,3,51044
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,7206
2014,4,11775
2015,4,58616
2016,4,56671
2017,4,55119
2018,4,37807
2019,4,65208
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,8840
2015,5,7809
2016,5,7955
2017,5,14539
2018,5,26236
2019,5,28212
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,19165
2015,6,34252
2016,6,33732
2017,6,13192
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,32753
2013,7,34726
2014,7,36551
2015,7,42455
2016,7,53590
2017,7,78327
2018,7,74057
2019,7,
2020,7,
2008,8,476605
2009,8,395961
2010,8,496201
2011,8,576077
2012,8,579317
2013,8,619396
2014,8,772277
2015,8,798182
2016,8,930988
2017,8,1068416
2018,8,1167007
2019,8,1136230
2020,8,1412861
2008,9,701273
2009,9,861381
2010,9,906025
2011,9,847989
2012,9,715154
2013,9,672759
2014,9,701070
2015,9,656602
2016,9,670437
2017,9,623388
2018,9,687437
2019,9,701318
2020,9,697225
2008,10,443163
2009,10,608203
2010,10,575897
2011,10,509708
2012,10,427428
2013,10,401001
2014,10,477491
2015,10,448439
2016,10,533385
2017,10,471027
2018,10,543085
2019,10,537656
2020,10,548358
2008,11,155579
2009,11,219247
2010,11,195653
2011,11,192885
2012,11,188125
2013,11,153155
2014,11,148267
2015,11,148807
2016,11,115270
2017,11,90988
2018,11,97117
2019,11,113107
2020,11,112789
2008,12,294338
2009,12,228802
2010,12,192818
2011,12,182496
2012,12,128149
2013,12,90107
2014,12,75717
2015,12,65471
2016,12,47908
2017,12,73100
2018,12,69649
2019,12,65096
2020,12,54505
2008,13,372516
2009,13,342604
2010,13,329126
2011,13,468101
2012,13,455034
2013,13,453839
2014,13,458795
2015,13,470052
2016,13,457686
2017,13,469971
2018,13,397147
2019,13,454886
2020,13,487730
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,
2013,17,2218862
2014,17,2844655
2015,17,2019823
2016,17,1887453
2017,17,2081077
2018,17,2477326
2019,17,2641201
2020,17,3075883
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,823
2016,18,3549
2017,18,6806
2018,18,5801
2019,18,7586
2020,18,6980
2008,19,646912
2009,19,668218
2010,19,852600
2011,19,1066900
2012,19,1282300
2013,19,1257800
2014,19,1088200
2015,19,1746300
2016,19,1249800
2017,19,1393400
2018,19,1549800
2019,19,1711600
2020,19,1553600
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,66455
2016,20,73120
2017,20,77178
2018,20,83810
2019,20,79342
2020,20,93014
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,322845
2013,21,299258
2014,21,297059
2015,21,292037
2016,21,323724
2017,21,361166
2018,21,368574
2019,21,390106
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,51604
2012,22,57451
2013,22,55036
2014,22,55395
2015,22,72319
2016,22,65054
2017,22,56968
2018,22,58988
2019,22,50555
2020,22,65545
2008,23,188281
2009,23,178059
2010,23,105632
2011,23,106257
2012,23,106874
2013,23,103137
2014,23,117083
2015,23,128494
2016,23,125402
2017,23,131874
2018,23,129410
2019,23,123715
2020,23,99511
2008,24,271850
2009,24,285014
2010,24,303558
2011,24,352564
2012,24,361367
2013,24,369029
2014,24,389387
2015,24,422766
2016,24,452855
2017,24,462723
2018,24,493824
2019,24,535620
2020,24,663365
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,1251
2013,25,1222
2014,25,6808
2015,25,17049
2016,25,15179
2017,25,60564
2018,25,78392
2019,25,
2020,25,
2008,26,1959133
2009,26,2278221
2010,26,2357952
2011,26,2812608
2012,26,2919417
2013,26,3194467
2014,26,3130705
2015,26,3086202
2016,26,3251788
2017,26,3304501
2018,26,2141393
2019,26,2270179
2020,26,2786860
2008,27,260548
2009,27,229587
2010,27,229646
2011,27,235321
2012,27,237877
2013,27,215398
2014,27,212420
2015,27,235592
2016,27,252013
2017,27,250951
2018,27,256813
2019,27,244849
2020,27,250895
2008,28,1125251
2009,28,964664
2010,28,975582
2011,28,986109
2012,28,933309
2013,28,867937
2014,28,863893
2015,28,936199
2016,28,1401023
2017,28,1547513
2018,28,1127759
2019,28,1032191
2020,28,1126141
2008,29,79048
2009,29,79401
2010,29,87602
2011,29,77034
2012,29,65873
2013,29,74782
2014,29,72971
2015,29,67137
2016,29,57980
2017,29,59296
2018,29,
2019,29,
2020,29,
2008,30,826666
2009,30,864924
2010,30,859887
2011,30,1155086
2012,30,1047645
2013,30,1121850
2014,30,1320112
2015,30,1322567
2016,30,1179597
2017,30,786187
2018,30,580290
2019,30,509145
2020,30,443591
2008,31,3394
2009,31,4179
2010,31,4187
2011,31,4074
2012,31,2378
2013,31,2116
2014,31,2657
2015,31,2786
2016,31,2389
2017,31,2872
2018,31,3074
2019,31,4994
2020,31,
2008,32,102679
2009,32,77869
2010,32,71238
2011,32,71105
2012,32,50958
2013,32,45283
2014,32,46737
2015,32,47443
2016,32,268559
2017,32,194731
2018,32,139932
2019,32,21459
2020,32,10295
2008,33,229923
2009,33,224715
2010,33,206545
2011,33,200578
2012,33,189656
2013,33,167682
2014,33,153759
2015,33,137478
