Date,Id,current liabilities
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,18000
2009,2,29744
2010,2,101680
2011,2,122136
2012,2,95825
2013,2,96195
2014,2,196133
2015,2,195339
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,19664
2015,3,57405
2016,3,51779
2017,3,38612
2018,3,22222
2019,3,23313
2020,3,40365
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,4930
2014,4,7502
2015,4,50708
2016,4,47644
2017,4,34472
2018,4,32178
2019,4,59943
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,23204
2015,5,19211
2016,5,18151
2017,5,21944
2018,5,34938
2019,5,34545
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,16015
2015,6,31099
2016,6,26308
2017,6,11159
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,46085
2013,7,48493
2014,7,49262
2015,7,68351
2016,7,94305
2017,7,137458
2018,7,114152
2019,7,
2020,7,
2008,8,424652
2009,8,400862
2010,8,377283
2011,8,503809
2012,8,511907
2013,8,559899
2014,8,617497
2015,8,622197
2016,8,771662
2017,8,801359
2018,8,1025327
2019,8,902872
2020,8,844108
2008,9,1022886
2009,9,981258
2010,9,1047860
2011,9,1126889
2012,9,1117585
2013,9,948195
2014,9,1041141
2015,9,985982
2016,9,1129179
2017,9,1003555
2018,9,1117194
2019,9,1096121
2020,9,1111028
2008,10,612555
2009,10,576851
2010,10,616166
2011,10,644277
2012,10,587080
2013,10,536501
2014,10,562173
2015,10,558811
2016,10,633041
2017,10,616241
2018,10,621672
2019,10,693686
2020,10,739333
2008,11,94909
2009,11,125804
2010,11,105722
2011,11,139641
2012,11,129552
2013,11,138768
2014,11,120709
2015,11,156546
2016,11,113045
2017,11,66463
2018,11,83614
2019,11,90398
2020,11,86935
2008,12,304669
2009,12,231753
2010,12,97812
2011,12,247889
2012,12,60076
2013,12,113129
2014,12,38231
2015,12,39411
2016,12,39778
2017,12,37942
2018,12,42412
2019,12,52881
2020,12,44220
2008,13,266001
2009,13,277244
2010,13,297270
2011,13,356876
2012,13,427936
2013,13,381750
2014,13,401511
2015,13,433791
2016,13,504555
2017,13,473056
2018,13,466142
2019,13,486307
2020,13,524278
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,
2013,17,1310199
2014,17,1719006
2015,17,2127565
2016,17,1676208
2017,17,1520240
2018,17,1556057
2019,17,1898877
2020,17,2260374
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,989
2016,18,3195
2017,18,2401
2018,18,3847
2019,18,8242
2020,18,8839
2008,19,385442
2009,19,339920
2010,19,374200
2011,19,548400
2012,19,510700
2013,19,485000
2014,19,509900
2015,19,848900
2016,19,541100
2017,19,465100
2018,19,658900
2019,19,1152500
2020,19,753700
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,48886
2016,20,54215
2017,20,60195
2018,20,67254
2019,20,59196
2020,20,74236
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,275445
2013,21,258747
2014,21,252251
2015,21,220201
2016,21,230854
2017,21,255777
2018,21,273555
2019,21,332974
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,16487
2012,22,15863
2013,22,14830
2014,22,14248
2015,22,15521
2016,22,15692
2017,22,15519
2018,22,14461
2019,22,15891
2020,22,17969
2008,23,212208
2009,23,197634
2010,23,132296
2011,23,113724
2012,23,108812
2013,23,110643
2014,23,83313
2015,23,85674
2016,23,70391
2017,23,71476
2018,23,79479
2019,23,81779
2020,23,37564
2008,24,128958
2009,24,130987
2010,24,140179
2011,24,158299
2012,24,139928
2013,24,152358
2014,24,164138
2015,24,182750
2016,24,170308
2017,24,200437
2018,24,214198
2019,24,251791
2020,24,281004
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,1147
2013,25,1333
2014,25,1852
2015,25,2304
2016,25,1895
2017,25,5654
2018,25,64410
2019,25,
2020,25,
2008,26,1419160
2009,26,1682113
2010,26,1755895
2011,26,2288461
2012,26,2432348
2013,26,2436404
2014,26,2301526
2015,26,2391358
2016,26,2370507
2017,26,2838382
2018,26,4946096
2019,26,4936435
2020,26,1959248
2008,27,176616
2009,27,124135
2010,27,124915
2011,27,138781
2012,27,122988
2013,27,119869
2014,27,124477
2015,27,138616
2016,27,149534
2017,27,137969
2018,27,152009
2019,27,175279
2020,27,139700
2008,28,688774
2009,28,616036
2010,28,698626
2011,28,797922
2012,28,776661
2013,28,609650
2014,28,555963
2015,28,573316
2016,28,705994
2017,28,612838
2018,28,587576
2019,28,500859
2020,28,833717
2008,29,55115
2009,29,55132
2010,29,67832
2011,29,60566
2012,29,51251
2013,29,60187
2014,29,58381
2015,29,51408
2016,29,40345
2017,29,42984
2018,29,
2019,29,
2020,29,
2008,30,660285
2009,30,529444
2010,30,545704
2011,30,770233
2012,30,727009
2013,30,835128
2014,30,854743
2015,30,876332
2016,30,1072892
2017,30,1055196
2018,30,1036882
2019,30,1037902
2020,30,430360
2008,31,3237
2009,31,5073
2010,31,5747
2011,31,5320
2012,31,3937
2013,31,4229
2014,31,5301
2015,31,4265
2016,31,4010
2017,31,3266
2018,31,2736
2019,31,4038
2020,31,
2008,32,10724
2009,32,8853
2010,32,7389
2011,32,8784
2012,32,12306
2013,32,7484
2014,32,8678
2015,32,9217
2016,32,97159
2017,32,20057
2018,32,46208
2019,32,23132
2020,32,10186
2008,33,152777
2009,33,138783
2010,33,108833
2011,33,134916
2012,33,139424
2013,33,127230
2014,33,138782
2015,33,142322
2016,33,103263
