Date,Id,dep
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,184
2009,2,1191
2010,2,3752
2011,2,4782
2012,2,4214
2013,2,10369
2014,2,12003
2015,2,20466
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,1800
2015,3,6589
2016,3,5718
2017,3,4977
2018,3,2986
2019,3,2088
2020,3,346
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,143
2014,4,269
2015,4,763
2016,4,656
2017,4,1966
2018,4,1743
2019,4,1920
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,2432
2015,5,2293
2016,5,2376
2017,5,2034
2018,5,1835
2019,5,1549
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,391
2015,6,518
2016,6,149
2017,6,152
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,2990
2013,7,4703
2014,7,5627
2015,7,6584
2016,7,7242
2017,7,18213
2018,7,21267
2019,7,
2020,7,
2008,8,61458
2009,8,68872
2010,8,70702
2011,8,70329
2012,8,79694
2013,8,89642
2014,8,96966
2015,8,104703
2016,8,116250
2017,8,132000
2018,8,151909
2019,8,194687
2020,8,204154
2008,9,98976
2009,9,100415
2010,9,89974
2011,9,98484
2012,9,83061
2013,9,85225
2014,9,91118
2015,9,106723
2016,9,110082
2017,9,118619
2018,9,110277
2019,9,127393
2020,9,119790
2008,10,94540
2009,10,96378
2010,10,86006
2011,10,95013
2012,10,79621
2013,10,122554
2014,10,137287
2015,10,164505
2016,10,109838
2017,10,115773
2018,10,105934
2019,10,118651
2020,10,114058
2008,11,6032
2009,11,9366
2010,11,12458
2011,11,18421
2012,11,18466
2013,11,17481
2014,11,15721
2015,11,15429
2016,11,15713
2017,11,14205
2018,11,10243
2019,11,11766
2020,11,12193
2008,12,34974
2009,12,15134
2010,12,11834
2011,12,4789
2012,12,3340
2013,12,3392
2014,12,2998
2015,12,3033
2016,12,2779
2017,12,2659
2018,12,3068
2019,12,4552
2020,12,3760
2008,13,42484
2009,13,42150
2010,13,44924
2011,13,48769
2012,13,58402
2013,13,60371
2014,13,61184
2015,13,64371
2016,13,68793
2017,13,69354
2018,13,118073
2019,13,124028
2020,13,121480
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,237540
2013,17,270250
2014,17,288982
2015,17,274757
2016,17,247717
2017,17,260606
2018,17,288748
2019,17,351946
2020,17,426637
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,546
2016,18,1546
2017,18,1821
2018,18,1909
2019,18,2764
2020,18,1805
2008,19,19301
2009,19,25407
2010,19,25800
2011,19,30300
2012,19,37800
2013,19,39600
2014,19,39400
2015,19,49200
2016,19,52700
2017,19,57100
2018,19,53800
2019,19,71700
2020,19,78000
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,2198
2016,20,1965
2017,20,1773
2018,20,2044
2019,20,3356
2020,20,3960
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,27377
2013,21,27041
2014,21,28269
2015,21,31134
2016,21,33434
2017,21,36795
2018,21,34746
2019,21,46375
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,3884
2012,22,3982
2013,22,4054
2014,22,4011
2015,22,4911
2016,22,5125
2017,22,2777
2018,22,2928
2019,22,3763
2020,22,4005
2008,23,8437
2009,23,10324
2010,23,9942
2011,23,9465
2012,23,10282
2013,23,9549
2014,23,8760
2015,23,8894
2016,23,11271
2017,23,9198
2018,23,9316
2019,23,10084
2020,23,9376
2008,24,51574
2009,24,55626
2010,24,59736
2011,24,65002
2012,24,68545
2013,24,70061
2014,24,75473
2015,24,78470
2016,24,81758
2017,24,85107
2018,24,88606
2019,24,105472
2020,24,115832
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,76
2013,25,121
2014,25,176
2015,25,230
2016,25,420
2017,25,406
2018,25,2434
2019,25,
2020,25,
2008,26,41456
2009,26,46343
2010,26,52202
2011,26,51568
2012,26,52018
2013,26,71178
2014,26,70633
2015,26,74755
2016,26,58210
2017,26,49404
2018,26,39789
2019,26,50977
2020,26,53672
2008,27,17601
2009,27,17139
2010,27,17402
2011,27,17621
2012,27,17640
2013,27,17255
2014,27,16714
2015,27,17453
2016,27,19360
2017,27,22089
2018,27,21097
2019,27,33625
2020,27,32658
2008,28,89009
2009,28,91889
2010,28,96109
2011,28,93844
2012,28,94860
2013,28,95636
2014,28,88990
2015,28,89500
2016,28,91315
2017,28,80223
2018,28,86097
2019,28,114107
2020,28,111944
2008,29,2737
2009,29,4223
2010,29,5178
2011,29,5370
2012,29,5881
2013,29,6369
2014,29,5187
2015,29,5353
2016,29,5460
2017,29,5855
2018,29,
2019,29,
2020,29,
2008,30,32398
2009,30,42161
2010,30,45332
2011,30,46333
2012,30,49199
2013,30,55166
2014,30,57036
2015,30,63038
2016,30,60666
2017,30,57526
2018,30,31502
2019,30,46715
2020,30,41221
2008,31,473
2009,31,323
2010,31,501
2011,31,484
2012,31,727
2013,31,475
2014,31,111
2015,31,427
2016,31,633
2017,31,447
2018,31,384
2019,31,376
2020,31,
2008,32,532
2009,32,681
2010,32,769
2011,32,819
2012,32,1573
2013,32,1479
2014,32,846
2015,32,603
2016,32,589
2017,32,73
2018,32,79
2019,32,151
2020,32,152
2008,33,11959
2009,33,9132
2010,33,7803
2011,33,7399
2012,33,7696
2013,33,9043
2014,33,7257
2015,33,8250
2016,33,9017
2017,33,6398
2018,33,9763
2019,33,
2020,33,
2008,34,450873
2009,34,459755
2010,34,472543
2011,34,474826
2012,34,771195
2013,34,475868
