Date,Id,disposal fixed assets
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,0
2009,2,0
2010,2,0
2011,2,20881
2012,2,0
2013,2,
2014,2,
2015,2,
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,
2015,3,
2016,3,
2017,3,2983
2018,3,
2019,3,
2020,3,
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,
2014,4,
2015,4,1087
2016,4,
2017,4,541
2018,4,
2019,4,0
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,185
2015,5,5685
2016,5,
2017,5,
2018,5,
2019,5,
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,
2015,6,
2016,6,
2017,6,
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,
2013,7,
2014,7,820
2015,7,555
2016,7,3278
2017,7,0
2018,7,13507
2019,7,
2020,7,
2008,8,15045
2009,8,4432
2010,8,5588
2011,8,2189
2012,8,7602
2013,8,2157
2014,8,3083
2015,8,11761
2016,8,3475
2017,8,5412
2018,8,5482
2019,8,6589
2020,8,4205
2008,9,1162
2009,9,1639
2010,9,38416
2011,9,8566
2012,9,957
2013,9,30248
2014,9,873
2015,9,5801
2016,9,2582
2017,9,6961
2018,9,1066
2019,9,62679
2020,9,1251
2008,10,1612
2009,10,1505
2010,10,3823
2011,10,6542
2012,10,955
2013,10,1287
2014,10,833
2015,10,581
2016,10,2552
2017,10,3277
2018,10,860
2019,10,179
2020,10,1203
2008,11,325
2009,11,309
2010,11,852
2011,11,569
2012,11,2686
2013,11,174
2014,11,310
2015,11,228
2016,11,166
2017,11,8672
2018,11,110
2019,11,354
2020,11,310
2008,12,6498
2009,12,69
2010,12,3139
2011,12,10112
2012,12,30004
2013,12,7
2014,12,814
2015,12,50
2016,12,109
2017,12,266
2018,12,437
2019,12,1664
2020,12,2780
2008,13,521
2009,13,300
2010,13,1238
2011,13,8523
2012,13,10946
2013,13,3526
2014,13,3880
2015,13,1857
2016,13,970
2017,13,389
2018,13,2532
2019,13,4051
2020,13,1878
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,2664
2013,17,1939
2014,17,1828
2015,17,38500
2016,17,2931
2017,17,3663
2018,17,1392
2019,17,4539
2020,17,969
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,0
2016,18,0
2017,18,0
2018,18,0
2019,18,0
2020,18,64
2008,19,8704
2009,19,3450
2010,19,4600
2011,19,14100
2012,19,33500
2013,19,6500
2014,19,39100
2015,19,27600
2016,19,53100
2017,19,176700
2018,19,18400
2019,19,15600
2020,19,8200
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,0
2016,20,0
2017,20,0
2018,20,0
2019,20,0
2020,20,0
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,1356
2013,21,1321
2014,21,908
2015,21,722
2016,21,1266
2017,21,1699
2018,21,1005
2019,21,864
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,
2012,22,
2013,22,
2014,22,677
2015,22,203
2016,22,13
2017,22,55
2018,22,17
2019,22,18
2020,22,24
2008,23,20
2009,23,13864
2010,23,10122
2011,23,49374
2012,23,71
2013,23,19055
2014,23,10
2015,23,1
2016,23,6
2017,23,129
2018,23,434
2019,23,641
2020,23,54913
2008,24,549
2009,24,625
2010,24,733
2011,24,1637
2012,24,597
2013,24,2386
2014,24,2358
2015,24,998
2016,24,5188
2017,24,3412
2018,24,3008
2019,24,2779
2020,24,2237
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,
2013,25,
2014,25,
2015,25,
2016,25,
2017,25,
2018,25,
2019,25,
2020,25,
2008,26,1784
2009,26,7101
2010,26,
2011,26,
2012,26,
2013,26,16121
2014,26,16374
2015,26,24423
2016,26,17715
2017,26,26579
2018,26,9134
2019,26,30002
2020,26,10458
2008,27,
2009,27,
2010,27,
2011,27,
2012,27,
2013,27,0
2014,27,0
2015,27,0
2016,27,611
2017,27,222
2018,27,216
2019,27,345
2020,27,34
2008,28,94127
2009,28,66295
2010,28,80169
2011,28,6296
2012,28,2581
2013,28,2574
2014,28,3326
2015,28,4325
2016,28,1842
2017,28,8502
2018,28,10069
2019,28,3766
2020,28,3606
2008,29,101
2009,29,86
2010,29,244
2011,29,224
2012,29,90
2013,29,52
2014,29,162
2015,29,80
2016,29,84
2017,29,111
2018,29,
2019,29,
2020,29,
2008,30,3576
2009,30,5025
2010,30,10590
2011,30,10591
2012,30,12197
2013,30,16294
2014,30,42573
2015,30,37668
2016,30,17709
2017,30,13530
2018,30,17227
2019,30,
2020,30,
2008,31,
2009,31,
2010,31,
2011,31,
2012,31,0
2013,31,0
2014,31,0
2015,31,0
2016,31,3
2017,31,0
2018,31,0
2019,31,0
2020,31,
2008,32,
2009,32,210
2010,32,0
2011,32,0
2012,32,0
2013,32,0
2014,32,0
2015,32,0
2016,32,0
2017,32,3822
2018,32,548
2019,32,501
2020,32,216
2008,33,
2009,33,
2010,33,
2011,33,5267
2012,33,0
2013,33,0
2014,33,0
2015,33,0
2016,33,770
2017,33,4620
2018,33,8296
2019,33,
2020,33,
2008,34,106831
2009,34,53285
2010,34,143361
2011,34,182469
2012,34,84571
2013,34,38081
2014,34,25218
2015,34,58978
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,3231
2009,35,1983
2010,35,2895
2011,35,6229
2012,35,2409
2013,35,2547
2014,35,3274
2015,35,4325
2016,35,1822
2017,35,3963
2018,35,296616
2019,35,2886
2020,35,3229
2008,36,34293
2009,36,10579
2010,36,18450
