Date,Id,dividend payout
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,
2009,2,
2010,2,
2011,2,
2012,2,
2013,2,
2014,2,
2015,2,
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,0
2009,3,0
2010,3,0
2011,3,0
2012,3,0
2013,3,0
2014,3,0
2015,3,0
2016,3,0
2017,3,0
2018,3,0
2019,3,0
2020,3,0
2008,4,0
2009,4,0
2010,4,0
2011,4,0
2012,4,0
2013,4,0
2014,4,0
2015,4,0
2016,4,0
2017,4,0
2018,4,0
2019,4,0
2020,4,0
2008,5,0
2009,5,0
2010,5,0
2011,5,0
2012,5,0
2013,5,0
2014,5,0
2015,5,0
2016,5,0
2017,5,0
2018,5,0
2019,5,0
2020,5,0
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,
2015,6,
2016,6,
2017,6,
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,
2013,7,
2014,7,
2015,7,
2016,7,
2017,7,
2018,7,
2019,7,
2020,7,
2008,8,42.34
2009,8,42.34
2010,8,42.34
2011,8,42.34
2012,8,42.34
2013,8,42.34
2014,8,42.34
2015,8,42.34
2016,8,42.34
2017,8,42.34
2018,8,42.34
2019,8,42.34
2020,8,42.34
2008,9,0
2009,9,0
2010,9,0
2011,9,0
2012,9,0
2013,9,0
2014,9,0
2015,9,0
2016,9,0
2017,9,0
2018,9,0
2019,9,0
2020,9,0
2008,10,57.28
2009,10,57.28
2010,10,57.28
2011,10,57.28
2012,10,57.28
2013,10,57.28
2014,10,57.28
2015,10,57.28
2016,10,57.28
2017,10,57.28
2018,10,57.28
2019,10,57.28
2020,10,57.28
2008,11,0
2009,11,0
2010,11,0
2011,11,0
2012,11,0
2013,11,0
2014,11,0
2015,11,0
2016,11,0
2017,11,0
2018,11,0
2019,11,0
2020,11,0
2008,12,0
2009,12,0
2010,12,0
2011,12,0
2012,12,0
2013,12,0
2014,12,0
2015,12,0
2016,12,0
2017,12,0
2018,12,0
2019,12,0
2020,12,0
2008,13,0
2009,13,0
2010,13,0
2011,13,0
2012,13,0
2013,13,0
2014,13,0
2015,13,0
2016,13,0
2017,13,0
2018,13,0
2019,13,0
2020,13,0
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,24.77
2009,17,24.77
2010,17,24.77
2011,17,24.77
2012,17,24.77
2013,17,24.77
2014,17,24.77
2015,17,24.77
2016,17,24.77
2017,17,24.77
2018,17,24.77
2019,17,24.77
2020,17,24.77
2008,18,0
2009,18,0
2010,18,0
2011,18,0
2012,18,0
2013,18,0
2014,18,0
2015,18,0
2016,18,0
2017,18,0
2018,18,0
2019,18,0
2020,18,0
2008,19,33.19
2009,19,33.19
2010,19,33.19
2011,19,33.19
2012,19,33.19
2013,19,33.19
2014,19,33.19
2015,19,33.19
2016,19,33.19
2017,19,33.19
2018,19,33.19
2019,19,33.19
2020,19,33.19
2008,20,33.73
2009,20,33.73
2010,20,33.73
2011,20,33.73
2012,20,33.73
2013,20,33.73
2014,20,33.73
2015,20,33.73
2016,20,33.73
2017,20,33.73
2018,20,33.73
2019,20,33.73
2020,20,33.73
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,
2013,21,
2014,21,
2015,21,
2016,21,
2017,21,
2018,21,
2019,21,
2020,21,
2008,22,0
2009,22,0
2010,22,0
2011,22,0
2012,22,0
2013,22,0
2014,22,0
2015,22,0
2016,22,0
2017,22,0
2018,22,0
2019,22,0
2020,22,0
2008,23,0
2009,23,0
2010,23,0
2011,23,0
2012,23,0
2013,23,0
2014,23,0
2015,23,0
2016,23,0
2017,23,0
2018,23,0
2019,23,0
2020,23,0
2008,24,19.37
2009,24,19.37
2010,24,19.37
2011,24,19.37
2012,24,19.37
2013,24,19.37
2014,24,19.37
2015,24,19.37
2016,24,19.37
2017,24,19.37
2018,24,19.37
2019,24,19.37
2020,24,19.37
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,
2013,25,
2014,25,
2015,25,
2016,25,
2017,25,
2018,25,
2019,25,
2020,25,
2008,26,0
2009,26,0
2010,26,0
2011,26,0
2012,26,0
2013,26,0
2014,26,0
2015,26,0
2016,26,0
2017,26,0
2018,26,0
2019,26,0
2020,26,0
2008,27,0
2009,27,0
2010,27,0
2011,27,0
2012,27,0
2013,27,0
2014,27,0
2015,27,0
2016,27,0
2017,27,0
2018,27,0
2019,27,0
2020,27,0
2008,28,18.78
2009,28,18.78
2010,28,18.78
2011,28,18.78
2012,28,18.78
2013,28,18.78
2014,28,18.78
2015,28,18.78
2016,28,18.78
2017,28,18.78
2018,28,18.78
2019,28,18.78
2020,28,18.78
2008,29,
2009,29,
2010,29,
2011,29,
2012,29,
2013,29,
2014,29,
2015,29,
2016,29,
2017,29,
2018,29,
2019,29,
2020,29,
2008,30,0
2009,30,0
2010,30,0
2011,30,0
2012,30,0
2013,30,0
2014,30,0
2015,30,0
2016,30,0
2017,30,0
2018,30,0
2019,30,0
2020,30,0
2008,31,0
2009,31,0
2010,31,0
2011,31,0
2012,31,0
2013,31,0
2014,31,0
2015,31,0
2016,31,0
2017,31,0
2018,31,0
2019,31,0
2020,31,0
2008,32,
2009,32,
2010,32,
2011,32,
2012,32,
2013,32,
2014,32,
2015,32,
2016,32,
2017,32,
2018,32,
2019,32,
2020,32,
2008,33,
2009,33,
2010,33,
2011,33,
2012,33,
2013,33,
2014,33,
2015,33,
2016,33,
2017,33,
2018,33,
2019,33,
2020,33,
2008,34,
2009,34,
2010,34,
2011,34,
2012,34,
2013,34,
2014,34,
2015,34,
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,21.83
2009,35,21.83
2010,35,21.83
2011,35,21.83
2012,35,21.83
2013,35,21.83
2014,35,21.83
2015,35,21.83
