Date,Id,dividend yield
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,0
2009,2,0
2010,2,0
2011,2,0
2012,2,3.89
2013,2,0
2014,2,2.35
2015,2,2.33
2016,2,10.93
2017,2,12.05
2018,2,21.92
2019,2,21.92
2020,2,21.92
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,0
2014,3,0
2015,3,0
2016,3,0
2017,3,0
2018,3,0
2019,3,0
2020,3,0
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,0
2014,4,0
2015,4,0
2016,4,0
2017,4,0
2018,4,0
2019,4,0
2020,4,0
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,0
2015,5,0
2016,5,0
2017,5,0
2018,5,0
2019,5,0
2020,5,0
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,0
2015,6,0
2016,6,0
2017,6,0
2018,6,0
2019,6,0
2020,6,0
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,
2013,7,
2014,7,0
2015,7,4.33
2016,7,3.15
2017,7,4.05
2018,7,4.26
2019,7,0
2020,7,0
2008,8,7.45
2009,8,4.31
2010,8,2.91
2011,8,4.53
2012,8,3.08
2013,8,2.04
2014,8,1.81
2015,8,1.79
2016,8,1.39
2017,8,1.58
2018,8,2.47
2019,8,1.99
2020,8,0
2008,9,4.31
2009,9,0
2010,9,3.68
2011,9,5.36
2012,9,6.7
2013,9,6.44
2014,9,0
2015,9,0
2016,9,4.06
2017,9,0
2018,9,0
2019,9,0
2020,9,0
2008,10,4.76
2009,10,3
2010,10,2.98
2011,10,3.85
2012,10,4.04
2013,10,3.81
2014,10,0
2015,10,3.1
2016,10,3.15
2017,10,2.39
2018,10,3
2019,10,3.64
2020,10,4.08
2008,11,1.67
2009,11,2.2
2010,11,2.08
2011,11,4.5
2012,11,3.72
2013,11,4.59
2014,11,5.56
2015,11,7.39
2016,11,15.92
2017,11,0
2018,11,0
2019,11,0
2020,11,0
2008,12,0
2009,12,0
2010,12,0
2011,12,0
2012,12,0
2013,12,0
2014,12,0
2015,12,0
2016,12,0
2017,12,0
2018,12,0
2019,12,0
2020,12,0
2008,13,32.94
2009,13,0
2010,13,0
2011,13,6.67
2012,13,6.72
2013,13,2.98
2014,13,6.27
2015,13,0
2016,13,0
2017,13,0
2018,13,0
2019,13,0
2020,13,0
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,6.08
2009,15,0
2010,15,2.55
2011,15,2.54
2012,15,3.12
2013,15,2.54
2014,15,2.85
2015,15,2.45
2016,15,2.45
2017,15,2.45
2018,15,2.45
2019,15,2.45
2020,15,2.45
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,
2013,17,
2014,17,
2015,17,0
2016,17,0.79
2017,17,0.61
2018,17,0.71
2019,17,0.62
2020,17,0.49
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,
2016,18,0
2017,18,0
2018,18,0
2019,18,0
2020,18,0
2008,19,2.29
2009,19,1.51
2010,19,0.62
2011,19,1.17
2012,19,1.21
2013,19,1.15
2014,19,1.55
2015,19,1
2016,19,0.97
2017,19,0.35
2018,19,0.68
2019,19,0.61
2020,19,0.59
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,0
2016,20,0
2017,20,1.59
2018,20,3.33
2019,20,3.14
2020,20,0.48
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,
2013,21,
2014,21,
2015,21,0
2016,21,1.3
2017,21,2.03
2018,21,2.96
2019,21,3.24
2020,21,3.47
2008,22,
2009,22,
2010,22,
2011,22,
2012,22,
2013,22,
2014,22,
2015,22,0
2016,22,2.06
2017,22,2.03
2018,22,2.73
2019,22,3.18
2020,22,2.88
2008,23,0
2009,23,0
2010,23,0
2011,23,12.02
2012,23,4.69
2013,23,4.42
2014,23,6.93
2015,23,6.67
2016,23,2.27
2017,23,0
2018,23,0
2019,23,0
2020,23,0
2008,24,2.95
2009,24,2.04
2010,24,1.7
2011,24,2.32
2012,24,2.5
2013,24,1.76
2014,24,1.5
2015,24,1.33
2016,24,1.51
2017,24,1.41
2018,24,1.38
2019,24,1.67
2020,24,1.25
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,
2013,25,
2014,25,
2015,25,
2016,25,
2017,25,
2018,25,
2019,25,
2020,25,
2008,26,2.53
2009,26,1.67
2010,26,2.64
2011,26,3.03
2012,26,3.36
2013,26,2.22
2014,26,3.97
2015,26,3.56
2016,26,3.7
2017,26,9.43
2018,26,0
2019,26,0
2020,26,0
2008,27,6.67
2009,27,1.59
2010,27,0
2011,27,0
2012,27,0
2013,27,0
2014,27,0
2015,27,0
2016,27,0
2017,27,1.21
2018,27,4.76
2019,27,0
2020,27,0
2008,28,3.27
2009,28,3.27
2010,28,4.52
2011,28,5.76
2012,28,2.57
2013,28,1.48
2014,28,1.57
2015,28,2.12
2016,28,2.4
2017,28,1.99
2018,28,2.63
2019,28,2.41
2020,28,2.33
2008,29,1.66
2009,29,2
2010,29,2
2011,29,1.9
2012,29,0
2013,29,0
2014,29,0
2015,29,0.67
2016,29,0.71
2017,29,0.66
2018,29,0
2019,29,0
2020,29,0
2008,30,1.36
2009,30,1.09
2010,30,1.11
2011,30,2.64
2012,30,3.22
2013,30,2.07
2014,30,4.59
2015,30,3.83
2016,30,7.14
2017,30,22.29
2018,30,23.26
2019,30,0.44
2020,30,590.22
2008,31,
2009,31,
2010,31,0
2011,31,0
2012,31,0
2013,31,0
2014,31,0
2015,31,0
2016,31,0
2017,31,0
2018,31,0
2019,31,0
2020,31,0
2008,32,2.61
2009,32,1.44
2010,32,1.56
2011,32,1.59
2012,32,2
2013,32,1.65
2014,32,1.69
2015,32,1.65
2016,32,1.78
2017,32,4.05
2018,32,5.29
2019,32,5.31
2020,32,0
2008,33,3
2009,33,0
2010,33,0
2011,33,0
2012,33,0
2013,33,0
