Date,Id,ebit
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,-1974
2009,2,-1021
2010,2,3298
2011,2,4057
2012,2,5171
2013,2,8501
2014,2,-20600
2015,2,-2539
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,-1060
2015,3,-10786
2016,3,-33291
2017,3,2399
2018,3,18145
2019,3,5867
2020,3,1482
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,513
2014,4,-1705
2015,4,8349
2016,4,
2017,4,
2018,4,-9586
2019,4,3833
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,1668
2015,5,2238
2016,5,1172
2017,5,-2232
2018,5,2011
2019,5,2323
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,2371
2015,6,3454
2016,6,-1649
2017,6,-8854
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,5830
2013,7,5802
2014,7,4854
2015,7,7154
2016,7,14311
2017,7,14979
2018,7,13361
2019,7,
2020,7,
2008,8,66025
2009,8,22830
2010,8,55228
2011,8,67125
2012,8,98616
2013,8,119686
2014,8,180484
2015,8,257519
2016,8,323775
2017,8,346621
2018,8,340258
2019,8,323738
2020,8,174156
2008,9,82152
2009,9,89252
2010,9,90950
2011,9,85149
2012,9,
2013,9,23366
2014,9,-11580
2015,9,51003
2016,9,56530
2017,9,89218
2018,9,106352
2019,9,96038
2020,9,71706
2008,10,95129
2009,10,102570
2010,10,107254
2011,10,104783
2012,10,96230
2013,10,67136
2014,10,66466
2015,10,58228
2016,10,61922
2017,10,74798
2018,10,101228
2019,10,108530
2020,10,76945
2008,11,40646
2009,11,31026
2010,11,32929
2011,11,-5298
2012,11,8213
2013,11,-24105
2014,11,2961
2015,11,-28734
2016,11,-19091
2017,11,6911
2018,11,7297
2019,11,11401
2020,11,-8839
2008,12,-166277
2009,12,-23697
2010,12,-28632
2011,12,-5316
2012,12,41554
2013,12,-1610
2014,12,5240
2015,12,-11991
2016,12,23772
2017,12,4358
2018,12,3348
2019,12,-18628
2020,12,-21488
2008,13,62211
2009,13,1733
2010,13,37922
2011,13,55951
2012,13,57405
2013,13,66665
2014,13,41915
2015,13,47226
2016,13,74010
2017,13,75808
2018,13,62490
2019,13,42367
2020,13,8420
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,338185
2013,17,374531
2014,17,
2015,17,
2016,17,595082
2017,17,781853
2018,17,828629
2019,17,924424
2020,17,718197
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,-1456
2016,18,-4888
2017,18,-5728
2018,18,-7169
2019,18,-7667
2020,18,-6295
2008,19,197285
2009,19,229701
2010,19,275300
2011,19,296800
2012,19,284600
2013,19,289000
2014,19,254800
2015,19,313800
2016,19,305500
2017,19,364100
2018,19,384400
2019,19,395400
2020,19,242200
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,7902
2016,20,6104
2017,20,10429
2018,20,9509
2019,20,11493
2020,20,17913
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,30796
2013,21,24907
2014,21,36448
2015,21,27691
2016,21,34575
2017,21,29140
2018,21,33932
2019,21,32766
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,16216
2012,22,16791
2013,22,13232
2014,22,13051
2015,22,10067
2016,22,9798
2017,22,9872
2018,22,8950
2019,22,6854
2020,22,573
2008,23,14958
2009,23,12492
2010,23,10341
2011,23,3775
2012,23,7812
2013,23,5273
2014,23,4192
2015,23,9207
2016,23,8633
2017,23,3851
2018,23,4711
2019,23,-12075
2020,23,23335
2008,24,50089
2009,24,49418
2010,24,58437
2011,24,57150
2012,24,55083
2013,24,54333
2014,24,61073
2015,24,66499
2016,24,79117
2017,24,75618
2018,24,89649
2019,24,88530
2020,24,138180
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,
2013,25,
2014,25,
2015,25,
2016,25,440
2017,25,6444
2018,25,9707
2019,25,
2020,25,
2008,26,132538
2009,26,118296
2010,26,128710
2011,26,165417
2012,26,179130
2013,26,147825
2014,26,189900
2015,26,173799
2016,26,190249
2017,26,-53071
2018,26,-1922413
2019,26,-20983
2020,26,2035241
2008,27,14139
2009,27,-1738
2010,27,6084
2011,27,4150
2012,27,-6999
2013,27,-9102
2014,27,937
2015,27,10396
2016,27,17500
2017,27,16072
2018,27,-5466
2019,27,-7051
2020,27,-9431
2008,28,86234
2009,28,23408
2010,28,69145
2011,28,-30839
2012,28,-9043
2013,28,15933
2014,28,92763
2015,28,121650
2016,28,201151
2017,28,153683
2018,28,189096
2019,28,125154
2020,28,149185
2008,29,10183
2009,29,8980
2010,29,2766
2011,29,58
2012,29,-2880
2013,29,3392
2014,29,3004
2015,29,2773
2016,29,1983
2017,29,-845
2018,29,
2019,29,
2020,29,
2008,30,127969
2009,30,120942
2010,30,83890
2011,30,68489
2012,30,46341
2013,30,71331
2014,30,66580
2015,30,-100435
2016,30,-53555
2017,30,-361519
2018,30,6731
2019,30,-34648
2020,30,290782
2008,31,1444
2009,31,598
2010,31,-1675
2011,31,-360
2012,31,-719
2013,31,-610
2014,31,-24
2015,31,
2016,31,-665
2017,31,-257
2018,31,-266
2019,31,-1331
2020,31,
2008,32,-3110
2009,32,-1589
2010,32,1119
2011,32,897
2012,32,-4332
2013,32,-4055
2014,32,181
2015,32,1566
2016,32,16923
2017,32,5574
2018,32,11458
2019,32,8168
2020,32,3579
2008,33,-5766
2009,33,566
2010,33,-9873
2011,33,-9548
2012,33,-8953
2013,33,-16121
2014,33,-12180
2015,33,-21069
2016,33,-6802
