Date,Id,employees
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,38
2009,2,52
2010,2,85
2011,2,97
2012,2,91
2013,2,129
2014,2,351
2015,2,295
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,63
2015,3,82
2016,3,62
2017,3,80
2018,3,30
2019,3,19
2020,3,26
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,15
2014,4,
2015,4,
2016,4,
2017,4,
2018,4,177
2019,4,175
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,7
2015,5,7
2016,5,7
2017,5,7
2018,5,6
2019,5,6
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,
2015,6,
2016,6,
2017,6,
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,
2013,7,
2014,7,
2015,7,
2016,7,
2017,7,
2018,7,79
2019,7,
2020,7,
2008,8,5847
2009,8,5417
2010,8,5904
2011,8,6735
2012,8,6937
2013,8,7241
2014,8,7690
2015,8,7867
2016,8,9042
2017,8,9837
2018,8,10634
2019,8,10868
2020,8,11039
2008,9,6699
2009,9,7749
2010,9,7952
2011,9,8010
2012,9,8727
2013,9,8064
2014,9,7865
2015,9,7424
2016,9,7054
2017,9,6964
2018,9,6851
2019,9,6552
2020,9,6167
2008,10,6208
2009,10,7300
2010,10,7529
2011,10,7619
2012,10,8129
2013,10,7688
2014,10,7510
2015,10,7053
2016,10,6706
2017,10,6620
2018,10,6515
2019,10,6222
2020,10,5856
2008,11,614
2009,11,700
2010,11,865
2011,11,866
2012,11,894
2013,11,919
2014,11,910
2015,11,846
2016,11,781
2017,11,599
2018,11,494
2019,11,571
2020,11,547
2008,12,2287
2009,12,1798
2010,12,830
2011,12,780
2012,12,815
2013,12,779
2014,12,677
2015,12,621
2016,12,
2017,12,610
2018,12,656
2019,12,672
2020,12,639
2008,13,6100
2009,13,5770
2010,13,5574
2011,13,6708
2012,13,6735
2013,13,6834
2014,13,6668
2015,13,6702
2016,13,6801
2017,13,6947
2018,13,6967
2019,13,6801
2020,13,6026
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,2720
2013,17,2787
2014,17,2858
2015,17,2998
2016,17,3248
2017,17,3380
2018,17,3851
2019,17,4285
2020,17,4556
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,
2016,18,
2017,18,
2018,18,43
2019,18,45
2020,18,58
2008,19,1646
2009,19,2176
2010,19,2207
2011,19,2278
2012,19,2450
2013,19,3996
2014,19,4229
2015,19,4196
2016,19,4172
2017,19,4020
2018,19,3625
2019,19,3701
2020,19,3784
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,
2016,20,
2017,20,
2018,20,155
2019,20,154
2020,20,161
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,2678
2013,21,2745
2014,21,2957
2015,21,3071
2016,21,3266
2017,21,3305
2018,21,3359
2019,21,3585
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,104
2012,22,102
2013,22,109
2014,22,111
2015,22,116
2016,22,129
2017,22,134
2018,22,132
2019,22,138
2020,22,153
2008,23,823
2009,23,791
2010,23,767
2011,23,619
2012,23,620
2013,23,617
2014,23,600
2015,23,606
2016,23,618
2017,23,610
2018,23,634
2019,23,620
2020,23,
2008,24,1815
2009,24,1944
2010,24,2115
2011,24,2268
2012,24,2506
2013,24,2610
2014,24,2804
2015,24,3001
2016,24,3127
2017,24,3556
2018,24,3958
2019,24,4320
2020,24,4613
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,6
2013,25,6
2014,25,6
2015,25,10
2016,25,12
2017,25,17
2018,25,44
2019,25,
2020,25,
2008,26,10184
2009,26,11200
2010,26,8363
2011,26,9192
2012,26,9963
2013,26,9579
2014,26,9602
2015,26,10866
2016,26,11510
2017,26,10491
2018,26,10896
2019,26,6681
2020,26,3154
2008,27,1818
2009,27,1741
2010,27,1675
2011,27,1648
2012,27,1627
2013,27,1589
2014,27,1558
2015,27,1590
2016,27,1656
2017,27,1705
2018,27,1740
2019,27,1750
2020,27,1742
2008,28,5356
2009,28,4841
2010,28,4457
2011,28,4345
2012,28,4370
2013,28,4176
2014,28,3977
2015,28,3910
2016,28,4503
2017,28,3797
2018,28,3906
2019,28,3703
2020,28,
2008,29,354
2009,29,332
2010,29,332
2011,29,
2012,29,324
2013,29,282
2014,29,282
2015,29,301
2016,29,302
2017,29,299
2018,29,
2019,29,
2020,29,
2008,30,5898
2009,30,6064
2010,30,5903
2011,30,6114
2012,30,6689
2013,30,7379
2014,30,7493
2015,30,7867
2016,30,7237
2017,30,6569
2018,30,6378
2019,30,5903
2020,30,3704
2008,31,
2009,31,75
2010,31,71
2011,31,58
2012,31,40
2013,31,37
2014,31,
2015,31,
2016,31,
2017,31,
2018,31,
2019,31,
2020,31,
2008,32,40
2009,32,38
2010,32,37
2011,32,36
2012,32,34
2013,32,33
2014,32,30
2015,32,
2016,32,
2017,32,
2018,32,
2019,32,6
2020,32,6
2008,33,1945
2009,33,1789
2010,33,1646
2011,33,1559
2012,33,1493
2013,33,1415
2014,33,
2015,33,
2016,33,
2017,33,
2018,33,
2019,33,
2020,33,
2008,34,22243
2009,34,21155
2010,34,20763
2011,34,19896
2012,34,18886
2013,34,18434
2014,34,17779
2015,34,17525
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,3847
2009,35,3439
2010,35,3289
2011,35,3200
2012,35,3311
2013,35,3170
2014,35,3053
2015,35,3032
2016,35,3667
2017,35,3620
2018,35,3083
2019,35,3042
