Date,Id,free fcash flow
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,-1.062
2009,2,-0.281
2010,2,-3.27
2011,2,0.394
2012,2,-1.259
2013,2,0.113
2014,2,-1.603
2015,2,-0.509
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,-0.163
2015,3,0
2016,3,-0.396
2017,3,
2018,3,0.126
2019,3,0.107
2020,3,0.062
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,
2014,4,-1.33
2015,4,3.466
2016,4,-2.295
2017,4,
2018,4,-1.089
2019,4,-0.742
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,
2015,5,-0.857
2016,5,1.362
2017,5,1.643
2018,5,1.801
2019,5,1.285
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,-0.118
2015,6,-0.122
2016,6,-0.601
2017,6,0.013
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,-986.383
2013,7,-0.959
2014,7,-0.518
2015,7,-0.448
2016,7,-1.951
2017,7,-2.874
2018,7,1.088
2019,7,
2020,7,
2008,8,0.069
2009,8,0.101
2010,8,0.121
2011,8,-0.153
2012,8,0.005
2013,8,0.133
2014,8,0.299
2015,8,0.365
2016,8,0.301
2017,8,0.038
2018,8,0.224
2019,8,0.442
2020,8,0.623
2008,9,0.136
2009,9,0.256
2010,9,0.197
2011,9,0.036
2012,9,-0.003
2013,9,0.137
2014,9,0.148
2015,9,0.199
2016,9,0.197
2017,9,0.403
2018,9,0.372
2019,9,0.359
2020,9,0.318
2008,10,0.168
2009,10,0.153
2010,10,0.23
2011,10,0.091
2012,10,0.017
2013,10,0.072
2014,10,0.101
2015,10,0.204
2016,10,0.157
2017,10,0.373
2018,10,0.307
2019,10,0.24
2020,10,0.29
2008,11,0.114
2009,11,0.084
2010,11,0.22
2011,11,-0.09
2012,11,0.049
2013,11,-0.083
2014,11,0.003
2015,11,-0.183
2016,11,-0.14
2017,11,-0.063
2018,11,0.075
2019,11,0.091
2020,11,-0.069
2008,12,-1.805
2009,12,-0.129
2010,12,-0.421
2011,12,-0.219
2012,12,-0.257
2013,12,-0.135
2014,12,0.025
2015,12,-0.1
2016,12,-0.049
2017,12,0.072
2018,12,0.139
2019,12,-0.146
2020,12,-0.189
2008,13,-1.016
2009,13,0.115
2010,13,0.251
2011,13,0.223
2012,13,0.187
2013,13,0.292
2014,13,0.222
2015,13,-0.015
2016,13,0.379
2017,13,0.482
2018,13,0.365
2019,13,0.416
2020,13,0.242
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,1.875
2013,17,2.069
2014,17,2.624
2015,17,2.43
2016,17,2.296
2017,17,3.449
2018,17,3.329
2019,17,3.756
2020,17,2.676
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,-0.07
2016,18,-0.283
2017,18,-0.278
2018,18,-0.331
2019,18,-0.148
2020,18,-0.252
2008,19,0.066
2009,19,0.087
2010,19,0.105
2011,19,0.126
2012,19,0.085
2013,19,0.084
2014,19,0.114
2015,19,0.138
2016,19,0.133
2017,19,0.175
2018,19,0.166
2019,19,0.193
2020,19,0.051
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,0.807
2016,20,0.679
2017,20,2.142
2018,20,0.886
2019,20,2.001
2020,20,2.046
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,0.396
2013,21,0.528
2014,21,0.381
2015,21,0.525
2016,21,0.722
2017,21,0.589
2018,21,0.633
2019,21,0.835
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,
2012,22,0.413
2013,22,-0.024
2014,22,0.308
2015,22,0.115
2016,22,0.118
2017,22,-0.009
2018,22,0.017
2019,22,-0.082
2020,22,0.013
2008,23,0.623
2009,23,0.565
2010,23,0.01
2011,23,-0.165
2012,23,0.446
2013,23,0.284
2014,23,0.024
2015,23,0.27
2016,23,0.219
2017,23,0.167
2018,23,0.172
2019,23,-0.323
2020,23,0.012
2008,24,-0.016
2009,24,0.261
2010,24,0.303
2011,24,0.142
2012,24,0.05
2013,24,-0.083
2014,24,-0.004
2015,24,0.184
2016,24,0.229
2017,24,0.19
2018,24,0.389
2019,24,-0.201
2020,24,0.833
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,0.011
2013,25,0.024
2014,25,0.046
2015,25,0.215
2016,25,-0.213
2017,25,0.135
2018,25,-1.618
2019,25,
2020,25,
2008,26,-0.075
2009,26,0.191
2010,26,0.777
2011,26,0.838
2012,26,0.429
2013,26,1.278
2014,26,0.394
2015,26,0.303
2016,26,0.434
2017,26,-0.318
2018,26,-14.17
2019,26,-1.32
2020,26,1.58
2008,27,-0.041
2009,27,-0.046
2010,27,0.258
2011,27,-0.124
2012,27,-0.008
2013,27,-0.251
2014,27,0.017
2015,27,-0.221
2016,27,0.204
2017,27,-0.029
2018,27,-0.105
2019,27,0.19
2020,27,0.308
2008,28,-0.037
2009,28,0.286
2010,28,0.627
2011,28,0.421
2012,28,0.043
2013,28,0.305
2014,28,0.618
2015,28,0.564
2016,28,0.848
2017,28,0.475
2018,28,0.507
2019,28,1.213
2020,28,1.139
2008,29,-4.79
2009,29,-0.584
2010,29,-0.682
2011,29,-0.785
2012,29,0.101
2013,29,0.991
2014,29,1.1
2015,29,1.192
2016,29,1.078
2017,29,0.606
2018,29,
2019,29,
2020,29,
2008,30,-1.501
2009,30,4.254
2010,30,4.408
2011,30,0.777
2012,30,-1.897
2013,30,-5.769
2014,30,-10.672
2015,30,-10.51
2016,30,-2.206
2017,30,-6.686
2018,30,-1.801
