Date,Id,free float
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,45
2009,2,48
2010,2,31
2011,2,28
2012,2,37
2013,2,37
2014,2,25
2015,2,25
2016,2,25
2017,2,20
2018,2,25
2019,2,25
2020,2,25
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,
2015,3,
2016,3,100
2017,3,100
2018,3,55
2019,3,55
2020,3,100
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,
2014,4,
2015,4,100
2016,4,100
2017,4,33
2018,4,46
2019,4,32
2020,4,30
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,100
2015,5,100
2016,5,100
2017,5,18
2018,5,18
2019,5,18
2020,5,19
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,100
2015,6,100
2016,6,100
2017,6,100
2018,6,10
2019,6,10
2020,6,10
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,
2013,7,
2014,7,100
2015,7,100
2016,7,100
2017,7,100
2018,7,16
2019,7,16
2020,7,16
2008,8,43
2009,8,43
2010,8,43
2011,8,43
2012,8,43
2013,8,43
2014,8,43
2015,8,43
2016,8,43
2017,8,46
2018,8,46
2019,8,46
2020,8,46
2008,9,48
2009,9,50
2010,9,50
2011,9,50
2012,9,46
2013,9,46
2014,9,46
2015,9,46
2016,9,41
2017,9,40
2018,9,40
2019,9,40
2020,9,40
2008,10,42
2009,10,41
2010,10,41
2011,10,41
2012,10,41
2013,10,36
2014,10,36
2015,10,41
2016,10,41
2017,10,44
2018,10,44
2019,10,44
2020,10,44
2008,11,41
2009,11,41
2010,11,41
2011,11,41
2012,11,41
2013,11,36
2014,11,33
2015,11,33
2016,11,33
2017,11,33
2018,11,33
2019,11,33
2020,11,33
2008,12,100
2009,12,100
2010,12,100
2011,12,100
2012,12,100
2013,12,100
2014,12,100
2015,12,100
2016,12,24
2017,12,24
2018,12,24
2019,12,24
2020,12,24
2008,13,42
2009,13,43
2010,13,43
2011,13,43
2012,13,43
2013,13,44
2014,13,44
2015,13,44
2016,13,44
2017,13,45
2018,13,44
2019,13,44
2020,13,44
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,64
2009,15,69
2010,15,69
2011,15,69
2012,15,74
2013,15,67
2014,15,67
2015,15,4
2016,15,4
2017,15,4
2018,15,4
2019,15,4
2020,15,4
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,
2013,17,
2014,17,
2015,17,90
2016,17,49
2017,17,59
2018,17,59
2019,17,59
2020,17,60
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,
2016,18,100
2017,18,100
2018,18,35
2019,18,43
2020,18,52
2008,19,
2009,19,
2010,19,49
2011,19,49
2012,19,49
2013,19,49
2014,19,49
2015,19,49
2016,19,49
2017,19,49
2018,19,49
2019,19,49
2020,19,46
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,100
2016,20,100
2017,20,100
2018,20,75
2019,20,76
2020,20,76
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,
2013,21,
2014,21,
2015,21,34
2016,21,33
2017,21,33
2018,21,33
2019,21,33
2020,21,5
2008,22,
2009,22,
2010,22,
2011,22,
2012,22,
2013,22,
2014,22,
2015,22,100
2016,22,100
2017,22,100
2018,22,27
2019,22,27
2020,22,27
2008,23,45
2009,23,45
2010,23,45
2011,23,45
2012,23,45
2013,23,45
2014,23,46
2015,23,46
2016,23,46
2017,23,46
2018,23,46
2019,23,46
2020,23,46
2008,24,33
2009,24,26
2010,24,26
2011,24,26
2012,24,26
2013,24,26
2014,24,21
2015,24,21
2016,24,28
2017,24,25
2018,24,20
2019,24,20
2020,24,33
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,
2013,25,
2014,25,
2015,25,
2016,25,
2017,25,
2018,25,
2019,25,
2020,25,
2008,26,43
2009,26,38
2010,26,48
2011,26,48
2012,26,47
2013,26,47
2014,26,47
2015,26,42
2016,26,38
2017,26,25
2018,26,47
2019,26,47
2020,26,34
2008,27,
2009,27,31
2010,27,31
2011,27,31
2012,27,31
2013,27,31
2014,27,31
2015,27,31
2016,27,31
2017,27,31
2018,27,31
2019,27,31
2020,27,31
2008,28,12
2009,28,12
2010,28,12
2011,28,12
2012,28,12
2013,28,12
2014,28,100
2015,28,100
2016,28,100
2017,28,12
2018,28,12
2019,28,12
2020,28,12
2008,29,13
2009,29,15
2010,29,15
2011,29,15
2012,29,15
2013,29,15
2014,29,100
2015,29,100
2016,29,15
2017,29,12
2018,29,30
2019,29,30
2020,29,30
2008,30,45
2009,30,45
2010,30,37
2011,30,50
2012,30,32
2013,30,36
2014,30,25
2015,30,40
2016,30,40
2017,30,40
2018,30,40
2019,30,40
2020,30,50
2008,31,
2009,31,
2010,31,
2011,31,
2012,31,13
2013,31,100
2014,31,100
2015,31,100
2016,31,19
2017,31,31
2018,31,52
2019,31,53
2020,31,100
2008,32,33
2009,32,33
2010,32,33
2011,32,33
2012,32,33
2013,32,33
2014,32,33
2015,32,33
2016,32,18
2017,32,19
2018,32,19
2019,32,20
2020,32,19
2008,33,38
2009,33,38
2010,33,59
2011,33,38
2012,33,38
2013,33,38
2014,33,38
2015,33,38
2016,33,38
2017,33,38
2018,33,38
2019,33,6
2020,33,6
2008,34,40
2009,34,40
2010,34,40
2011,34,40
2012,34,40
2013,34,40
2014,34,56
2015,34,56
2016,34,4
2017,34,4
2018,34,4
2019,34,4
2020,34,4
2008,35,38
2009,35,38
2010,35,35
2011,35,35
2012,35,35
2013,35,35
2014,35,35
2015,35,30
2016,35,30
2017,35,29
2018,35,29
2019,35,29
2020,35,29
2008,36,38
2009,36,43
2010,36,43
2011,36,43
2012,36,43
2013,36,43
2014,36,43
2015,36,43
2016,36,43
2017,36,41
2018,36,41
2019,36,43
2020,36,43
2008,37,36
2009,37,35
2010,37,35
2011,37,35
2012,37,35
