Date,Id,funds from operations
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,-1985
2009,2,749
2010,2,5910
2011,2,10158
2012,2,-3595
2013,2,8772
2014,2,-82273
2015,2,-22180
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,1044
2015,3,1627
2016,3,-10944
2017,3,-1549
2018,3,8841
2019,3,12862
2020,3,6584
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,396
2014,4,-1411
2015,4,13282
2016,4,818
2017,4,-8494
2018,4,-7696
2019,4,-2230
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,4063
2015,5,4406
2016,5,2038
2017,5,2836
2018,5,3134
2019,5,2261
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,-1414
2015,6,-1454
2016,6,-7241
2017,6,168
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,6160
2013,7,6673
2014,7,6168
2015,7,16331
2016,7,14342
2017,7,31681
2018,7,27349
2019,7,
2020,7,
2008,8,111895
2009,8,78079
2010,8,106157
2011,8,116096
2012,8,142711
2013,8,184853
2014,8,239464
2015,8,308090
2016,8,381251
2017,8,404131
2018,8,394783
2019,8,428824
2020,8,363757
2008,9,107911
2009,9,139702
2010,9,116149
2011,9,85684
2012,9,88447
2013,9,86052
2014,9,88111
2015,9,106735
2016,9,111436
2017,9,166944
2018,9,166293
2019,9,175918
2020,9,162924
2008,10,135410
2009,10,122606
2010,10,150366
2011,10,121407
2012,10,114665
2013,10,97930
2014,10,73130
2015,10,137418
2016,10,112581
2017,10,182130
2018,10,166747
2019,10,188381
2020,10,188378
2008,11,30761
2009,11,27283
2010,11,41793
2011,11,6575
2012,11,18666
2013,11,6184
2014,11,13206
2015,11,-6156
2016,11,-6798
2017,11,-2339
2018,11,16674
2019,11,18769
2020,11,3834
2008,12,-22996
2009,12,-4402
2010,12,-16416
2011,12,-8520
2012,12,-8847
2013,12,-4255
2014,12,2260
2015,12,-1276
2016,12,-550
2017,12,6638
2018,12,11863
2019,12,-4384
2020,12,-9033
2008,13,87935
2009,13,38686
2010,13,55021
2011,13,77867
2012,13,83588
2013,13,86261
2014,13,70396
2015,13,53888
2016,13,110923
2017,13,126992
2018,13,140213
2019,13,149577
2020,13,113560
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,515590
2013,17,552520
2014,17,665175
2015,17,644048
2016,17,609453
2017,17,840620
2018,17,1061838
2019,17,1246304
2020,17,1059626
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,-781
2016,18,-2529
2017,18,-3291
2018,18,-5048
2019,18,255
2020,18,-4276
2008,19,156600
2009,19,192647
2010,19,221300
2011,19,221000
2012,19,193700
2013,19,201600
2014,19,233000
2015,19,259100
2016,19,270200
2017,19,341600
2018,19,332300
2019,19,370500
2020,19,204900
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,5718
2016,20,5264
2017,20,13607
2018,20,10839
2019,20,18289
2020,20,17541
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,38971
2013,21,39649
2014,21,39253
2015,21,43384
2016,21,57088
2017,21,60896
2018,21,57531
2019,21,66349
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,13861
2012,22,13614
2013,22,10887
2014,22,13257
2015,22,9343
2016,22,12285
2017,22,6060
2018,22,8977
2019,22,6170
2020,22,5130
2008,23,13976
2009,23,12379
2010,23,3427
2011,23,4466
2012,23,13171
2013,23,6780
2014,23,5081
2015,23,13869
2016,23,12048
2017,23,8613
2018,23,8936
2019,23,-9935
2020,23,2490
2008,24,79755
2009,24,94043
2010,24,96825
2011,24,106458
2012,24,98945
2013,24,93229
2014,24,105747
2015,24,114106
2016,24,131539
2017,24,126034
2018,24,144977
2019,24,159672
2020,24,222401
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,224
2013,25,331
2014,25,757
2015,25,4461
2016,25,-797
2017,25,6765
2018,25,12052
2019,25,
2020,25,
2008,26,83725
2009,26,101227
2010,26,111577
2011,26,137542
2012,26,130343
2013,26,169798
2014,26,118954
2015,26,89451
2016,26,94539
2017,26,20498
2018,26,-1376153
2019,26,-105277
2020,26,520389
2008,27,22611
2009,27,15204
2010,27,22194
2011,27,13220
2012,27,16677
2013,27,5270
2014,27,14325
2015,27,27438
2016,27,37823
2017,27,33727
2018,27,15586
2019,27,27911
2020,27,33563
2008,28,241524
2009,28,141515
2010,28,134724
2011,28,131580
2012,28,97052
2013,28,121397
2014,28,144557
2015,28,144799
2016,28,221664
2017,28,161232
2018,28,158679
2019,28,230229
2020,28,218162
2008,29,6966
2009,29,8523
2010,29,3222
2011,29,105
2012,29,2580
2013,29,6836
2014,29,8091
2015,29,8416
2016,29,8308
2017,29,6274
2018,29,
2019,29,
2020,29,
2008,30,115301
2009,30,131128
2010,30,104802
2011,30,88999
2012,30,61650
2013,30,83658
2014,30,61757
2015,30,-80825
2016,30,-11706
2017,30,-70764
2018,30,14073
2019,30,-1160
2020,30,91651
2008,31,517
2009,31,1524
2010,31,-10
2011,31,101
2012,31,-98
2013,31,-448
2014,31,240
2015,31,-537
2016,31,-444
2017,31,-308
2018,31,-35
2019,31,-916
2020,31,
2008,32,2344
2009,32,3325
2010,32,1646
2011,32,1787
2012,32,789
2013,32,-34
2014,32,900
2015,32,946
2016,32,1607
2017,32,3929
2018,32,963
2019,32,1293
2020,32,749
2008,33,12141
2009,33,5812
2010,33,-3688
2011,33,-9491
2012,33,-9174
2013,33,-8789
2014,33,-5277
2015,33,-4588
2016,33,-32
2017,33,773
