Date,Id,historic beta
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,0.81
2009,2,0.73
2010,2,0.59
2011,2,0.52
2012,2,0.51
2013,2,0.47
2014,2,0.63
2015,2,0.93
2016,2,1.69
2017,2,1.8
2018,2,1.79
2019,2,1.53
2020,2,0.73
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,1.5291
2015,3,1.6799
2016,3,0.8889
2017,3,0.3258
2018,3,0.4969
2019,3,0.7202
2020,3,0.4384
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,0.5664
2014,4,0.1078
2015,4,-0.0802
2016,4,-0.2695
2017,4,-0.2147
2018,4,-0.206
2019,4,0.0023
2020,4,0.8528
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,0.4556
2015,5,0.3814
2016,5,0.2128
2017,5,0.401
2018,5,0.5934
2019,5,0.5135
2020,5,0.6934
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,-0.56
2015,6,-0.29
2016,6,0.03
2017,6,-0.04
2018,6,-0.03
2019,6,0.08
2020,6,0.05
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,
2013,7,
2014,7,0.55
2015,7,0.31
2016,7,0.15
2017,7,0.1
2018,7,0.24
2019,7,0.19
2020,7,0.1
2008,8,1.0816
2009,8,1.3251
2010,8,1.2933
2011,8,1.2725
2012,8,1.1385
2013,8,0.9306
2014,8,0.7371
2015,8,0.7263
2016,8,0.5858
2017,8,0.7287
2018,8,0.9685
2019,8,1.0494
2020,8,1.0075
2008,9,1.2329
2009,9,1.0316
2010,9,0.9145
2011,9,0.8886
2012,9,0.8045
2013,9,0.7513
2014,9,0.7964
2015,9,0.8806
2016,9,0.8872
2017,9,1.0656
2018,9,1.2968
2019,9,1.1091
2020,9,1.2068
2008,10,0.8328
2009,10,0.907
2010,10,0.9047
2011,10,0.8047
2012,10,0.6874
2013,10,0.5498
2014,10,0.4288
2015,10,0.4029
2016,10,0.5334
2017,10,0.7561
2018,10,0.9451
2019,10,0.8636
2020,10,0.8982
2008,11,1.0725
2009,11,0.8204
2010,11,0.8069
2011,11,0.834
2012,11,0.7965
2013,11,0.7952
2014,11,0.8582
2015,11,0.817
2016,11,0.8365
2017,11,0.9268
2018,11,1.0866
2019,11,0.9262
2020,11,1.4853
2008,12,1.702
2009,12,1.8392
2010,12,1.5056
2011,12,1.4907
2012,12,1.3059
2013,12,0.992
2014,12,0.7998
2015,12,1.1531
2016,12,1.1666
2017,12,1.5514
2018,12,1.4758
2019,12,1.4223
2020,12,1.2663
2008,13,1.2749
2009,13,1.5941
2010,13,1.4931
2011,13,1.3775
2012,13,1.2695
2013,13,1.1203
2014,13,0.9463
2015,13,1.1674
2016,13,1.4546
2017,13,1.7805
2018,13,2.0363
2019,13,1.8912
2020,13,1.8408
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,1.31
2009,15,1.63
2010,15,1.51
2011,15,1.45
2012,15,1.33
2013,15,1.11
2014,15,0.68
2015,15,0.6
2016,15,0.37
2017,15,0.26
2018,15,0.15
2019,15,0.13
2020,15,0
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,
2013,17,
2014,17,
2015,17,-6.5608
2016,17,1.8593
2017,17,1.571
2018,17,1.361
2019,17,1.2758
2020,17,0.9725
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,
2016,18,1.2953
2017,18,1.0493
2018,18,1.1019
2019,18,0.9671
2020,18,1.0058
2008,19,0.6395
2009,19,0.5373
2010,19,0.4371
2011,19,0.35
2012,19,0.3143
2013,19,0.159
2014,19,0.098
2015,19,0.2276
2016,19,0.2725
2017,19,0.3588
2018,19,0.4045
2019,19,0.3749
2020,19,0.3849
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,0.1595
2016,20,0.3059
2017,20,0.3608
2018,20,0.3091
2019,20,0.2131
2020,20,0.2945
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,
2013,21,
2014,21,
2015,21,2.45
2016,21,0.96
2017,21,1.03
2018,21,0.9
2019,21,0.73
2020,21,0.8
2008,22,
2009,22,
2010,22,
2011,22,
2012,22,
2013,22,
2014,22,
2015,22,0.231
2016,22,0.4743
2017,22,0.4386
2018,22,0.4741
2019,22,0.4308
2020,22,0.4995
2008,23,1.9571
2009,23,1.275
2010,23,0.8376
2011,23,0.8219
2012,23,0.6879
2013,23,0.3777
2014,23,0.4918
2015,23,0.7137
2016,23,0.7428
2017,23,1.0341
2018,23,1.1792
2019,23,1.1123
2020,23,1.1899
2008,24,0.7967
2009,24,0.6232
2010,24,0.5503
2011,24,0.5245
2012,24,0.4584
2013,24,0.2805
2014,24,0.2729
2015,24,0.3412
2016,24,0.2372
2017,24,0.2605
2018,24,0.2902
2019,24,0.2982
2020,24,0.1899
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,
2013,25,
2014,25,
2015,25,
2016,25,
2017,25,
2018,25,
2019,25,
2020,25,
2008,26,1.3376
2009,26,1.2537
2010,26,1.3586
2011,26,1.164
2012,26,1.1014
2013,26,0.9313
2014,26,0.899
2015,26,0.6925
2016,26,1.0529
2017,26,1.1292
2018,26,1.4973
2019,26,1.6029
2020,26,1.0893
2008,27,0.7126
2009,27,0.911
2010,27,0.7698
2011,27,0.7093
2012,27,0.7103
2013,27,0.6873
2014,27,0.5496
2015,27,0.8003
2016,27,0.7112
2017,27,0.9723
2018,27,1.2693
2019,27,1.2885
2020,27,1.507
2008,28,1.3068
2009,28,1.1909
2010,28,0.9584
2011,28,0.8862
2012,28,0.8997
2013,28,0.7475
2014,28,0.7707
2015,28,0.9471
2016,28,1.0937
2017,28,1.0639
2018,28,1.0414
2019,28,0.8809
2020,28,0.9113
2008,29,-0.03
2009,29,0.02
2010,29,0.05
2011,29,0.07
2012,29,0.02
2013,29,0.04
2014,29,0.08
