Date,Id,historic volatility
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,0.3281
2009,2,0.3211
2010,2,0.3396
2011,2,0.3508
2012,2,0.3253
2013,2,0.3532
2014,2,0.3887
2015,2,0.4158
2016,2,0.587
2017,2,0.5902
2018,2,0.5664
2019,2,0.5429
2020,2,0.4966
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,0.5699
2015,3,0.6563
2016,3,0.725
2017,3,0.927
2018,3,0.8424
2019,3,0.9683
2020,3,0.9747
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,0.6176
2014,4,0.5227
2015,4,0.4333
2016,4,0.4496
2017,4,0.4043
2018,4,0.3643
2019,4,0.4481
2020,4,0.5486
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,0.3612
2015,5,0.3118
2016,5,0.2838
2017,5,0.7944
2018,5,0.7234
2019,5,0.7062
2020,5,0.7191
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,0.1553
2015,6,0.1726
2016,6,0.4162
2017,6,0.4568
2018,6,0.4179
2019,6,0.394
2020,6,0.3887
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,
2013,7,
2014,7,0.2168
2015,7,0.202
2016,7,0.2193
2017,7,0.213
2018,7,0.2097
2019,7,0.186
2020,7,0.1627
2008,8,0.2863
2009,8,0.3645
2010,8,0.3971
2011,8,0.4098
2012,8,0.419
2013,8,0.3689
2014,8,0.3176
2015,8,0.2915
2016,8,0.2696
2017,8,0.2582
2018,8,0.2676
2019,8,0.2849
2020,8,0.3153
2008,9,0.3508
2009,9,0.3726
2010,9,0.3339
2011,9,0.3376
2012,9,0.3427
2013,9,0.3147
2014,9,0.3127
2015,9,0.3248
2016,9,0.3714
2017,9,0.3933
2018,9,0.4063
2019,9,0.3856
2020,9,0.4281
2008,10,0.357
2009,10,0.393
2010,10,0.3896
2011,10,0.381
2012,10,0.3746
2013,10,0.3251
2014,10,0.2913
2015,10,0.268
2016,10,0.2676
2017,10,0.2695
2018,10,0.2798
2019,10,0.2695
2020,10,0.3116
2008,11,0.5107
2009,11,0.527
2010,11,0.4845
2011,11,0.4717
2012,11,0.4731
2013,11,0.4362
2014,11,0.3856
2015,11,0.3629
2016,11,0.3516
2017,11,0.4898
2018,11,0.4877
2019,11,0.4761
2020,11,0.587
2008,12,0.5159
2009,12,0.5868
2010,12,0.6441
2011,12,0.7243
2012,12,0.6357
2013,12,0.5606
2014,12,0.5118
2015,12,0.4947
2016,12,0.3972
2017,12,0.4443
2018,12,0.4652
2019,12,0.4757
2020,12,0.4563
2008,13,0.3504
2009,13,0.4784
2010,13,0.4848
2011,13,0.5054
2012,13,0.5016
2013,13,0.4392
2014,13,0.3616
2015,13,0.4045
2016,13,0.4324
2017,13,0.4904
2018,13,0.4943
2019,13,0.4833
2020,13,0.5461
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,0.2847
2009,15,0.4114
2010,15,0.4215
2011,15,0.4477
2012,15,0.4534
2013,15,0.4003
2014,15,0.2827
2015,15,0.2578
2016,15,0.2013
2017,15,0.1691
2018,15,0.1184
2019,15,0.0829
2020,15,0
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,
2013,17,
2014,17,
2015,17,0.2067
2016,17,0.2851
2017,17,0.2934
2018,17,0.287
2019,17,0.28
2020,17,0.2709
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,
2016,18,0.5993
2017,18,0.441
2018,18,0.4783
2019,18,0.4261
2020,18,0.4373
2008,19,0.2268
2009,19,0.2363
2010,19,0.2226
2011,19,0.2181
2012,19,0.2256
2013,19,0.1685
2014,19,0.1623
2015,19,0.186
2016,19,0.2077
2017,19,0.208
2018,19,0.2127
2019,19,0.2046
2020,19,0.2201
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,0.0755
2016,20,0.1245
2017,20,0.134
2018,20,0.1387
2019,20,0.1337
2020,20,0.2198
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,
2013,21,
2014,21,
2015,21,0.5353
2016,21,0.3742
2017,21,0.3221
2018,21,0.288
2019,21,0.2667
2020,21,0.3199
2008,22,
2009,22,
2010,22,
2011,22,
2012,22,
2013,22,
2014,22,
2015,22,0.1629
2016,22,0.1542
2017,22,0.1294
2018,22,0.1498
2019,22,0.163
2020,22,0.1804
2008,23,0.5103
2009,23,0.4984
2010,23,0.4064
2011,23,0.4032
2012,23,0.4057
2013,23,0.3064
2014,23,0.2952
2015,23,0.2742
2016,23,0.3082
2017,23,0.3621
2018,23,0.3714
2019,23,0.375
2020,23,0.4281
2008,24,0.2037
2009,24,0.2054
2010,24,0.1996
2011,24,0.2116
2012,24,0.2165
2013,24,0.188
2014,24,0.1873
2015,24,0.1941
2016,24,0.2076
2017,24,0.203
2018,24,0.1935
2019,24,0.1942
2020,24,0.1928
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,
2013,25,
2014,25,
2015,25,
2016,25,
2017,25,
2018,25,
2019,25,
2020,25,
2008,26,0.3398
2009,26,0.3781
2010,26,0.3952
2011,26,0.4037
2012,26,0.4041
2013,26,0.3501
2014,26,0.3252
2015,26,0.3326
2016,26,0.3608
2017,26,0.5716
2018,26,0.6555
2019,26,0.6886
2020,26,0.7041
2008,27,0.2526
2009,27,0.3597
2010,27,0.3599
2011,27,0.3609
2012,27,0.3814
2013,27,0.372
2014,27,0.2647
2015,27,0.3286
2016,27,0.3391
2017,27,0.3754
2018,27,0.4401
2019,27,0.4784
2020,27,0.5398
2008,28,0.2732
2009,28,0.3387
2010,28,0.3348
2011,28,0.3336
2012,28,0.3585
2013,28,0.3308
2014,28,0.2925
2015,28,0.2993
2016,28,0.3196
2017,28,0.2855
2018,28,0.2705
2019,28,0.2474
2020,28,0.2749
2008,29,0.2161
2009,29,0.2261
2010,29,0.2232
