Date,Id,interest expenses on debt
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,157
2009,2,356
2010,2,2448
2011,2,3995
2012,2,3300
2013,2,5054
2014,2,8091
2015,2,30179
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,484
2015,3,1256
2016,3,460
2017,3,280
2018,3,5
2019,3,205
2020,3,2
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,119
2014,4,606
2015,4,2073
2016,4,
2017,4,
2018,4,1566
2019,4,2658
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,2213
2015,5,1951
2016,5,1850
2017,5,1644
2018,5,1039
2019,5,1205
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,478
2015,6,970
2016,6,585
2017,6,866
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,2490
2013,7,3249
2014,7,2981
2015,7,3516
2016,7,4306
2017,7,7267
2018,7,7626
2019,7,
2020,7,
2008,8,12406
2009,8,12153
2010,8,9795
2011,8,12429
2012,8,15861
2013,8,15301
2014,8,15568
2015,8,14020
2016,8,11567
2017,8,11084
2018,8,14901
2019,8,16047
2020,8,18112
2008,9,48129
2009,9,38387
2010,9,33167
2011,9,39795
2012,9,
2013,9,49356
2014,9,57185
2015,9,52812
2016,9,52034
2017,9,50202
2018,9,47794
2019,9,42592
2020,9,42302
2008,10,35496
2009,10,28477
2010,10,23430
2011,10,25455
2012,10,28369
2013,10,36870
2014,10,41746
2015,10,40599
2016,10,37086
2017,10,35111
2018,10,33695
2019,10,28859
2020,10,28541
2008,11,977
2009,11,1793
2010,11,1855
2011,11,2915
2012,11,2641
2013,11,2704
2014,11,3069
2015,11,3939
2016,11,4035
2017,11,3437
2018,11,3112
2019,11,2887
2020,11,2552
2008,12,35233
2009,12,6870
2010,12,3585
2011,12,5443
2012,12,8570
2013,12,7504
2014,12,6034
2015,12,5601
2016,12,3251
2017,12,2225
2018,12,1971
2019,12,2212
2020,12,1988
2008,13,13978
2009,13,7366
2010,13,5503
2011,13,9118
2012,13,11104
2013,13,26189
2014,13,20462
2015,13,29262
2016,13,27378
2017,13,22124
2018,13,24510
2019,13,26494
2020,13,24025
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,3586
2013,17,8131
2014,17,
2015,17,
2016,17,27729
2017,17,35697
2018,17,25685
2019,17,49060
2020,17,51162
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,11
2016,18,35
2017,18,104
2018,18,101
2019,18,38
2020,18,39
2008,19,24859
2009,19,31429
2010,19,42400
2011,19,46200
2012,19,48400
2013,19,58800
2014,19,60600
2015,19,64400
2016,19,68800
2017,19,37400
2018,19,33600
2019,19,40800
2020,19,32600
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,2532
2016,20,1683
2017,20,1198
2018,20,768
2019,20,994
2020,20,881
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,10245
2013,21,8396
2014,21,8964
2015,21,8741
2016,21,7489
2017,21,6176
2018,21,5680
2019,21,8357
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,1134
2012,22,980
2013,22,731
2014,22,705
2015,22,506
2016,22,504
2017,22,372
2018,22,295
2019,22,436
2020,22,567
2008,23,12979
2009,23,10005
2010,23,4225
2011,23,4462
2012,23,5455
2013,23,4964
2014,23,3312
2015,23,1789
2016,23,1763
2017,23,1556
2018,23,1514
2019,23,1407
2020,23,1119
2008,24,7351
2009,24,6316
2010,24,5938
2011,24,7379
2012,24,8572
2013,24,9221
2014,24,9644
2015,24,10442
2016,24,9318
2017,24,8756
2018,24,8480
2019,24,8329
2020,24,8003
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,
2013,25,
2014,25,
2015,25,
2016,25,59
2017,25,9
2018,25,127
2019,25,
2020,25,
2008,26,61059
2009,26,33609
2010,26,28391
2011,26,39997
2012,26,49301
2013,26,9239
2014,26,59169
2015,26,61105
2016,26,61153
2017,26,62764
2018,26,59246
2019,26,15176
2020,26,24378
2008,27,4550
2009,27,2776
2010,27,1662
2011,27,2149
2012,27,2245
2013,27,1763
2014,27,1536
2015,27,1145
2016,27,977
2017,27,853
2018,27,817
2019,27,2400
2020,27,2234
2008,28,27257
2009,28,12730
2010,28,8003
2011,28,13447
2012,28,18180
2013,28,15396
2014,28,13079
2015,28,10101
2016,28,14179
2017,28,24602
2018,28,18627
2019,28,16431
2020,28,42819
2008,29,1129
2009,29,1050
2010,29,699
2011,29,1104
2012,29,1264
2013,29,1068
2014,29,1149
2015,29,1021
2016,29,801
2017,29,592
2018,29,
2019,29,
2020,29,
2008,30,18794
2009,30,16311
2010,30,13707
2011,30,17199
2012,30,25359
2013,30,27545
2014,30,31329
2015,30,31329
2016,30,24731
2017,30,25623
2018,30,24309
2019,30,25403
2020,30,28731
2008,31,80
2009,31,66
2010,31,70
2011,31,69
2012,31,73
2013,31,67
2014,31,100
2015,31,
2016,31,147
2017,31,124
2018,31,192
2019,31,142
2020,31,
2008,32,87
2009,32,28
2010,32,19
2011,32,22
2012,32,44
2013,32,28
2014,32,47
2015,32,46
2016,32,3728
2017,32,5406
2018,32,4728
2019,32,4039
2020,32,2603
2008,33,7068
2009,33,4520
2010,33,3496
2011,33,4505
2012,33,4831
2013,33,4880
2014,33,5062
2015,33,4286
2016,33,2635
2017,33,1629
2018,33,4417
2019,33,
2020,33,
2008,34,163268
2009,34,124732
2010,34,135260
2011,34,110475
2012,34,98929
2013,34,115514
2014,34,121645
2015,34,125226
2016,34,
2017,34,
2018,34,
