Date,Id,inventories
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,5070
2009,2,7333
2010,2,37430
2011,2,37628
2012,2,5496
2013,2,8218
2014,2,6496
2015,2,4529
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,2280
2015,3,17391
2016,3,2785
2017,3,3105
2018,3,0
2019,3,633
2020,3,791
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,236
2014,4,114
2015,4,84
2016,4,9285
2017,4,9254
2018,4,11081
2019,4,9526
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,150
2015,5,170
2016,5,170
2017,5,485
2018,5,1834
2019,5,1586
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,612
2015,6,987
2016,6,998
2017,6,195
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,1581
2013,7,1639
2014,7,1777
2015,7,1820
2016,7,3359
2017,7,2627
2018,7,2665
2019,7,
2020,7,
2008,8,197573
2009,8,142867
2010,8,181650
2011,8,225028
2012,8,207087
2013,8,208963
2014,8,230655
2015,8,247661
2016,8,283191
2017,8,311116
2018,8,342037
2019,8,342203
2020,8,354887
2008,9,328071
2009,9,324150
2010,9,342544
2011,9,350311
2012,9,347710
2013,9,335182
2014,9,343964
2015,9,287859
2016,9,298964
2017,9,326440
2018,9,345847
2019,9,345421
2020,9,316054
2008,10,257961
2009,10,252496
2010,10,240066
2011,10,239531
2012,10,226589
2013,10,207808
2014,10,232398
2015,10,212812
2016,10,208459
2017,10,218622
2018,10,224108
2019,10,214682
2020,10,189864
2008,11,68163
2009,11,58835
2010,11,66980
2011,11,67408
2012,11,65928
2013,11,64622
2014,11,65859
2015,11,60432
2016,11,51153
2017,11,36562
2018,11,38895
2019,11,39774
2020,11,42009
2008,12,17867
2009,12,8455
2010,12,2034
2011,12,4626
2012,12,2904
2013,12,6587
2014,12,3649
2015,12,5721
2016,12,1749
2017,12,1876
2018,12,408
2019,12,360
2020,12,448
2008,13,114880
2009,13,86281
2010,13,98919
2011,13,153980
2012,13,148584
2013,13,143127
2014,13,144142
2015,13,159694
2016,13,164977
2017,13,159314
2018,13,115682
2019,13,115464
2020,13,97731
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,
2013,17,237496
2014,17,296005
2015,17,295436
2016,17,323998
2017,17,393765
2018,17,391064
2019,17,420051
2020,17,460617
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,438
2016,18,2240
2017,18,4433
2018,18,4498
2019,18,5550
2020,18,3986
2008,19,173522
2009,19,274598
2010,19,297500
2011,19,335400
2012,19,456200
2013,19,447100
2014,19,486700
2015,19,503500
2016,19,545800
2017,19,496200
2018,19,569900
2019,19,620100
2020,19,656700
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,17401
2016,20,17712
2017,20,20211
2018,20,18984
2019,20,20312
2020,20,25470
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,151888
2013,21,140930
2014,21,139302
2015,21,134807
2016,21,132858
2017,21,127997
2018,21,131649
2019,21,154525
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,24463
2012,22,27749
2013,22,30019
2014,22,32808
2015,22,31199
2016,22,38617
2017,22,28943
2018,22,32296
2019,22,24588
2020,22,28194
2008,23,63537
2009,23,52710
2010,23,34383
2011,23,38906
2012,23,42117
2013,23,34202
2014,23,40364
2015,23,49010
2016,23,46971
2017,23,45040
2018,23,48097
2019,23,40853
2020,23,39553
2008,24,26735
2009,24,28539
2010,24,31686
2011,24,31747
2012,24,33148
2013,24,33379
2014,24,35087
2015,24,39024
2016,24,40924
2017,24,46450
2018,24,50699
2019,24,49476
2020,24,63301
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,407
2013,25,715
2014,25,1360
2015,25,536
2016,25,976
2017,25,1396
2018,25,66
2019,25,
2020,25,
2008,26,768092
2009,26,749555
2010,26,932343
2011,26,1103785
2012,26,1142382
2013,26,1323508
2014,26,64870
2015,26,70676
2016,26,50008
2017,26,48906
2018,26,42976
2019,26,38231
2020,26,38675
2008,27,153736
2009,27,130733
2010,27,135260
2011,27,142531
2012,27,144951
2013,27,128638
2014,27,130425
2015,27,138847
2016,27,140254
2017,27,151658
2018,27,160116
2019,27,164340
2020,27,144155
2008,28,184211
2009,28,173608
2010,28,224311
2011,28,212247
2012,28,232508
2013,28,166131
2014,28,184719
2015,28,178406
2016,28,412706
2017,28,344751
2018,28,309340
2019,28,178433
2020,28,156080
2008,29,17986
2009,29,16137
2010,29,25005
2011,29,22220
2012,29,20797
2013,29,24002
2014,29,26429
2015,29,24017
2016,29,15775
2017,29,16657
2018,29,
2019,29,
2020,29,
2008,30,359325
2009,30,360470
2010,30,297999
2011,30,404338
2012,30,362656
2013,30,323835
2014,30,310539
2015,30,301082
2016,30,352398
2017,30,232659
2018,30,145269
2019,30,118897
2020,30,122711
2008,31,
2009,31,
2010,31,
2011,31,
2012,31,0
2013,31,0
2014,31,0
2015,31,0
2016,31,0
2017,31,0
2018,31,0
2019,31,0
2020,31,
2008,32,6855
2009,32,5286
2010,32,8055
2011,32,8392
2012,32,3737
2013,32,5596
2014,32,4861
2015,32,6516
2016,32,218020
2017,32,172233
2018,32,120802
2019,32,3224
2020,32,3029
2008,33,168811
2009,33,167294
2010,33,142306
2011,33,141311
2012,33,137015
2013,33,114506
2014,33,100285
2015,33,85897
2016,33,78967
2017,33,76201
2018,33,68135
2019,33,
2020,33,
2008,34,941256
2009,34,686289
2010,34,726152
2011,34,740991
2012,34,699720
2013,34,624145
