Date,Id,long term debt
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,983
2009,2,7587
2010,2,70981
2011,2,35288
2012,2,48540
2013,2,78081
2014,2,226961
2015,2,197686
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,16495
2015,3,23618
2016,3,23045
2017,3,19371
2018,3,4269
2019,3,2656
2020,3,1938
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,945
2014,4,8260
2015,4,9078
2016,4,10812
2017,4,21703
2018,4,21924
2019,4,27379
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,35169
2015,5,28342
2016,5,29325
2017,5,20363
2018,5,18480
2019,5,17983
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,4361
2015,6,4105
2016,6,8784
2017,6,9336
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,56388
2013,7,64331
2014,7,70411
2015,7,80825
2016,7,119804
2017,7,186177
2018,7,177269
2019,7,
2020,7,
2008,8,193907
2009,8,122495
2010,8,225461
2011,8,254645
2012,8,270320
2013,8,259173
2014,8,276899
2015,8,215149
2016,8,215904
2017,8,321658
2018,8,207444
2019,8,375005
2020,8,736588
2008,9,338187
2009,9,484207
2010,9,476165
2011,9,415744
2012,9,410387
2013,9,578994
2014,9,573214
2015,9,625088
2016,9,529749
2017,9,571342
2018,9,520383
2019,9,547011
2020,9,571517
2008,10,264789
2009,10,443164
2010,10,371048
2011,10,317525
2012,10,364168
2013,10,426098
2014,10,488541
2015,10,496686
2016,10,516342
2017,10,439363
2018,10,507023
2019,10,480314
2020,10,483770
2008,11,28144
2009,11,53915
2010,11,66810
2011,11,40168
2012,11,38465
2013,11,12096
2014,11,26171
2015,11,11935
2016,11,18687
2017,11,26906
2018,11,23055
2019,11,55526
2020,11,71052
2008,12,245053
2009,12,163074
2010,12,193537
2011,12,17596
2012,12,90343
2013,12,7522
2014,12,70886
2015,12,66391
2016,12,26131
2017,12,24375
2018,12,22441
2019,12,25390
2020,12,21499
2008,13,249335
2009,13,207071
2010,13,150968
2011,13,338378
2012,13,276594
2013,13,332339
2014,13,335265
2015,13,359497
2016,13,258197
2017,13,288217
2018,13,296238
2019,13,398376
2020,13,402956
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,
2013,17,20519
2014,17,18900
2015,17,1340981
2016,17,1448165
2017,17,1500150
2018,17,1574758
2019,17,1668414
2020,17,1835517
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,491
2016,18,331
2017,18,165
2018,18,1100
2019,18,1000
2020,18,1726
2008,19,373506
2009,19,814419
2010,19,851800
2011,19,789800
2012,19,1180700
2013,19,1128900
2014,19,1097200
2015,19,1282500
2016,19,1296900
2017,19,1297300
2018,19,1079700
2019,19,680800
2020,19,1284200
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,34630
2016,20,32122
2017,20,24670
2018,20,24454
2019,20,34877
2020,20,32628
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,76720
2013,21,77637
2014,21,145731
2015,21,98338
2016,21,192117
2017,21,204145
2018,21,175300
2019,21,213674
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,26013
2012,22,22286
2013,22,22799
2014,22,17510
2015,22,12077
2016,22,7855
2017,22,14258
2018,22,13203
2019,22,22310
2020,22,32374
2008,23,23194
2009,23,32214
2010,23,20626
2011,23,1915
2012,23,14181
2013,23,125
2014,23,19898
2015,23,25648
2016,23,39861
2017,23,45309
2018,23,39109
2019,23,33457
2020,23,6614
2008,24,131673
2009,24,140555
2010,24,143800
2011,24,179668
2012,24,224273
2013,24,235585
2014,24,274875
2015,24,301691
2016,24,334354
2017,24,334137
2018,24,331345
2019,24,398644
2020,24,443042
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,0
2013,25,0
2014,25,126
2015,25,656
2016,25,385
2017,25,14922
2018,25,23370
2019,25,
2020,25,
2008,26,480615
2009,26,582565
2010,26,563618
2011,26,655915
2012,26,734920
2013,26,961010
2014,26,1171120
2015,26,1281145
2016,26,1485307
2017,26,1465897
2018,26,24457
2019,26,185744
2020,26,222730
2008,27,36086
2009,27,63634
2010,27,54509
2011,27,49127
2012,27,69212
2013,27,64487
2014,27,52160
2015,27,63449
2016,27,86987
2017,27,100793
2018,27,100156
2019,27,172796
2020,27,207792
2008,28,255647
2009,28,307106
2010,28,257655
2011,28,182258
2012,28,244777
2013,28,302786
2014,28,269269
2015,28,243598
2016,28,958343
2017,28,944646
2018,28,660978
2019,28,670133
2020,28,328987
2008,29,18261
2009,29,21375
2010,29,17810
2011,29,14245
2012,29,10680
2013,29,7116
2014,29,5278
2015,29,3168
2016,29,2000
2017,29,0
2018,29,
2019,29,
2020,29,
2008,30,218770
2009,30,340708
2010,30,280061
2011,30,287095
2012,30,239572
2013,30,251790
2014,30,265096
2015,30,388602
2016,30,100397
2017,30,80231
2018,30,33999
2019,30,33420
2020,30,87471
2008,31,435
2009,31,187
2010,31,63
2011,31,349
2012,31,274
2013,31,175
2014,31,2887
2015,31,2653
2016,31,2282
2017,31,2344
2018,31,1825
2019,31,1495
2020,31,
2008,32,0
2009,32,0
2010,32,0
2011,32,0
2012,32,0
2013,32,0
2014,32,0
2015,32,0
2016,32,210672
2017,32,241606
2018,32,203503
2019,32,158378
2020,32,159618
2008,33,40350
2009,33,46174
2010,33,58649
2011,33,26432
2012,33,24910
2013,33,32384
2014,33,29610
2015,33,22691
2016,33,60346
2017,33,61656
2018,33,20895
2019,33,
2020,33,
2008,34,2684198
2009,34,2632588
