Date,Id,market value
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,15.09
2009,2,42.66
2010,2,44.58
2011,2,21.86
2012,2,21.95
2013,2,47.05
2014,2,47.8
2015,2,40.67
2016,2,8.66
2017,2,7.86
2018,2,4.32
2019,2,4.32
2020,2,4.32
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,18.05
2014,3,6.19
2015,3,10.44
2016,3,3.03
2017,3,7.65
2018,3,6.2
2019,3,29.88
2020,3,68.59
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,13.4
2014,4,13.11
2015,4,13.28
2016,4,14.05
2017,4,13.76
2018,4,7.41
2019,4,10.01
2020,4,7.61
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,19.78
2015,5,10.3
2016,5,5.61
2017,5,13.72
2018,5,7.45
2019,5,11.82
2020,5,13.54
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,24.51
2015,6,21.12
2016,6,5.66
2017,6,7.29
2018,6,4.47
2019,6,4.47
2020,6,4.47
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,
2013,7,
2014,7,49.99
2015,7,42.5
2016,7,58.5
2017,7,59.17
2018,7,61.71
2019,7,66.73
2020,7,66.73
2008,8,251.11
2009,8,348.61
2010,8,515.91
2011,8,442.11
2012,8,651.48
2013,8,1307.64
2014,8,1849.93
2015,8,2983.93
2016,8,3840.1
2017,8,4230.79
2018,8,2970.24
2019,8,3693.18
2020,8,3606.36
2008,9,238.7
2009,9,288.29
2010,9,279.88
2011,9,192.19
2012,9,153.68
2013,9,158.69
2014,9,183.89
2015,9,159.37
2016,9,125.89
2017,9,240.92
2018,9,137.23
2019,9,191.38
2020,9,140.81
2008,10,499.01
2009,10,792.08
2010,10,874.65
2011,10,675.92
2012,10,754.74
2013,10,870.48
2014,10,876.46
2015,10,840.17
2016,10,572.88
2017,10,823.75
2018,10,655.78
2019,10,984.21
2020,10,965.58
2008,11,370.12
2009,11,383.91
2010,11,335.81
2011,11,137.36
2012,11,166.5
2013,11,134.78
2014,11,111.38
2015,11,83.76
2016,11,38.86
2017,11,176.62
2018,11,126.45
2019,11,101.59
2020,11,92.03
2008,12,35.31
2009,12,83.79
2010,12,106.71
2011,12,96.53
2012,12,89.59
2013,12,93.21
2014,12,95.02
2015,12,111.62
2016,12,53.09
2017,12,107.76
2018,12,123.23
2019,12,88.6
2020,12,62.7
2008,13,144.02
2009,13,245.07
2010,13,287.59
2011,13,227.26
2012,13,225.92
2013,13,511.76
2014,13,245.58
2015,13,256.93
2016,13,290.75
2017,13,481.15
2018,13,171.89
2019,13,191.95
2020,13,141.98
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,1377.48
2009,15,2197.92
2010,15,2878.23
2011,15,3094.69
2012,15,4117.53
2013,15,5984.81
2014,15,5333.04
2015,15,7121.82
2016,15,7121.82
2017,15,7121.82
2018,15,7121.82
2019,15,7121.82
2020,15,7121.82
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,
2013,17,
2014,17,
2015,17,9068.22
2016,17,11274.71
2017,17,19809.93
2018,17,18686.82
2019,17,31108.38
2020,17,43131.54
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,
2016,18,33.92
2017,18,40.8
2018,18,34.99
2019,18,41.06
2020,18,33.58
2008,19,1393.92
2009,19,2118.47
2010,19,2828.5
2011,19,2988.21
2012,19,3368.64
2013,19,3531.26
2014,19,2996.93
2015,19,4646.4
2016,19,5395.63
2017,19,7486.52
2018,19,8578.42
2019,19,9455.43
2020,19,10849.35
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,52.27
2016,20,49.37
2017,20,71.57
2018,20,88.82
2019,20,94.38
2020,20,153.96
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,
2013,21,
2014,21,
2015,21,326.02
2016,21,238.21
2017,21,253.82
2018,21,197.22
2019,21,201
2020,21,187.96
2008,22,
2009,22,
2010,22,
2011,22,
2012,22,
2013,22,
2014,22,
2015,22,138.7
2016,22,140.76
2017,22,142.43
2018,22,117.67
2019,22,100.95
2020,22,78.13
2008,23,44.93
2009,23,58.09
2010,23,59.58
2011,23,43.8
2012,23,37.38
2013,23,39.66
2014,23,35.4
2015,23,36.82
2016,23,27.08
2017,23,42.15
2018,23,33.88
2019,23,30.56
2020,23,27.74
2008,24,249.42
2009,24,360.53
2010,24,447.15
2011,24,371.87
2012,24,362.8
2013,24,514.72
2014,24,603.61
2015,24,749.18
2016,24,722.88
2017,24,964.14
2018,24,986.82
2019,24,952.35
2020,24,1269.8
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,
2013,25,
2014,25,
2015,25,
2016,25,
2017,25,
2018,25,
2019,25,
2020,25,
2008,26,388.78
2009,26,589.07
2010,26,484.5
2011,26,487.2
2012,26,498.03
2013,26,753.44
2014,26,470.47
2015,26,552.66
2016,26,531.49
2017,26,208.66
2018,26,50.98
2019,26,55.07
2020,26,437.38
2008,27,102.05
2009,27,85.59
2010,27,69.53
2011,27,44.27
2012,27,49.35
2013,27,57.51
2014,27,56.69
2015,27,159.65
2016,27,151.49
2017,27,263.06
2018,27,66.67
2019,27,69.76
2020,27,41.27
2008,28,293.69
2009,28,293.69
2010,28,212.49
2011,28,166.97
2012,28,140.42
2013,28,243.6
2014,28,230.15
2015,28,283.48
2016,28,249.85
2017,28,362.52
2018,28,273.87
2019,28,348.35
2020,28,361.56
2008,29,104.59
2009,29,86.81
2010,29,86.81
2011,29,91.15
2012,29,89.37
2013,29,86.81
2014,29,88.54
2015,29,96.79
2016,29,79.99
2017,29,85.38
2018,29,91.15
2019,29,91.15
2020,29,91.15
2008,30,471.36
2009,30,705.92
2010,30,689.92
2011,30,345.07
2012,30,283.58
2013,30,441.52
2014,30,466.34
2015,30,301.55
2016,30,161.65
2017,30,51.76
2018,30,49.6
