Date,Id,number of shares
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,7623
2009,2,19479
2010,2,21329
2011,2,21329
2012,2,21329
2013,2,21329
2014,2,56103
2015,2,56103
2016,2,56103
2017,2,56103
2018,2,56103
2019,2,56103
2020,2,56103
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,5028
2014,3,5028
2015,3,8874
2016,3,151255
2017,3,151255
2018,3,331297
2019,3,331297
2020,3,86492
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,3337
2014,4,3460
2015,4,3460
2016,4,4171
2017,4,4499
2018,4,5295
2019,4,7850
2020,4,7850
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,1455
2015,5,1492
2016,5,1492
2017,5,1713
2018,5,1713
2019,5,1713
2020,5,1713
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,12076
2015,6,12076
2016,6,12076
2017,6,12076
2018,6,12076
2019,6,12076
2020,6,12076
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,
2013,7,
2014,7,23919
2015,7,23919
2016,7,23919
2017,7,23919
2018,7,23919
2019,7,23919
2020,7,23919
2008,8,66784
2009,8,66784
2010,8,66784
2011,8,66784
2012,8,66784
2013,8,66784
2014,8,66784
2015,8,66784
2016,8,66784
2017,8,333922
2018,8,333922
2019,8,333922
2020,8,333922
2008,9,343200
2009,9,343200
2010,9,343200
2011,9,343200
2012,9,343200
2013,9,340530
2014,9,340530
2015,9,340530
2016,9,340530
2017,9,340530
2018,9,340530
2019,9,340530
2020,9,340530
2008,10,396041
2009,10,396041
2010,10,371794
2011,10,371794
2012,10,371794
2013,10,360895
2014,10,363675
2015,10,361208
2016,10,361208
2017,10,358154
2018,10,358154
2019,10,358154
2020,10,358154
2008,11,112500
2009,11,112500
2010,11,112500
2011,11,112500
2012,11,112500
2013,11,112500
2014,11,112500
2015,11,112500
2016,11,112500
2017,11,112500
2018,11,112500
2019,11,112500
2020,11,112500
2008,12,9317
2009,12,30167
2010,12,30167
2011,12,30167
2012,12,30167
2013,12,30167
2014,12,30167
2015,12,30167
2016,12,30167
2017,12,54287
2018,12,54287
2019,12,54287
2020,12,54287
2008,13,116149
2009,13,116149
2010,13,116435
2011,13,116663
2012,13,116753
2013,13,117162
2014,13,118521
2015,13,118618
2016,13,119356
2017,13,119988
2018,13,120118
2019,13,120118
2020,13,120118
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,5237578
2009,15,5233141
2010,15,475740
2011,15,475740
2012,15,475740
2013,15,475740
2014,15,475740
2015,15,475740
2016,15,475740
2017,15,475740
2018,15,475740
2019,15,475740
2020,15,475740
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,
2013,17,
2014,17,
2015,17,188921
2016,17,193924
2017,17,188954
2018,17,187921
2019,17,187921
2020,17,187921
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,
2016,18,11657
2017,18,13205
2018,18,15018
2019,18,17108
2020,18,18199
2008,19,290400
2009,19,290400
2010,19,580800
2011,19,580800
2012,19,580800
2013,19,580800
2014,19,580800
2015,19,580800
2016,19,580800
2017,19,1161600
2018,19,1161600
2019,19,1161600
2020,19,1161600
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,5206
2016,20,5674
2017,20,5689
2018,20,7402
2019,20,7402
2020,20,7402
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,
2013,21,
2014,21,
2015,21,34300
2016,21,34300
2017,21,34300
2018,21,34300
2019,21,34300
2020,21,34300
2008,22,
2009,22,
2010,22,
2011,22,
2012,22,
2013,22,
2014,22,
2015,22,32151
2016,22,32151
2017,22,32151
2018,22,32151
2019,22,32151
2020,22,32151
2008,23,17550
2009,23,17550
2010,23,17550
2011,23,17550
2012,23,17550
2013,23,17550
2014,23,24550
2015,23,24550
2016,23,24550
2017,23,24550
2018,23,24550
2019,23,24550
2020,23,24550
2008,24,90700
2009,24,90700
2010,24,90700
2011,24,90700
2012,24,90700
2013,24,90700
2014,24,90700
2015,24,90700
2016,24,90700
2017,24,90700
2018,24,90700
2019,24,90700
2020,24,90700
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,
2013,25,
2014,25,
2015,25,
2016,25,
2017,25,
2018,25,
2019,25,
2020,25,
2008,26,98425
2009,26,98425
2010,26,98425
2011,26,98425
2012,26,98425
2013,26,98425
2014,26,98425
2015,26,98425
2016,26,98425
2017,26,98425
2018,26,98425
2019,26,98425
2020,26,1480136
2008,27,45355
2009,27,45355
2010,27,45355
2011,27,45355
2012,27,45355
2013,27,45355
2014,27,45355
2015,27,45355
2016,27,45355
2017,27,45355
2018,27,45355
2019,27,45355
2020,27,45355
2008,28,120120
2009,28,120120
2010,28,120120
2011,28,120120
2012,28,120120
2013,28,120120
2014,28,120120
2015,28,120120
2016,28,120120
2017,28,120120
2018,28,120120
2019,28,120120
2020,28,120120
2008,29,4340
2009,29,4340
2010,29,4340
2011,29,4340
2012,29,4340
2013,29,4340
2014,29,4340
2015,29,4340
2016,29,4340
2017,29,4340
2018,29,4340
2019,29,4340
2020,29,4340
2008,30,64000
2009,30,64000
2010,30,64000
2011,30,70194
2012,30,70194
2013,30,70194
2014,30,164783
2015,30,164783
2016,30,164783
2017,30,164783
2018,30,164783
2019,30,1648
2020,30,150856
2008,31,
2009,31,
2010,31,2170
2011,31,2170
2012,31,227
2013,31,2170
2014,31,14466
2015,31,17189
2016,31,24303
2017,31,30586
2018,31,54136
2019,31,5408
2020,31,53592
2008,32,30105
2009,32,30105
2010,32,30105
2011,32,30105
2012,32,30105
2013,32,30105
2014,32,30105
2015,32,30105
2016,32,30105
2017,32,30105
2018,32,30105
2019,32,30105
2020,32,30105
2008,33,53551
2009,33,53551
2010,33,81835
2011,33,81835
2012,33,81835
2013,33,81835
2014,33,81835
2015,33,81835
2016,33,81835
2017,33,81835
