Date,Id,operating expense
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,13963
2009,2,17076
2010,2,35372
2011,2,82961
2012,2,87834
2013,2,63635
2014,2,88239
2015,2,120046
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,11228
2015,3,27657
2016,3,67747
2017,3,46976
2018,3,23468
2019,3,39859
2020,3,25166
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,4317
2014,4,12079
2015,4,100445
2016,4,85617
2017,4,94517
2018,4,48833
2019,4,59810
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,6174
2015,5,6516
2016,5,14076
2017,5,32499
2018,5,69342
2019,5,83501
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,12919
2015,6,23342
2016,6,4588
2017,6,8559
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,9692
2013,7,11615
2014,7,11832
2015,7,12612
2016,7,16518
2017,7,45691
2018,7,50844
2019,7,
2020,7,
2008,8,1000451
2009,8,813715
2010,8,1024855
2011,8,1190808
2012,8,1311625
2013,8,1458511
2014,8,1640858
2015,8,1841180
2016,8,1989267
2017,8,2153043
2018,8,2341832
2019,8,2318947
2020,8,2057978
2008,9,1800314
2009,9,1678582
2010,9,1646130
2011,9,1656913
2012,9,1513576
2013,9,1319512
2014,9,1317862
2015,9,1421984
2016,9,1436473
2017,9,1477691
2018,9,1478861
2019,9,1612181
2020,9,1439256
2008,10,1556648
2009,10,1480476
2010,10,1458189
2011,10,1494593
2012,10,1371775
2013,10,1208212
2014,10,1201264
2015,10,1297672
2016,10,1315448
2017,10,1329904
2018,10,1358763
2019,10,1483606
2020,10,1310987
2008,11,176122
2009,11,239196
2010,11,270227
2011,11,254119
2012,11,256807
2013,11,231364
2014,11,231918
2015,11,217065
2016,11,199429
2017,11,209032
2018,11,174567
2019,11,177966
2020,11,146762
2008,12,577364
2009,12,219445
2010,12,221801
2011,12,74784
2012,12,82860
2013,12,80359
2014,12,87397
2015,12,84114
2016,12,76453
2017,12,82722
2018,12,101585
2019,12,100568
2020,12,87137
2008,13,925310
2009,13,747302
2010,13,857186
2011,13,1069315
2012,13,1226540
2013,13,1227140
2014,13,1265004
2015,13,1407027
2016,13,1466494
2017,13,1553920
2018,13,1539440
2019,13,1451569
2020,13,1152812
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,1902255
2013,17,1989035
2014,17,2386002
2015,17,2287056
2016,17,2412454
2017,17,2668598
2018,17,2610090
2019,17,2861988
2020,17,2754902
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,1692
2016,18,5913
2017,18,6033
2018,18,9548
2019,18,11266
2020,18,12708
2008,19,743293
2009,19,768692
2010,19,890200
2011,19,975600
2012,19,1044900
2013,19,1224500
2014,19,1264400
2015,19,1324100
2016,19,1373900
2017,19,1447900
2018,19,1339700
2019,19,1448100
2020,19,1468400
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,138786
2016,20,141581
2017,20,140217
2018,20,141992
2019,20,146992
2020,20,187132
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,918264
2013,21,786844
2014,21,749765
2015,21,917603
2016,21,889872
2017,21,932746
2018,21,861651
2019,21,886460
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,46844
2012,22,51505
2013,22,2164
2014,22,1339
2015,22,52278
2016,22,55004
2017,22,55442
2018,22,58256
2019,22,59458
2020,22,51683
2008,23,202966
2009,23,198152
2010,23,137362
2011,23,147488
2012,23,145694
2013,23,136675
2014,23,144088
2015,23,148206
2016,23,146014
2017,23,149452
2018,23,151966
2019,23,120176
2020,23,117313
2008,24,418180
2009,24,416082
2010,24,461369
2011,24,500067
2012,24,533315
2013,24,546905
2014,24,578592
2015,24,613564
2016,24,628643
2017,24,682265
2018,24,743657
2019,24,808159
2020,24,836662
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,1257
2013,25,1178
2014,25,1853
2015,25,4869
2016,25,4590
2017,25,4384
2018,25,11105
2019,25,
2020,25,
2008,26,1393076
2009,26,1714719
2010,26,1871157
2011,26,2159568
2012,26,2244486
2013,26,2269797
2014,26,2414009
2015,26,2631600
2016,26,2775042
2017,26,3031584
2018,26,2882270
2019,26,1512660
2020,26,1503625
2008,27,319314
2009,27,288311
2010,27,282891
2011,27,291654
2012,27,287404
2013,27,287628
2014,27,299027
2015,27,341569
2016,27,369690
2017,27,377145
2018,27,386554
2019,27,397754
2020,27,371709
2008,28,1483227
2009,28,1269318
2010,28,1312396
2011,28,1418036
2012,28,1357514
2013,28,1347234
2014,28,1224212
2015,28,1244065
2016,28,1252659
2017,28,1283064
2018,28,1370253
2019,28,1308924
2020,28,1275027
2008,29,114542
2009,29,110755
2010,29,115647
2011,29,114897
2012,29,88284
2013,29,91402
2014,29,92517
2015,29,87849
2016,29,83804
2017,29,84530
2018,29,
2019,29,
2020,29,
2008,30,940455
2009,30,917420
2010,30,865696
2011,30,980911
2012,30,1061212
2013,30,1193517
2014,30,1185929
2015,30,1426574
2016,30,1101107
2017,30,1186818
2018,30,599385
2019,30,639811
2020,30,480146
2008,31,
2009,31,
2010,31,
2011,31,
2012,31,6104
2013,31,4902
2014,31,2605
2015,31,5101
2016,31,4492
2017,31,3808
2018,31,4011
2019,31,5902
2020,31,
2008,32,15639
2009,32,16908
2010,32,9420
2011,32,11156
2012,32,13852
2013,32,8408
2014,32,12906
2015,32,11281
2016,32,19386
2017,32,16883
2018,32,23865
2019,32,7667
2020,32,4419
2008,33,249738
2009,33,193064
