Date,Id,operating income
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,-2663
2009,2,-1228
2010,2,-425
2011,2,7911
2012,2,2593
2013,2,-208
2014,2,-25541
2015,2,-4906
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,-2391
2015,3,-4684
2016,3,-28682
2017,3,-6025
2018,3,6324
2019,3,3207
2020,3,-1367
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,523
2014,4,-1976
2015,4,7679
2016,4,4273
2017,4,-4507
2018,4,-13024
2019,4,-1268
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,-2180
2015,5,-3040
2016,5,-2248
2017,5,-3543
2018,5,-2264
2019,5,-1636
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,2623
2015,6,3534
2016,6,-1656
2017,6,-3334
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,-632
2013,7,-2331
2014,7,-2222
2015,7,-666
2016,7,-7666
2017,7,-18051
2018,7,-8942
2019,7,
2020,7,
2008,8,60320
2009,8,12182
2010,8,50397
2011,8,63705
2012,8,77012
2013,8,107632
2014,8,162477
2015,8,232066
2016,8,289829
2017,8,310577
2018,8,298179
2019,8,272723
2020,8,150661
2008,9,-63646
2009,9,-64347
2010,9,-41812
2011,9,-40436
2012,9,-45289
2013,9,-61768
2014,9,-43285
2015,9,-59972
2016,9,-52625
2017,9,-22752
2018,9,-14328
2019,9,-21446
2020,9,-62489
2008,10,13412
2009,10,6406
2010,10,27162
2011,10,21870
2012,10,34377
2013,10,4323
2014,10,12008
2015,10,-2386
2016,10,-2339
2017,10,12546
2018,10,30783
2019,10,37719
2020,10,2703
2008,11,40076
2009,11,31579
2010,11,32149
2011,11,1056
2012,11,19920
2013,11,-6445
2014,11,2837
2015,11,-9660
2016,11,-13970
2017,11,-1469
2018,11,14994
2019,11,14487
2020,11,-3994
2008,12,-50060
2009,12,-33269
2010,12,-17394
2011,12,-20889
2012,12,-19082
2013,12,-11295
2014,12,-3218
2015,12,-8988
2016,12,-13794
2017,12,-3080
2018,12,-4056
2019,12,-15266
2020,12,-21652
2008,13,92148
2009,13,33685
2010,13,67527
2011,13,89070
2012,13,92693
2013,13,107847
2014,13,84387
2015,13,92023
2016,13,107597
2017,13,118476
2018,13,84331
2019,13,67677
2020,13,50389
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,366136
2013,17,338599
2014,17,356247
2015,17,567313
2016,17,692630
2017,17,748292
2018,17,810231
2019,17,904627
2020,17,704888
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,-1452
2016,18,-5114
2017,18,-5527
2018,18,-7394
2019,18,-8105
2020,18,-6665
2008,19,199036
2009,19,239733
2010,19,272800
2011,19,298600
2012,19,295900
2013,19,299600
2014,19,295600
2015,19,332700
2016,19,352600
2017,19,368100
2018,19,372000
2019,19,394400
2020,19,303600
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,6031
2016,20,4356
2017,20,9518
2018,20,7871
2019,20,10502
2020,20,17180
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,16571
2013,21,21235
2014,21,31690
2015,21,24077
2016,21,27603
2017,21,23319
2018,21,29552
2019,21,28005
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,14912
2012,22,14161
2013,22,62390
2014,22,58383
2015,22,8595
2016,22,8867
2017,22,8932
2018,22,7057
2019,22,5440
2020,22,0
2008,23,10259
2009,23,-4831
2010,23,-3562
2011,23,-3170
2012,23,2630
2013,23,5971
2014,23,4943
2015,23,10737
2016,23,7050
2017,23,3327
2018,23,4395
2019,23,-13081
2020,23,-5360
2008,24,41863
2009,24,46539
2010,24,57524
2011,24,55644
2012,24,49653
2013,24,49417
2014,24,57767
2015,24,60652
2016,24,74726
2017,24,74542
2018,24,89856
2019,24,96154
2020,24,137171
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,80
2013,25,120
2014,25,632
2015,25,3142
2016,25,-146
2017,25,5696
2018,25,39241
2019,25,
2020,25,
2008,26,73772
2009,26,83156
2010,26,47812
2011,26,105716
2012,26,80813
2013,26,123074
2014,26,126379
2015,26,98424
2016,26,76784
2017,26,-143265
2018,26,-1853981
2019,26,-143833
2020,26,-122795
2008,27,9032
2009,27,-3821
2010,27,2288
2011,27,-257
2012,27,-6626
2013,27,-14657
2014,27,-8348
2015,27,1341
2016,27,7355
2017,27,7435
2018,27,-15559
2019,27,-15735
2020,27,-14440
2008,28,121164
2009,28,29782
2010,28,14447
2011,28,7945
2012,28,-1819
2013,28,45520
2014,28,63752
2015,28,70417
2016,28,74063
2017,28,119798
2018,28,100581
2019,28,126071
2020,28,140174
2008,29,12435
2009,29,8471
2010,29,4299
2011,29,-879
2012,29,-2528
2013,29,322
2014,29,2324
2015,29,2472
2016,29,1644
2017,29,-841
2018,29,
2019,29,
2020,29,
2008,30,109046
2009,30,88446
2010,30,46607
2011,30,49175
2012,30,23388
2013,30,50438
2014,30,25067
2015,30,-130614
2016,30,-67671
2017,30,-280741
2018,30,-9178
2019,30,-45841
2020,30,-23484
2008,31,1202
2009,31,725
2010,31,-1838
2011,31,-311
2012,31,-721
2013,31,-614
2014,31,-24
2015,31,-662
2016,31,-660
2017,31,-245
2018,31,-267
2019,31,-1313
2020,31,
2008,32,-1540
2009,32,951
2010,32,-21
2011,32,-777
2012,32,-1634
2013,32,-1771
2014,32,-1451
2015,32,-67
2016,32,-2713
2017,32,5177
2018,32,5112
2019,32,5653
2020,32,3565
2008,33,-9184
2009,33,1436
