Date,Id,other proceeds
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,0
2009,2,32150
2010,2,14713
2011,2,1825
2012,2,0
2013,2,0
2014,2,0
2015,2,0
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,1776
2015,3,0
2016,3,2848
2017,3,0
2018,3,146
2019,3,0
2020,3,2562
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,
2014,4,238
2015,4,0
2016,4,2577
2017,4,3488
2018,4,498
2019,4,44
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,0
2015,5,0
2016,5,0
2017,5,0
2018,5,0
2019,5,0
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,0
2015,6,0
2016,6,0
2017,6,0
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,60
2013,7,0
2014,7,10580
2015,7,0
2016,7,0
2017,7,0
2018,7,0
2019,7,
2020,7,
2008,8,0
2009,8,0
2010,8,0
2011,8,0
2012,8,0
2013,8,0
2014,8,0
2015,8,0
2016,8,0
2017,8,0
2018,8,0
2019,8,0
2020,8,0
2008,9,12571
2009,9,0
2010,9,0
2011,9,0
2012,9,8
2013,9,0
2014,9,5076
2015,9,0
2016,9,0
2017,9,0
2018,9,0
2019,9,0
2020,9,0
2008,10,0
2009,10,0
2010,10,0
2011,10,0
2012,10,0
2013,10,0
2014,10,0
2015,10,0
2016,10,0
2017,10,0
2018,10,0
2019,10,0
2020,10,0
2008,11,
2009,11,0
2010,11,153
2011,11,0
2012,11,0
2013,11,0
2014,11,0
2015,11,0
2016,11,0
2017,11,8867
2018,11,0
2019,11,0
2020,11,0
2008,12,
2009,12,8772
2010,12,0
2011,12,0
2012,12,0
2013,12,0
2014,12,0
2015,12,0
2016,12,0
2017,12,10489
2018,12,0
2019,12,0
2020,12,0
2008,13,4851
2009,13,0
2010,13,1817
2011,13,309
2012,13,344
2013,13,767
2014,13,2523
2015,13,227
2016,13,939
2017,13,1469
2018,13,355
2019,13,0
2020,13,0
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,0
2013,17,0
2014,17,0
2015,17,0
2016,17,0
2017,17,0
2018,17,0
2019,17,0
2020,17,0
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,822
2016,18,3797
2017,18,6310
2018,18,2787
2019,18,4989
2020,18,1900
2008,19,-4510
2009,19,0
2010,19,1700
2011,19,0
2012,19,0
2013,19,0
2014,19,0
2015,19,0
2016,19,0
2017,19,0
2018,19,0
2019,19,0
2020,19,0
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,44021
2016,20,0
2017,20,0
2018,20,170
2019,20,0
2020,20,2685
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,0
2013,21,0
2014,21,0
2015,21,67903
2016,21,0
2017,21,0
2018,21,0
2019,21,0
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,
2012,22,0
2013,22,0
2014,22,0
2015,22,19996
2016,22,418
2017,22,0
2018,22,0
2019,22,0
2020,22,0
2008,23,0
2009,23,0
2010,23,0
2011,23,0
2012,23,0
2013,23,0
2014,23,28074
2015,23,0
2016,23,0
2017,23,0
2018,23,78
2019,23,0
2020,23,0
2008,24,0
2009,24,
2010,24,0
2011,24,0
2012,24,0
2013,24,0
2014,24,0
2015,24,0
2016,24,0
2017,24,0
2018,24,0
2019,24,0
2020,24,0
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,0
2013,25,0
2014,25,6188
2015,25,7080
2016,25,507
2017,25,27711
2018,25,0
2019,25,
2020,25,
2008,26,0
2009,26,0
2010,26,0
2011,26,2601
2012,26,2034
2013,26,160
2014,26,210
2015,26,1073
2016,26,1950
2017,26,785
2018,26,56
2019,26,0
2020,26,224374
2008,27,
2009,27,
2010,27,0
2011,27,
2012,27,0
2013,27,0
2014,27,0
2015,27,0
2016,27,0
2017,27,0
2018,27,0
2019,27,0
2020,27,0
2008,28,0
2009,28,0
2010,28,0
2011,28,0
2012,28,0
2013,28,0
2014,28,0
2015,28,0
2016,28,0
2017,28,0
2018,28,0
2019,28,0
2020,28,0
2008,29,0
2009,29,0
2010,29,0
2011,29,0
2012,29,0
2013,29,0
2014,29,0
2015,29,0
2016,29,0
2017,29,0
2018,29,
2019,29,
2020,29,
2008,30,0
2009,30,386
2010,30,0
2011,30,44311
2012,30,0
2013,30,0
2014,30,47295
2015,30,0
2016,30,0
2017,30,0
2018,30,0
2019,30,0
2020,30,15084
2008,31,
2009,31,19
2010,31,1151
2011,31,0
2012,31,0
2013,31,0
2014,31,0
2015,31,1697
2016,31,725
2017,31,900
2018,31,1250
2019,31,1787
2020,31,
2008,32,0
2009,32,0
2010,32,0
2011,32,0
2012,32,0
2013,32,0
2014,32,0
2015,32,0
2016,32,0
2017,32,0
2018,32,0
2019,32,0
2020,32,0
2008,33,
2009,33,5465
2010,33,6695
2011,33,1245
2012,33,0
2013,33,0
2014,33,0
2015,33,0
2016,33,0
2017,33,0
2018,33,0
2019,33,
2020,33,
2008,34,0
2009,34,0
2010,34,0
2011,34,757
2012,34,0
2013,34,0
2014,34,487162
2015,34,0
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,0
2009,35,726
2010,35,0
2011,35,2287
2012,35,0
2013,35,0
2014,35,0
2015,35,0
2016,35,0
2017,35,0
2018,35,0
2019,35,0
2020,35,0
2008,36,0
2009,36,
2010,36,0
2011,36,0
2012,36,0
2013,36,0
2014,36,0
2015,36,0
2016,36,0
2017,36,0
2018,36,0
2019,36,0
2020,36,0
