Date,Id,ppe gross
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,6097
2009,2,
2010,2,
2011,2,64764
2012,2,114769
2013,2,124058
2014,2,161610
2015,2,
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,13364
2015,3,
2016,3,27864
2017,3,17502
2018,3,
2019,3,
2020,3,
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,314
2014,4,
2015,4,
2016,4,
2017,4,
2018,4,
2019,4,
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,49803
2015,5,43881
2016,5,46240
2017,5,33134
2018,5,32576
2019,5,32630
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,
2015,6,
2016,6,
2017,6,23
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,
2013,7,
2014,7,
2015,7,
2016,7,
2017,7,
2018,7,
2019,7,
2020,7,
2008,8,737369
2009,8,732633
2010,8,804177
2011,8,935666
2012,8,1061882
2013,8,1140275
2014,8,1254291
2015,8,1370777
2016,8,1602479
2017,8,1872948
2018,8,2090713
2019,8,2468757
2020,8,2512842
2008,9,1088118
2009,9,1097800
2010,9,1136606
2011,9,1175192
2012,9,1241887
2013,9,1245139
2014,9,1292327
2015,9,1334395
2016,9,1356804
2017,9,1351075
2018,9,1358913
2019,9,1418052
2020,9,1444976
2008,10,250354
2009,10,250415
2010,10,
2011,10,
2012,10,321015
2013,10,1145352
2014,10,1193604
2015,10,1232716
2016,10,1253298
2017,10,1246627
2018,10,1269516
2019,10,1312457
2020,10,1327947
2008,11,45729
2009,11,53287
2010,11,81683
2011,11,87245
2012,11,93167
2013,11,105921
2014,11,113274
2015,11,120206
2016,11,120682
2017,11,
2018,11,
2019,11,
2020,11,
2008,12,489525
2009,12,478506
2010,12,444891
2011,12,445329
2012,12,446395
2013,12,295016
2014,12,295428
2015,12,297395
2016,12,
2017,12,177187
2018,12,180149
2019,12,187745
2020,12,186623
2008,13,752190
2009,13,778725
2010,13,795613
2011,13,862738
2012,13,1470888
2013,13,256740
2014,13,878795
2015,13,1293767
2016,13,907418
2017,13,930887
2018,13,1146328
2019,13,1287763
2020,13,1274901
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,
2013,17,1912970
2014,17,2066541
2015,17,2212720
2016,17,2367435
2017,17,2518499
2018,17,2795049
2019,17,3187711
2020,17,3547970
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,
2016,18,
2017,18,
2018,18,
2019,18,
2020,18,
2008,19,392621
2009,19,544276
2010,19,610100
2011,19,619800
2012,19,738900
2013,19,757200
2014,19,846900
2015,19,867500
2016,19,957500
2017,19,788400
2018,19,840200
2019,19,1044100
2020,19,1053700
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,
2016,20,
2017,20,
2018,20,34028
2019,20,47062
2020,20,49297
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,422591
2013,21,419465
2014,21,438393
2015,21,452513
2016,21,528283
2017,21,525968
2018,21,542026
2019,21,616383
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,
2012,22,
2013,22,
2014,22,
2015,22,
2016,22,
2017,22,88552
2018,22,94249
2019,22,111369
2020,22,114025
2008,23,66784
2009,23,70731
2010,23,61021
2011,23,59927
2012,23,62970
2013,23,62199
2014,23,67461
2015,23,70676
2016,23,73164
2017,23,73820
2018,23,75123
2019,23,68825
2020,23,
2008,24,811935
2009,24,869446
2010,24,929087
2011,24,1000777
2012,24,1074137
2013,24,1155067
2014,24,1260202
2015,24,1192380
2016,24,1266135
2017,24,1349304
2018,24,1435521
2019,24,1581040
2020,24,1686366
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,
2013,25,
2014,25,
2015,25,
2016,25,
2017,25,
2018,25,
2019,25,
2020,25,
2008,26,412799
2009,26,510954
2010,26,504848
2011,26,414397
2012,26,454643
2013,26,446060
2014,26,478345
2015,26,493981
2016,26,488688
2017,26,441453
2018,26,409262
2019,26,325786
2020,26,255828
2008,27,
2009,27,95572
2010,27,90218
2011,27,92221
2012,27,91625
2013,27,90358
2014,27,89851
2015,27,
2016,27,
2017,27,
2018,27,
2019,27,
2020,27,
2008,28,1576507
2009,28,1653828
2010,28,1714029
2011,28,1681949
2012,28,1794301
2013,28,1702115
2014,28,1791980
2015,28,1789047
2016,28,3066971
2017,28,2434315
2018,28,2509634
2019,28,2627476
2020,28,
2008,29,84857
2009,29,75594
2010,29,69896
2011,29,71655
2012,29,71786
2013,29,73430
2014,29,76346
2015,29,76609
2016,29,73624
2017,29,71500
2018,29,
2019,29,
2020,29,
2008,30,453196
2009,30,517383
2010,30,559374
2011,30,609744
2012,30,643582
2013,30,704450
2014,30,767514
2015,30,804055
2016,30,802676
2017,30,829043
2018,30,828193
2019,30,577651
2020,30,483014
2008,31,
2009,31,454
2010,31,334
2011,31,274
2012,31,
2013,31,
2014,31,
2015,31,
2016,31,
2017,31,
2018,31,
2019,31,
2020,31,
2008,32,59241
2009,32,59444
2010,32,60869
2011,32,60377
2012,32,60722
2013,32,61417
2014,32,61451
2015,32,
2016,32,
2017,32,
2018,32,
2019,32,35535
2020,32,35786
2008,33,498992
2009,33,501643
2010,33,470901
2011,33,416295
2012,33,404764
2013,33,398978
2014,33,
2015,33,
2016,33,
2017,33,
2018,33,
2019,33,
2020,33,
2008,34,10120049
2009,34,10243836
2010,34,11325632
2011,34,11523702
2012,34,11297197
2013,34,11223408
2014,34,12030114
2015,34,12280732
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
