Date,Id,pretax income
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,-2131
2009,2,-1377
2010,2,850
2011,2,62
2012,2,1871
2013,2,3447
2014,2,-28691
2015,2,-32718
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,-1544
2015,3,-12042
2016,3,-33751
2017,3,2119
2018,3,18140
2019,3,5662
2020,3,1480
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,394
2014,4,-2311
2015,4,6276
2016,4,4457
2017,4,-1908
2018,4,-11152
2019,4,1175
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,-545
2015,5,288
2016,5,-678
2017,5,-3876
2018,5,972
2019,5,1118
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,1893
2015,6,2484
2016,6,-2234
2017,6,-9720
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,3340
2013,7,2553
2014,7,1873
2015,7,3638
2016,7,10005
2017,7,7712
2018,7,5735
2019,7,
2020,7,
2008,8,53619
2009,8,10677
2010,8,45433
2011,8,54696
2012,8,82755
2013,8,104385
2014,8,164916
2015,8,243499
2016,8,312208
2017,8,335537
2018,8,325357
2019,8,307691
2020,8,156044
2008,9,34023
2009,9,50865
2010,9,57783
2011,9,45354
2012,9,-18151
2013,9,-25990
2014,9,-68765
2015,9,-1809
2016,9,4496
2017,9,39016
2018,9,58558
2019,9,53446
2020,9,29404
2008,10,59633
2009,10,74093
2010,10,83824
2011,10,79328
2012,10,67861
2013,10,30266
2014,10,26514
2015,10,20103
2016,10,25503
2017,10,40055
2018,10,67850
2019,10,80684
2020,10,50166
2008,11,39669
2009,11,29233
2010,11,31074
2011,11,-8213
2012,11,5572
2013,11,-26809
2014,11,-108
2015,11,-32673
2016,11,-23126
2017,11,3474
2018,11,4185
2019,11,8514
2020,11,-11391
2008,12,-201511
2009,12,-30567
2010,12,-32217
2011,12,-10759
2012,12,32984
2013,12,-9114
2014,12,-794
2015,12,-17592
2016,12,20521
2017,12,2133
2018,12,1377
2019,12,-20840
2020,12,-23476
2008,13,48233
2009,13,-5633
2010,13,32419
2011,13,46833
2012,13,46301
2013,13,40476
2014,13,21453
2015,13,17964
2016,13,46632
2017,13,53684
2018,13,37980
2019,13,15873
2020,13,-15605
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,334599
2013,17,366400
2014,17,398233
2015,17,434169
2016,17,567353
2017,17,746156
2018,17,802944
2019,17,875364
2020,17,667035
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,-1467
2016,18,-4922
2017,18,-5832
2018,18,-7270
2019,18,-7705
2020,18,-6335
2008,19,172426
2009,19,198272
2010,19,232900
2011,19,250600
2012,19,236200
2013,19,230200
2014,19,194200
2015,19,249400
2016,19,236700
2017,19,326700
2018,19,350800
2019,19,354600
2020,19,209600
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,5370
2016,20,4421
2017,20,9231
2018,20,8741
2019,20,10499
2020,20,17032
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,20551
2013,21,16511
2014,21,27484
2015,21,18950
2016,21,27086
2017,21,22964
2018,21,28252
2019,21,24409
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,15083
2012,22,15811
2013,22,12501
2014,22,12346
2015,22,9561
2016,22,9294
2017,22,9500
2018,22,8655
2019,22,6418
2020,22,7
2008,23,1979
2009,23,2487
2010,23,6116
2011,23,-687
2012,23,2357
2013,23,309
2014,23,880
2015,23,7418
2016,23,6870
2017,23,2295
2018,23,3197
2019,23,-13482
2020,23,22216
2008,24,42738
2009,24,43102
2010,24,52499
2011,24,49771
2012,24,46510
2013,24,45112
2014,24,51428
2015,24,56057
2016,24,69799
2017,24,66862
2018,24,81169
2019,24,80201
2020,24,130177
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,155
2013,25,323
2014,25,831
2015,25,3478
2016,25,382
2017,25,6435
2018,25,9580
2019,25,
2020,25,
2008,26,71479
2009,26,84687
2010,26,100319
2011,26,125420
2012,26,129829
2013,26,138586
2014,26,130731
2015,26,112694
2016,26,129096
2017,26,-115835
2018,26,-1981659
2019,26,-36159
2020,26,2010863
2008,27,9589
2009,27,-4514
2010,27,4422
2011,27,2001
2012,27,-9244
2013,27,-10865
2014,27,-599
2015,27,9251
2016,27,16523
2017,27,15219
2018,27,-6283
2019,27,-9451
2020,27,-11665
2008,28,58977
2009,28,10678
2010,28,61142
2011,28,-44286
2012,28,-27223
2013,28,537
2014,28,79684
2015,28,111549
2016,28,186972
2017,28,129081
2018,28,170469
2019,28,108723
2020,28,106366
2008,29,9054
2009,29,7930
2010,29,2067
2011,29,-1046
2012,29,-4144
2013,29,2324
2014,29,1855
2015,29,1752
2016,29,1182
2017,29,-1437
2018,29,
2019,29,
2020,29,
2008,30,109175
2009,30,104631
2010,30,70183
2011,30,51290
2012,30,20982
2013,30,43786
2014,30,35251
2015,30,-131764
2016,30,-78286
2017,30,-387142
2018,30,-17578
2019,30,-60051
2020,30,262041
2008,31,1364
2009,31,532
2010,31,-1745
2011,31,-429
2012,31,-792
2013,31,-677
2014,31,-124
2015,31,-1380
2016,31,-812
2017,31,-381
2018,31,-458
2019,31,-1473
2020,31,
2008,32,-3197
2009,32,-1617
2010,32,1100
2011,32,875
2012,32,-4376
2013,32,-4083
2014,32,134
2015,32,1520
2016,32,13195
2017,32,168
2018,32,6730
2019,32,4129
2020,32,976
2008,33,-12834
2009,33,-3954
2010,33,-13369
2011,33,-14053
2012,33,-13784
2013,33,-21001
