Date,Id,retained earnings
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,-8521
2009,2,-10337
2010,2,-9796
2011,2,-12567
2012,2,-647
2013,2,-1571
2014,2,-31235
2015,2,-73199
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,-1461
2015,3,-13232
2016,3,-46358
2017,3,-19897
2018,3,3052
2019,3,7804
2020,3,6889
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,2066
2014,4,-738
2015,4,624
2016,4,3325
2017,4,5663
2018,4,-710
2019,4,-144
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,-2041
2015,5,-1792
2016,5,-3111
2017,5,-5531
2018,5,-5401
2019,5,-5221
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,5393
2015,6,7030
2016,6,4797
2017,6,-4778
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,15214
2013,7,14648
2014,7,15135
2015,7,18417
2016,7,21535
2017,7,29515
2018,7,29285
2019,7,
2020,7,
2008,8,147264
2009,8,142445
2010,8,162399
2011,8,187075
2012,8,244458
2013,8,389738
2014,8,496295
2015,8,647124
2016,8,836661
2017,8,1015560
2018,8,1177828
2019,8,1347240
2020,8,1440136
2008,9,14212
2009,9,51117
2010,9,48193
2011,9,42857
2012,9,182919
2013,9,159456
2014,9,89724
2015,9,87170
2016,9,54323
2017,9,43159
2018,9,56522
2019,9,61966
2020,9,50981
2008,10,197710
2009,10,219477
2010,10,219144
2011,10,234849
2012,10,236828
2013,10,183497
2014,10,199578
2015,10,190370
2016,10,185268
2017,10,170831
2018,10,177492
2019,10,171008
2020,10,159059
2008,11,26706
2009,11,22238
2010,11,19459
2011,11,-9138
2012,11,127185
2013,11,51558
2014,11,49637
2015,11,13542
2016,11,23603
2017,11,37107
2018,11,37639
2019,11,39016
2020,11,25306
2008,12,-211455
2009,12,-35358
2010,12,-38069
2011,12,-28249
2012,12,4613
2013,12,-889
2014,12,-2474
2015,12,-20612
2016,12,14
2017,12,2353
2018,12,5257
2019,12,-17542
2020,12,-22139
2008,13,87761
2009,13,80238
2010,13,81337
2011,13,84809
2012,13,134746
2013,13,107563
2014,13,99587
2015,13,109162
2016,13,161578
2017,13,191161
2018,13,219185
2019,13,221979
2020,13,190962
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,
2013,17,2242315
2014,17,2503614
2015,17,-12127
2016,17,302336
2017,17,746341
2018,17,1319478
2019,17,1452720
2020,17,1739380
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,3186
2016,18,-975
2017,18,-5377
2018,18,-2454
2019,18,-3060
2020,18,-4683
2008,19,953817
2009,19,1054304
2010,19,1151500
2011,19,1256900
2012,19,1376000
2013,19,1465400
2014,19,1544100
2015,19,1684500
2016,19,1788700
2017,19,2037200
2018,19,2239500
2019,19,2444100
2020,19,2299000
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,71260
2016,20,75487
2017,20,80939
2018,20,83431
2019,20,88389
2020,20,39744
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,199783
2013,21,195297
2014,21,168548
2015,21,257589
2016,21,199635
2017,21,212287
2018,21,223417
2019,21,231528
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,16273
2012,22,24808
2013,22,31890
2014,22,38233
2015,22,43061
2016,22,46355
2017,22,57069
2018,22,60013
2019,22,62435
2020,22,59317
2008,23,26583
2009,23,34268
2010,23,32044
2011,23,36965
2012,23,32920
2013,23,34359
2014,23,33395
2015,23,36449
2016,23,38036
2017,23,38223
2018,23,35232
2019,23,22475
2020,23,80951
2008,24,34801
2009,24,25086
2010,24,31880
2011,24,31146
2012,24,267835
2013,24,273001
2014,24,298055
2015,24,332479
2016,24,361546
2017,24,379814
2018,24,417443
2019,24,450064
2020,24,525174
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,214
2013,25,343
2014,25,692
2015,25,3669
2016,25,1826
2017,25,7075
2018,25,18007
2019,25,
2020,25,
2008,26,66641
2009,26,92444
2010,26,90637
2011,26,111688
2012,26,122808
2013,26,363012
2014,26,379001
2015,26,436155
2016,26,496849
2017,26,322970
2018,26,-1632832
2019,26,-1735652
2020,26,405603
2008,27,27373
2009,27,16661
2010,27,19583
2011,27,19690
2012,27,19730
2013,27,58958
2014,27,58234
2015,27,64327
2016,27,75020
2017,27,82635
2018,27,75121
2019,27,64067
2020,27,58312
2008,28,8233
2009,28,2496
2010,28,513
2011,28,-50031
2012,28,-14394
2013,28,797198
2014,28,848940
2015,28,1022908
2016,28,1036913
2017,28,1105691
2018,28,1148629
2019,28,1258029
2020,28,975997
2008,29,10533
2009,29,9945
2010,29,5970
2011,29,-4579
2012,29,42452
2013,29,43082
2014,29,43662
2015,29,43909
2016,29,43462
2017,29,41721
2018,29,
2019,29,
2020,29,
2008,30,159079
2009,30,231818
2010,30,265087
2011,30,281306
2012,30,278439
2013,30,370764
2014,30,327918
2015,30,201883
2016,30,116094
2017,30,-203167
2018,30,-358473
2019,30,-432971
2020,30,-202884
2008,31,2322
2009,31,2504
2010,31,636
2011,31,422
2012,31,-1199
2013,31,-1925
2014,31,-4022
2015,31,-1177
2016,31,-780
2017,31,-637
2018,31,-693
2019,31,-2074
2020,31,
2008,32,-6586
2009,32,14707
2010,32,14944
2011,32,19256
2012,32,69510
2013,32,68198
2014,32,69875
2015,32,78193
2016,32,70802
2017,32,71554
2018,32,71268
2019,32,79048
2020,32,79464
2008,33,75245
2009,33,69257
2010,33,52745
2011,33,47030
2012,33,32208
