Date,Id,salaries
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,1881
2009,2,2779
2010,2,5329
2011,2,5656
2012,2,4769
2013,2,5636
2014,2,8925
2015,2,15199
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,2364
2015,3,3741
2016,3,6499
2017,3,4629
2018,3,1311
2019,3,1310
2020,3,1538
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,461
2014,4,909
2015,4,1896
2016,4,2036
2017,4,10203
2018,4,10695
2019,4,8850
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,446
2015,5,397
2016,5,481
2017,5,693
2018,5,1071
2019,5,973
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,495
2015,6,720
2016,6,614
2017,6,618
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,1820
2013,7,2076
2014,7,2372
2015,7,3051
2016,7,3169
2017,7,3701
2018,7,3358
2019,7,
2020,7,
2008,8,210808
2009,8,185121
2010,8,213027
2011,8,254322
2012,8,277944
2013,8,302428
2014,8,319742
2015,8,345618
2016,8,375713
2017,8,424365
2018,8,452844
2019,8,451897
2020,8,412781
2008,9,296474
2009,9,280634
2010,9,279212
2011,9,286528
2012,9,262460
2013,9,245701
2014,9,246260
2015,9,250037
2016,9,253756
2017,9,254200
2018,9,256887
2019,9,269690
2020,9,241515
2008,10,240438
2009,10,259985
2010,10,260384
2011,10,266721
2012,10,243417
2013,10,211656
2014,10,211513
2015,10,231069
2016,10,230477
2017,10,231362
2018,10,234156
2019,10,245207
2020,10,220885
2008,11,20279
2009,11,27427
2010,11,36879
2011,11,39896
2012,11,41928
2013,11,42852
2014,11,42395
2015,11,40797
2016,11,36364
2017,11,38542
2018,11,27048
2019,11,26779
2020,11,21726
2008,12,114714
2009,12,61144
2010,12,49015
2011,12,42865
2012,12,45584
2013,12,50215
2014,12,51569
2015,12,49785
2016,12,43932
2017,12,46404
2018,12,52209
2019,12,57396
2020,12,50728
2008,13,225239
2009,13,195981
2010,13,210484
2011,13,242589
2012,13,280448
2013,13,281070
2014,13,279988
2015,13,314279
2016,13,317000
2017,13,323250
2018,13,318250
2019,13,307418
2020,13,237229
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,
2013,17,
2014,17,
2015,17,
2016,17,
2017,17,
2018,17,
2019,17,
2020,17,
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,601
2016,18,1339
2017,18,1492
2018,18,2030
2019,18,2519
2020,18,2727
2008,19,97361
2009,19,111534
2010,19,132800
2011,19,149400
2012,19,159700
2013,19,200200
2014,19,214500
2015,19,239300
2016,19,261400
2017,19,286100
2018,19,283100
2019,19,306100
2020,19,312100
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,16916
2016,20,12010
2017,20,9810
2018,20,9164
2019,20,9485
2020,20,10631
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,105491
2013,21,106967
2014,21,105871
2015,21,127777
2016,21,138749
2017,21,145640
2018,21,142316
2019,21,152039
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,5385
2012,22,5634
2013,22,6176
2014,22,6446
2015,22,6863
2016,22,7787
2017,22,8921
2018,22,10986
2019,22,11140
2020,22,10187
2008,23,31087
2009,23,30798
2010,23,24732
2011,23,24905
2012,23,26039
2013,23,26754
2014,23,27397
2015,23,28832
2016,23,29308
2017,23,31257
2018,23,29913
2019,23,25735
2020,23,22597
2008,24,80156
2009,24,84786
2010,24,92948
2011,24,102625
2012,24,115013
2013,24,124232
2014,24,132196
2015,24,142130
2016,24,149354
2017,24,166230
2018,24,182870
2019,24,205115
2020,24,213009
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,356
2013,25,343
2014,25,628
2015,25,1064
2016,25,1400
2017,25,1532
2018,25,2560
2019,25,
2020,25,
2008,26,213364
2009,26,240458
2010,26,236574
2011,26,262492
2012,26,305439
2013,26,320715
2014,26,420006
2015,26,548249
2016,26,620173
2017,26,637800
2018,26,520876
2019,26,303887
2020,26,250850
2008,27,71961
2009,27,68036
2010,27,69863
2011,27,70701
2012,27,71647
2013,27,70832
2014,27,75636
2015,27,84689
2016,27,92982
2017,27,95285
2018,27,94511
2019,27,97042
2020,27,84753
2008,28,291290
2009,28,268626
2010,28,249996
2011,28,257380
2012,28,263879
2013,28,247287
2014,28,233276
2015,28,230232
2016,28,244689
2017,28,248958
2018,28,247749
2019,28,248151
2020,28,246820
2008,29,21135
2009,29,22214
2010,29,21017
2011,29,20564
2012,29,19059
2013,29,18638
2014,29,19518
2015,29,19548
2016,29,19705
2017,29,20389
2018,29,
2019,29,
2020,29,
2008,30,146904
2009,30,165331
2010,30,172598
2011,30,193470
2012,30,223038
2013,30,231212
2014,30,236250
2015,30,263844
2016,30,243555
2017,30,251224
2018,30,164846
2019,30,166333
2020,30,138575
2008,31,1709
2009,31,2079
2010,31,1983
2011,31,1874
2012,31,1943
2013,31,1561
2014,31,474
2015,31,1326
2016,31,978
2017,31,661
2018,31,487
2019,31,1470
2020,31,
2008,32,1585
2009,32,1848
2010,32,1737
2011,32,1788
2012,32,1721
2013,32,1417
2014,32,1635
2015,32,1525
2016,32,1565
2017,32,516
2018,32,452
2019,32,575
2020,32,544
2008,33,76753
2009,33,62057
2010,33,56553
2011,33,58669
2012,33,56349
2013,33,52602
2014,33,53525
2015,33,50957
2016,33,46082
2017,33,46464
2018,33,46395
2019,33,
2020,33,
2008,34,938884
2009,34,914589
2010,34,916261
2011,34,947037
2012,34,921905
2013,34,862413
