Date,Id,sales
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,11300
2009,2,15848
2010,2,34947
2011,2,90872
2012,2,90427
2013,2,63427
2014,2,62698
2015,2,115140
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,8837
2015,3,22973
2016,3,39065
2017,3,40951
2018,3,29793
2019,3,43066
2020,3,23799
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,4840
2014,4,10102
2015,4,108124
2016,4,89890
2017,4,90010
2018,4,35808
2019,4,58542
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,3993
2015,5,3475
2016,5,11828
2017,5,28956
2018,5,67077
2019,5,81865
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,15542
2015,6,26876
2016,6,2932
2017,6,5225
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,9060
2013,7,9284
2014,7,9610
2015,7,11946
2016,7,8851
2017,7,27641
2018,7,41901
2019,7,
2020,7,
2008,8,1060771
2009,8,825897
2010,8,1075252
2011,8,1254513
2012,8,1388637
2013,8,1566143
2014,8,1803335
2015,8,2073246
2016,8,2279096
2017,8,2463620
2018,8,2640011
2019,8,2591670
2020,8,2208639
2008,9,1736668
2009,9,1614235
2010,9,1604318
2011,9,1616477
2012,9,1468287
2013,9,1257744
2014,9,1274577
2015,9,1362012
2016,9,1383848
2017,9,1454939
2018,9,1464533
2019,9,1590735
2020,9,1376767
2008,10,1570060
2009,10,1486882
2010,10,1485351
2011,10,1516463
2012,10,1406152
2013,10,1212535
2014,10,1213272
2015,10,1295286
2016,10,1313109
2017,10,1342450
2018,10,1389546
2019,10,1521325
2020,10,1313690
2008,11,216198
2009,11,270775
2010,11,302376
2011,11,255175
2012,11,276727
2013,11,224919
2014,11,234755
2015,11,207405
2016,11,185459
2017,11,207563
2018,11,189561
2019,11,192453
2020,11,142768
2008,12,527304
2009,12,186176
2010,12,204407
2011,12,53895
2012,12,63779
2013,12,69064
2014,12,84179
2015,12,75126
2016,12,62660
2017,12,79642
2018,12,97528
2019,12,85301
2020,12,65486
2008,13,1017458
2009,13,780987
2010,13,924713
2011,13,1158385
2012,13,1319233
2013,13,1334987
2014,13,1349391
2015,13,1499050
2016,13,1574091
2017,13,1672396
2018,13,1623771
2019,13,1519246
2020,13,1203201
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,2268391
2013,17,2327634
2014,17,2742249
2015,17,2854369
2016,17,3105084
2017,17,3416890
2018,17,3420321
2019,17,3766615
2020,17,3459790
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,240
2016,18,800
2017,18,507
2018,18,2154
2019,18,3161
2020,18,6043
2008,19,942329
2009,19,1008425
2010,19,1163000
2011,19,1274200
2012,19,1340800
2013,19,1524100
2014,19,1560000
2015,19,1656800
2016,19,1726500
2017,19,1816000
2018,19,1711700
2019,19,1842500
2020,19,1772000
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,144817
2016,20,145937
2017,20,149736
2018,20,149863
2019,20,157494
2020,20,204311
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,934835
2013,21,808079
2014,21,781455
2015,21,941680
2016,21,917475
2017,21,956065
2018,21,891203
2019,21,914465
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,61755
2012,22,65667
2013,22,64554
2014,22,59721
2015,22,60873
2016,22,63870
2017,22,64374
2018,22,65313
2019,22,64898
2020,22,51682
2008,23,213225
2009,23,193321
2010,23,133800
2011,23,144318
2012,23,148324
2013,23,142646
2014,23,149031
2015,23,158943
2016,23,153064
2017,23,152779
2018,23,156361
2019,23,107095
2020,23,111953
2008,24,460043
2009,24,462621
2010,24,518893
2011,24,555711
2012,24,582968
2013,24,596322
2014,24,636359
2015,24,674216
2016,24,703369
2017,24,756807
2018,24,833513
2019,24,904313
2020,24,973833
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,1337
2013,25,1298
2014,25,2485
2015,25,8011
2016,25,4445
2017,25,10081
2018,25,50347
2019,25,
2020,25,
2008,26,1466848
2009,26,1797875
2010,26,1918969
2011,26,2265284
2012,26,2325299
2013,26,2392871
2014,26,2540388
2015,26,2730024
2016,26,2851826
2017,26,2888319
2018,26,1028289
2019,26,1368827
2020,26,1380830
2008,27,328346
2009,27,284490
2010,27,285179
2011,27,291397
2012,27,280778
2013,27,272971
2014,27,290679
2015,27,342910
2016,27,377045
2017,27,384580
2018,27,370995
2019,27,382019
2020,27,357269
2008,28,1604391
2009,28,1299100
2010,28,1326843
2011,28,1425981
2012,28,1355695
2013,28,1392754
2014,28,1287964
2015,28,1314482
2016,28,1326722
2017,28,1402862
2018,28,1470834
2019,28,1434995
2020,28,1415201
2008,29,126977
2009,29,119226
2010,29,119946
2011,29,114018
2012,29,85756
2013,29,91724
2014,29,94841
2015,29,90321
2016,29,85448
2017,29,83689
2018,29,
2019,29,
2020,29,
2008,30,1049501
2009,30,1005866
2010,30,912303
2011,30,1030086
2012,30,1084600
2013,30,1243955
2014,30,1210996
2015,30,1295960
2016,30,1033436
2017,30,906077
2018,30,590207
2019,30,593970
2020,30,456662
2008,31,8380
2009,31,7459
2010,31,6142
2011,31,6770
2012,31,5383
2013,31,4288
2014,31,2581
2015,31,4438
2016,31,3833
2017,31,3563
2018,31,3744
2019,31,4589
2020,31,
2008,32,14099
2009,32,17859
2010,32,9399
2011,32,10379
2012,32,12218
2013,32,6637
2014,32,11455
2015,32,11214
2016,32,16673
2017,32,22060
2018,32,28977
2019,32,13320
2020,32,7984
2008,33,240554
