Date,Id,se
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,7213
2009,2,37458
2010,2,48156
2011,2,51281
2012,2,49764
2013,2,58731
2014,2,62666
2015,2,18561
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,13087
2015,3,11316
2016,3,-18961
2017,3,-15723
2018,3,8864
2019,3,13949
2020,3,17185
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,2411
2014,4,821
2015,4,1055
2016,4,3766
2017,4,6273
2018,4,-159
2019,4,257
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,5323
2015,5,5801
2016,5,4487
2017,5,3719
2018,5,3849
2019,5,4029
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,6601
2015,6,8238
2016,6,6005
2017,6,-3571
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,15274
2013,7,16648
2014,7,27715
2015,7,30997
2016,7,34115
2017,7,42095
2018,7,41865
2019,7,
2020,7,
2008,8,278935
2009,8,284007
2010,8,318019
2011,8,323594
2012,8,388623
2013,8,424350
2014,8,530973
2015,8,681852
2016,8,857900
2017,8,1036800
2018,8,1199100
2019,8,1357163
2020,8,1450000
2008,9,394679
2009,9,417597
2010,9,422793
2011,9,403746
2012,9,359995
2013,9,337920
2014,9,268188
2015,9,265634
2016,9,232787
2017,9,221623
2018,9,234986
2019,9,240430
2020,9,229445
2008,10,396767
2009,10,421661
2010,10,441277
2011,10,445036
2012,10,438628
2013,10,391183
2014,10,412147
2015,10,404535
2016,10,394019
2017,10,385296
2018,10,392163
2019,10,384015
2020,10,372159
2008,11,125110
2009,11,139637
2010,11,152516
2011,11,136266
2012,11,138435
2013,11,109406
2014,11,107485
2015,11,71390
2016,11,45405
2017,11,57372
2018,11,59852
2019,11,66665
2020,11,56787
2008,12,10006
2009,12,48740
2010,12,21004
2011,12,9556
2012,12,39814
2013,12,29419
2014,12,27888
2015,12,9830
2016,12,30464
2017,12,58803
2018,12,61749
2019,12,39001
2020,12,34236
2008,13,160900
2009,13,166811
2010,13,197241
2011,13,195916
2012,13,195458
2013,13,168487
2014,13,161218
2015,13,170843
2016,13,172938
2017,13,189028
2018,13,192856
2019,13,188733
2020,13,132961
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,
2013,17,2289506
2014,17,2469618
2015,17,-25123
2016,17,324995
2017,17,778678
2018,17,1348722
2019,17,1481290
2020,17,1785186
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,3286
2016,18,4414
2017,18,5209
2018,18,4769
2019,18,2062
2020,18,-476
2008,19,952900
2009,19,1043470
2010,19,1249900
2011,19,1363800
2012,19,1428900
2013,19,1391600
2014,19,1574800
2015,19,1745500
2016,19,1900000
2017,19,1942600
2018,19,2162800
2019,19,2389700
2020,19,1996600
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,71973
2016,20,76162
2017,20,81625
2018,20,84282
2019,20,89208
2020,20,104521
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,232056
2013,21,215747
2014,21,204816
2015,21,291889
2016,21,308095
2017,21,298905
2018,21,316765
2019,21,335522
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,60784
2012,22,69130
2013,22,74799
2014,22,80917
2015,22,105108
2016,22,108070
2017,22,118048
2018,22,122983
2019,22,124003
2020,22,124206
2008,23,72247
2009,23,78014
2010,23,78619
2011,23,76626
2012,23,73951
2013,23,65222
2014,23,95286
2015,23,99858
2016,23,102085
2017,23,99306
2018,23,94830
2019,23,91020
2020,23,105912
2008,24,302864
2009,24,319493
2010,24,342712
2011,24,364321
2012,24,378333
2013,24,383500
2014,24,408554
2015,24,442978
2016,24,472045
2017,24,490314
2018,24,527943
2019,24,560563
2020,24,635674
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,224
2013,25,353
2014,25,5741
2015,25,15799
2016,25,14463
2017,25,47423
2018,25,59263
2019,25,
2020,25,
2008,26,325327
2009,26,360282
2010,26,424988
2011,26,465222
2012,26,507625
2013,26,558822
2014,26,574058
2015,26,631405
2016,26,692384
2017,26,518740
2018,26,-1439005
2019,26,-1541825
2020,26,973628
2008,27,153485
2009,27,146514
2010,27,150173
2011,27,153253
2012,27,153695
2013,27,143160
2014,27,147119
2015,27,159256
2016,27,172218
2017,27,171309
2018,27,167062
2019,27,157324
2020,27,146396
2008,28,1005039
2009,28,999547
2010,28,1013617
2011,28,901281
2012,28,902766
2013,28,917318
2014,28,969060
2015,28,1025421
2016,28,992957
2017,28,1018528
2018,28,1029336
2019,28,1133811
2020,28,1096117
2008,29,53140
2009,29,57783
2010,29,56509
2011,29,54781
2012,29,52944
2013,29,53574
2014,29,54154
2015,29,54401
2016,29,53954
2017,29,52213
2018,29,
2019,29,
2020,29,
2008,30,226436
2009,30,302225
2010,30,354157
2011,30,425811
2012,30,419339
2013,30,405797
2014,30,648802
2015,30,564914
2016,30,472369
2017,30,-1465
2018,30,-148075
2019,30,-219091
2020,30,123359
2008,31,2038
2009,31,1929
2010,31,1166
2011,31,776
2012,31,9
2013,31,-718
2014,31,-735
2015,31,348
2016,31,293
2017,31,738
2018,31,1476
2019,31,1744
2020,31,
2008,32,106801
2009,32,111598
2010,32,103262
2011,32,97413
2012,32,96494
2013,32,104570
2014,32,106247
2015,32,108300
2016,32,100907
2017,32,101659
2018,32,101373
2019,32,109153
2020,32,109569
2008,33,188448
2009,33,187340
2010,33,173283
2011,33,168840
2012,33,153857
2013,33,132524
2014,33,115856
2015,33,97158
2016,33,86033
2017,33,75209
