Date,Id,sg&a
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,6916
2009,2,9372
2010,2,28758
2011,2,31975
2012,2,33136
2013,2,32819
2014,2,53578
2015,2,82240
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,2949
2015,3,4909
2016,3,10401
2017,3,8846
2018,3,3310
2019,3,1452
2020,3,2329
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,656
2014,4,1000
2015,4,2258
2016,4,2632
2017,4,11087
2018,4,12348
2019,4,9373
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,874
2015,5,569
2016,5,621
2017,5,902
2018,5,1483
2019,5,1313
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,495
2015,6,720
2016,6,614
2017,6,618
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,9879
2013,7,7601
2014,7,8122
2015,7,14070
2016,7,26786
2017,7,39464
2018,7,22720
2019,7,
2020,7,
2008,8,136675
2009,8,131783
2010,8,154929
2011,8,176715
2012,8,186713
2013,8,328783
2014,8,344988
2015,8,370864
2016,8,411341
2017,8,464592
2018,8,498140
2019,8,475906
2020,8,433221
2008,9,348294
2009,9,318365
2010,9,291669
2011,9,290296
2012,9,528184
2013,9,464870
2014,9,472937
2015,9,503722
2016,9,506848
2017,9,503032
2018,9,496913
2019,9,524068
2020,9,459975
2008,10,296926
2009,10,259879
2010,10,241389
2011,10,248459
2012,10,231429
2013,10,421348
2014,10,426506
2015,10,450599
2016,10,448300
2017,10,445759
2018,10,443410
2019,10,470038
2020,10,414819
2008,11,52723
2009,11,81097
2010,11,82294
2011,11,68737
2012,11,118587
2013,11,108328
2014,11,108141
2015,11,101197
2016,11,89480
2017,11,93943
2018,11,71012
2019,11,65442
2020,11,50111
2008,12,82745
2009,12,33705
2010,12,39028
2011,12,16865
2012,12,21465
2013,12,56190
2014,12,59923
2015,12,60247
2016,12,43932
2017,12,54110
2018,12,55362
2019,12,64927
2020,12,56611
2008,13,118900
2009,13,103410
2010,13,110937
2011,13,125718
2012,13,240836
2013,13,237430
2014,13,239800
2015,13,263527
2016,13,266646
2017,13,277773
2018,13,275888
2019,13,255396
2020,13,193558
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,576326
2013,17,618730
2014,17,715426
2015,17,785352
2016,17,804822
2017,17,885682
2018,17,855188
2019,17,902761
2020,17,862957
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,601
2016,18,1527
2017,18,1744
2018,18,2981
2019,18,3886
2020,18,3886
2008,19,310445
2009,19,327008
2010,19,386500
2011,19,427900
2012,19,455900
2013,19,500600
2014,19,521700
2015,19,570500
2016,19,616600
2017,19,675400
2018,19,630800
2019,19,681700
2020,19,669800
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,59114
2016,20,60866
2017,20,57190
2018,20,52063
2019,20,51395
2020,20,63295
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,153801
2013,21,154008
2014,21,150394
2015,21,188290
2016,21,204153
2017,21,211951
2018,21,203441
2019,21,206928
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,19917
2012,22,21718
2013,22,22413
2014,22,23275
2015,22,25154
2016,22,27504
2017,22,30114
2018,22,32646
2019,22,32303
2020,22,28617
2008,23,37241
2009,23,38598
2010,23,26301
2011,23,27758
2012,23,27367
2013,23,51155
2014,23,53139
2015,23,59215
2016,23,57897
2017,23,59728
2018,23,59890
2019,23,49144
2020,23,45861
2008,24,145265
2009,24,143669
2010,24,157591
2011,24,171591
2012,24,292110
2013,24,302065
2014,24,325143
2015,24,354565
2016,24,368651
2017,24,401801
2018,24,436233
2019,24,483990
2020,24,494336
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,1085
2013,25,932
2014,25,1587
2015,25,3407
2016,25,3773
2017,25,3609
2018,25,7630
2019,25,
2020,25,
2008,26,821219
2009,26,1085327
2010,26,1236381
2011,26,1367999
2012,26,1387688
2013,26,1736346
2014,26,1909786
2015,26,2080581
2016,26,2249494
2017,26,2600472
2018,26,2152137
2019,26,1252254
2020,26,1245475
2008,27,136117
2009,27,108718
2010,27,115761
2011,27,124899
2012,27,121902
2013,27,181310
2014,27,193874
2015,27,221237
2016,27,237858
2017,27,253474
2018,27,252020
2019,27,239955
2020,27,202739
2008,28,558290
2009,28,524184
2010,28,569708
2011,28,559305
2012,28,790209
2013,28,721192
2014,28,716016
2015,28,715656
2016,28,706342
2017,28,734773
2018,28,756194
2019,28,694188
2020,28,246820
2008,29,36183
2009,29,34077
2010,29,37174
2011,29,35277
2012,29,46235
2013,29,46802
2014,29,47162
2015,29,45615
2016,29,45088
2017,29,45105
2018,29,
2019,29,
2020,29,
2008,30,389894
2009,30,459435
2010,30,426995
2011,30,256138
2012,30,281763
2013,30,555921
2014,30,581310
2015,30,679802
2016,30,634872
2017,30,601561
2018,30,367186
2019,30,362994
2020,30,293966
2008,31,4707
2009,31,3993
2010,31,4476
2011,31,4620
2012,31,2529
2013,31,2077
2014,31,640
2015,31,1356
2016,31,1020
2017,31,696
2018,31,517
2019,31,1487
2020,31,
2008,32,6721
2009,32,7296
2010,32,3189
2011,32,3182
2012,32,1804
2013,32,1492
2014,32,1708
2015,32,1525
2016,32,1565
2017,32,516
2018,32,822
2019,32,1506
2020,32,842
2008,33,88770
2009,33,60899
2010,33,62170
2011,33,70006
2012,33,69217
2013,33,117697
2014,33,119965
2015,33,113550
2016,33,103640
2017,33,102988
2018,33,99599
2019,33,
2020,33,
2008,34,1346547
