Date,Id,short term debt
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,8684
2009,2,13984
2010,2,28287
2011,2,28818
2012,2,28119
2013,2,27721
2014,2,48515
2015,2,69455
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,5129
2015,3,7716
2016,3,5206
2017,3,3528
2018,3,4503
2019,3,2698
2020,3,1516
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,2547
2014,4,2651
2015,4,1829
2016,4,14441
2017,4,4482
2018,4,497
2019,4,1479
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,4725
2015,5,3709
2016,5,3160
2017,5,3249
2018,5,5284
2019,5,4698
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,4878
2015,6,3687
2016,6,3668
2017,6,2186
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,9358
2013,7,14216
2014,7,19880
2015,7,28082
2016,7,29264
2017,7,57344
2018,7,44170
2019,7,
2020,7,
2008,8,189153
2009,8,197050
2010,8,97597
2011,8,165891
2012,8,175375
2013,8,177159
2014,8,209010
2015,8,148457
2016,8,226348
2017,8,198065
2018,8,274077
2019,8,276817
2020,8,197745
2008,9,332752
2009,9,364719
2010,9,399357
2011,9,445115
2012,9,459877
2013,9,359691
2014,9,440483
2015,9,429104
2016,9,575022
2017,9,429652
2018,9,532096
2019,9,461981
2020,9,481274
2008,10,140691
2009,10,113178
2010,10,156800
2011,10,170261
2012,10,115042
2013,10,116872
2014,10,102474
2015,10,105895
2016,10,173445
2017,10,135400
2018,10,110939
2019,10,140176
2020,10,169940
2008,11,8632
2009,11,20838
2010,11,28967
2011,11,70003
2012,11,62041
2013,11,74124
2014,11,51717
2015,11,84320
2016,11,50701
2017,11,10533
2018,11,20465
2019,11,31662
2020,11,25714
2008,12,168774
2009,12,139858
2010,12,49037
2011,12,217545
2012,12,32594
2013,12,89310
2014,12,16467
2015,12,18889
2016,12,19452
2017,12,3554
2018,12,4363
2019,12,7304
2020,12,5193
2008,13,55483
2009,13,71705
2010,13,78731
2011,13,56789
2012,13,97973
2013,13,83635
2014,13,77934
2015,13,92288
2016,13,148208
2017,13,80754
2018,13,61531
2019,13,95746
2020,13,170005
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,
2013,17,296785
2014,17,491320
2015,17,919409
2016,17,399876
2017,17,306031
2018,17,352409
2019,17,421323
2020,17,889228
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,164
2016,18,792
2017,18,610
2018,18,617
2019,18,420
2020,18,978
2008,19,123943
2009,19,26677
2010,19,49772
2011,19,236200
2012,19,121100
2013,19,122400
2014,19,49800
2015,19,29400
2016,19,107000
2017,19,13900
2018,19,223600
2019,19,626400
2020,19,258200
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,8239
2016,20,5968
2017,20,8292
2018,20,18146
2019,20,8522
2020,20,11099
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,172837
2013,21,153882
2014,21,116504
2015,21,100755
2016,21,68124
2017,21,71024
2018,21,90633
2019,21,140871
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,4531
2012,22,4785
2013,22,5455
2014,22,5393
2015,22,5505
2016,22,4789
2017,22,1833
2018,22,2155
2019,22,2768
2020,22,5129
2008,23,139360
2009,23,129803
2010,23,86668
2011,23,65663
2012,23,67554
2013,23,70942
2014,23,29183
2015,23,38342
2016,23,29246
2017,23,32889
2018,23,40249
2019,23,49934
2020,23,6374
2008,24,32852
2009,24,35492
2010,24,43978
2011,24,37959
2012,24,36553
2013,24,40771
2014,24,39546
2015,24,51548
2016,24,39585
2017,24,45682
2018,24,54501
2019,24,69853
2020,24,80584
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,0
2013,25,0
2014,25,219
2015,25,339
2016,25,325
2017,25,1797
2018,25,17301
2019,25,
2020,25,
2008,26,292481
2009,26,387359
2010,26,343275
2011,26,469723
2012,26,537661
2013,26,388349
2014,26,387587
2015,26,647384
2016,26,506651
2017,26,835397
2018,26,2599467
2019,26,2830762
2020,26,164550
2008,27,78896
2009,27,38766
2010,27,37823
2011,27,49969
2012,27,37757
2013,27,45544
2014,27,40724
2015,27,37150
2016,27,37790
2017,27,25791
2018,27,35461
2019,27,65326
2020,27,34375
2008,28,275671
2009,28,200937
2010,28,237630
2011,28,327095
2012,28,242796
2013,28,173004
2014,28,131206
2015,28,154424
2016,28,116851
2017,28,99333
2018,28,139537
2019,28,94966
2020,28,419582
2008,29,15456
2009,29,18133
2010,29,23113
2011,29,33507
2012,29,29274
2013,29,27765
2014,29,29957
2015,29,28325
2016,29,19833
2017,29,19638
2018,29,
2019,29,
2020,29,
2008,30,192174
2009,30,215982
2010,30,249870
2011,30,276419
2012,30,361331
2013,30,410637
2014,30,357076
2015,30,234163
2016,30,563394
2017,30,624170
2018,30,683625
2019,30,746293
2020,30,235132
2008,31,339
2009,31,1050
2010,31,1221
2011,31,1463
2012,31,1035
2013,31,762
2014,31,1136
2015,31,287
2016,31,326
2017,31,288
2018,31,318
2019,31,354
2020,31,
2008,32,192
2009,32,40
2010,32,0
2011,32,1077
2012,32,4141
2013,32,126
2014,32,882
2015,32,475
2016,32,37153
2017,32,10601
2018,32,39905
2019,32,15233
2020,32,4808
2008,33,94936
2009,33,90310
2010,33,60330
2011,33,79508
2012,33,80720
2013,33,71962
2014,33,76111
2015,33,78844
2016,33,37995
2017,33,41733
2018,33,78539
2019,33,
2020,33,
2008,34,601481
2009,34,532489
2010,34,516478
2011,34,733230
