Date,Id,total assets
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,26369
2009,2,74531
2010,2,224634
2011,2,212831
2012,2,223728
2013,2,265731
2014,2,614438
2015,2,498694
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,50897
2015,3,98849
2016,3,70172
2017,3,46735
2018,3,37686
2019,3,44348
2020,3,111513
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,8304
2014,4,16460
2015,4,63519
2016,4,70268
2017,4,66308
2018,4,50841
2019,4,84428
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,63155
2015,5,52898
2016,5,51841
2017,5,45450
2018,5,57351
2019,5,57340
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,27253
2015,6,45440
2016,6,44023
2017,6,17773
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,120291
2013,7,130559
2014,7,149461
2015,7,187041
2016,7,257172
2017,7,377486
2018,7,345852
2019,7,
2020,7,
2008,8,940749
2009,8,836709
2010,8,946558
2011,8,1109247
2012,8,1182571
2013,8,1252121
2014,8,1446891
2015,8,1528996
2016,8,1906833
2017,8,2241676
2018,8,2468323
2019,8,2687874
2020,8,3096015
2008,9,2055866
2009,9,2180402
2010,9,2234900
2011,9,2203421
2012,9,2100145
2013,9,2047139
2014,9,2060674
2015,9,2033205
2016,9,2038847
2017,9,1918595
2018,9,1984305
2019,9,1974597
2020,9,1989417
2008,10,1363102
2009,10,1518358
2010,10,1499428
2011,10,1464458
2012,10,1443511
2013,10,1400604
2014,10,1510174
2015,10,1495116
2016,10,1570343
2017,10,1451527
2018,10,1526427
2019,10,1563198
2020,10,1594291
2008,11,254443
2009,11,321134
2010,11,335550
2011,11,323585
2012,11,312416
2013,11,263685
2014,11,256177
2015,11,246048
2016,11,205350
2017,11,186124
2018,11,187562
2019,11,209229
2020,11,207716
2008,12,585664
2009,12,453354
2010,12,320465
2011,12,281710
2012,12,196592
2013,12,156270
2014,12,141318
2015,12,119698
2016,12,100299
2017,12,125030
2018,12,128361
2019,12,120676
2020,12,103177
2008,13,746342
2009,13,715875
2010,13,701069
2011,13,958054
2012,13,964765
2013,13,985004
2014,13,1021078
2015,13,1054619
2016,13,1050874
2017,13,1061439
2018,13,1106389
2019,13,1228848
2020,13,1223745
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,
2013,17,3853932
2014,17,4529711
2015,17,3752777
2016,17,3730247
2017,17,4047013
2018,17,4790989
2019,17,5372689
2020,17,6109826
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,5836
2016,18,9947
2017,18,12061
2018,18,9933
2019,18,11558
2020,18,10412
2008,19,1788745
2009,19,2350307
2010,19,2642700
2011,19,2894500
2012,19,3398000
2013,19,3290100
2014,19,3498600
2015,19,4211400
2016,19,4497100
2017,19,4376000
2018,19,4544100
2019,19,4803200
2020,19,4511000
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,169474
2016,20,174566
2017,20,177638
2018,20,186413
2019,20,193178
2020,20,220294
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,620496
2013,21,582816
2014,21,633973
2015,21,642950
2016,21,768747
2017,21,788475
2018,21,797572
2019,21,924122
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,106737
2012,22,110743
2013,22,115801
2014,22,116162
2015,22,136436
2016,22,137519
2017,22,153478
2018,22,156408
2019,22,168559
2020,22,179906
2008,23,310373
2009,23,307147
2010,23,337726
2011,23,190119
2012,23,193757
2013,23,173964
2014,23,195213
2015,23,207599
2016,23,208287
2017,23,211568
2018,23,208849
2019,23,203778
2020,23,151276
2008,24,590095
2009,24,621078
2010,24,655419
2011,24,727114
2012,24,763237
2013,24,794144
2014,24,874172
2015,24,954381
2016,24,1008016
2017,24,1051652
2018,24,1105067
2019,24,1247510
2020,24,1392582
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,1571
2013,25,1718
2014,25,7347
2015,25,19070
2016,25,17054
2017,25,68421
2018,25,139316
2019,25,
2020,25,
2008,26,2309794
2009,26,2738985
2010,26,2861481
2011,26,3434208
2012,26,3739902
2013,26,4068846
2014,26,4068001
2015,26,4299245
2016,26,4638179
2017,26,4847353
2018,26,3341347
2019,26,3571704
2020,26,3147980
2008,27,386058
2009,27,352191
2010,27,346891
2011,27,353762
2012,27,350490
2013,27,325947
2014,27,323097
2015,27,368760
2016,27,417358
2017,27,419069
2018,27,425124
2019,27,505539
2020,27,494989
2008,28,3428304
2009,28,3390696
2010,28,3481658
2011,28,3279211
2012,28,3299129
2013,28,3141342
2014,28,3114903
2015,28,3176928
2016,28,3998687
2017,28,3810796
2018,28,3497869
2019,28,3499685
2020,28,3353387
2008,29,132038
2009,29,139872
2010,29,144068
2011,29,130621
2012,29,114686
2013,29,121175
2014,29,119000
2015,29,110347
2016,29,98596
2017,29,96985
2018,29,
2019,29,
2020,29,
2008,30,1142927
2009,30,1216462
2010,30,1225217
2011,30,1532457
2012,30,1439625
2013,30,1555932
2014,30,1814616
2015,30,1842159
2016,30,1629110
2017,30,1155660
2018,30,1070421
2019,30,1008134
2020,30,661208
2008,31,7894
2009,31,8371
2010,31,7382
2011,31,6791
2012,31,4384
2013,31,4061
2014,31,10119
2015,31,7927
2016,31,7141
2017,31,7987
2018,31,7940
2019,31,9502
2020,31,
2008,32,118429
2009,32,123668
2010,32,111758
2011,32,105144
2012,32,109576
2013,32,112810
2014,32,115617
2015,32,118102
2016,32,468227
2017,32,429255
2018,32,418464
2019,32,299956
2020,32,288691
