Date,Id,total debt
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,9667
2009,2,21571
2010,2,99269
2011,2,64106
2012,2,76659
2013,2,105802
2014,2,275476
2015,2,267141
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,21624
2015,3,31333
2016,3,28251
2017,3,22899
2018,3,8772
2019,3,5354
2020,3,3455
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,3492
2014,4,10911
2015,4,10907
2016,4,25253
2017,4,26185
2018,4,22421
2019,4,28858
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,39894
2015,5,32051
2016,5,32485
2017,5,23612
2018,5,23764
2019,5,22680
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,9239
2015,6,7792
2016,6,12453
2017,6,11522
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,65745
2013,7,78547
2014,7,90292
2015,7,108907
2016,7,149068
2017,7,243521
2018,7,221439
2019,7,
2020,7,
2008,8,383060
2009,8,319545
2010,8,323058
2011,8,420536
2012,8,445695
2013,8,436332
2014,8,485909
2015,8,363606
2016,8,442252
2017,8,519723
2018,8,481521
2019,8,651822
2020,8,934333
2008,9,670939
2009,9,848926
2010,9,875522
2011,9,860859
2012,9,870264
2013,9,938685
2014,9,1013697
2015,9,1054192
2016,9,1104771
2017,9,1000994
2018,9,1052479
2019,9,1008992
2020,9,1052791
2008,10,405480
2009,10,556342
2010,10,527848
2011,10,487786
2012,10,479210
2013,10,542970
2014,10,591015
2015,10,602581
2016,10,689787
2017,10,574763
2018,10,617962
2019,10,620490
2020,10,653710
2008,11,36776
2009,11,74753
2010,11,95777
2011,11,110171
2012,11,100506
2013,11,86220
2014,11,77888
2015,11,96255
2016,11,69388
2017,11,37439
2018,11,43520
2019,11,87188
2020,11,96766
2008,12,413827
2009,12,302932
2010,12,242574
2011,12,235142
2012,12,122936
2013,12,96832
2014,12,87352
2015,12,85280
2016,12,45583
2017,12,27929
2018,12,26804
2019,12,32694
2020,12,26692
2008,13,304818
2009,13,278776
2010,13,229699
2011,13,395167
2012,13,374567
2013,13,415974
2014,13,413199
2015,13,451785
2016,13,406405
2017,13,368971
2018,13,357769
2019,13,494122
2020,13,572961
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,
2013,17,317304
2014,17,510220
2015,17,2260390
2016,17,1848041
2017,17,1806181
2018,17,1927167
2019,17,2089737
2020,17,2724745
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,654
2016,18,1124
2017,18,775
2018,18,1717
2019,18,1420
2020,18,2704
2008,19,497449
2009,19,841096
2010,19,901572
2011,19,1026000
2012,19,1301800
2013,19,1251300
2014,19,1147000
2015,19,1311900
2016,19,1403900
2017,19,1311200
2018,19,1303300
2019,19,1307200
2020,19,1542400
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,42869
2016,20,38090
2017,20,32962
2018,20,42600
2019,20,43399
2020,20,43728
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,249557
2013,21,231519
2014,21,262235
2015,21,199093
2016,21,260241
2017,21,275169
2018,21,265933
2019,21,354545
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,30544
2012,22,27071
2013,22,28253
2014,22,22902
2015,22,17583
2016,22,12644
2017,22,16091
2018,22,15357
2019,22,25077
2020,22,37503
2008,23,162554
2009,23,162017
2010,23,107294
2011,23,67578
2012,23,81735
2013,23,71067
2014,23,49081
2015,23,63990
2016,23,69107
2017,23,78198
2018,23,79358
2019,23,83391
2020,23,12988
2008,24,164525
2009,24,176047
2010,24,187778
2011,24,217627
2012,24,260826
2013,24,276356
2014,24,314421
2015,24,353239
2016,24,373939
2017,24,379819
2018,24,385846
2019,24,468497
2020,24,523626
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,0
2013,25,0
2014,25,345
2015,25,995
2016,25,711
2017,25,16719
2018,25,40670
2019,25,
2020,25,
2008,26,773096
2009,26,969924
2010,26,906893
2011,26,1125638
2012,26,1272581
2013,26,1349359
2014,26,1558707
2015,26,1928529
2016,26,1991958
2017,26,2301294
2018,26,2623924
2019,26,3016506
2020,26,387280
2008,27,114982
2009,27,102400
2010,27,92332
2011,27,99096
2012,27,106969
2013,27,110031
2014,27,92884
2015,27,100599
2016,27,124777
2017,27,126584
2018,27,135617
2019,27,238122
2020,27,242167
2008,28,531318
2009,28,508043
2010,28,495285
2011,28,509353
2012,28,487573
2013,28,475790
2014,28,400475
2015,28,398022
2016,28,1075194
2017,28,1043979
2018,28,800515
2019,28,765099
2020,28,748569
2008,29,33717
2009,29,39508
2010,29,40923
2011,29,47752
2012,29,39954
2013,29,34881
2014,29,35235
2015,29,31493
2016,29,21833
2017,29,19638
2018,29,
2019,29,
2020,29,
2008,30,410944
2009,30,556690
2010,30,529931
2011,30,563514
2012,30,600903
2013,30,662427
2014,30,622172
2015,30,622765
2016,30,663791
2017,30,704401
2018,30,717624
2019,30,779713
2020,30,322603
2008,31,774
2009,31,1237
2010,31,1284
2011,31,1812
2012,31,1309
2013,31,937
2014,31,4023
2015,31,2940
2016,31,2608
2017,31,2632
2018,31,2144
2019,31,1848
2020,31,
2008,32,192
2009,32,40
2010,32,0
2011,32,1077
2012,32,4141
2013,32,126
2014,32,882
2015,32,475
2016,32,247825
2017,32,252207
2018,32,243408
2019,32,173611
2020,32,164426
2008,33,135285
2009,33,136484
2010,33,118979
2011,33,105940
2012,33,105630
2013,33,104346
2014,33,105721
2015,33,101535
2016,33,98341
2017,33,103389
2018,33,99434
