Date,Id,total intangibles
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,2526
2009,2,28986
2010,2,32006
2011,2,25287
2012,2,38210
2013,2,36945
2014,2,217008
2015,2,216739
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,9802
2015,3,14012
2016,3,10162
2017,3,1972
2018,3,5422
2019,3,5887
2020,3,29564
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,382
2014,4,433
2015,4,1216
2016,4,5249
2017,4,4095
2018,4,4368
2019,4,4922
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,5423
2015,5,4456
2016,5,4831
2017,5,4174
2018,5,3672
2019,5,3170
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,471
2015,6,583
2016,6,863
2017,6,171
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,12478
2013,7,17862
2014,7,18292
2015,7,29554
2016,7,22968
2017,7,20544
2018,7,25931
2019,7,
2020,7,
2008,8,108379
2009,8,103294
2010,8,104193
2011,8,102801
2012,8,103215
2013,8,100397
2014,8,99158
2015,8,99291
2016,8,190263
2017,8,194585
2018,8,209139
2019,8,228281
2020,8,219567
2008,9,827472
2009,9,820265
2010,9,831386
2011,9,827978
2012,9,839146
2013,9,832574
2014,9,846575
2015,9,852211
2016,9,847059
2017,9,826198
2018,9,833805
2019,9,848853
2020,9,866099
2008,10,648234
2009,10,641254
2010,10,652622
2011,10,649420
2012,10,660968
2013,10,654528
2014,10,668354
2015,10,673986
2016,10,668665
2017,10,648977
2018,10,658888
2019,10,676183
2020,10,695646
2008,11,73685
2009,11,73544
2010,11,101058
2011,11,95434
2012,11,91116
2013,11,73307
2014,11,71680
2015,11,61194
2016,11,58873
2017,11,51264
2018,11,51065
2019,11,50858
2020,11,50460
2008,12,4553
2009,12,3732
2010,12,3095
2011,12,2761
2012,12,3211
2013,12,2772
2014,12,2676
2015,12,2252
2016,12,1809
2017,12,1672
2018,12,7326
2019,12,6092
2020,12,5590
2008,13,127255
2009,13,131372
2010,13,133489
2011,13,213526
2012,13,239577
2013,13,285623
2014,13,282996
2015,13,568100
2016,13,281650
2017,13,272608
2018,13,278989
2019,13,272563
2020,13,255384
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,
2013,17,1029345
2014,17,1052440
2015,17,1094988
2016,17,1139576
2017,17,1225638
2018,17,1430979
2019,17,1623120
2020,17,1764472
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,4719
2016,18,5182
2017,18,4030
2018,18,2752
2019,18,1402
2020,18,1390
2008,19,925420
2009,19,1204845
2010,19,1427900
2011,19,1469600
2012,19,1651700
2013,19,1582400
2014,19,1870800
2015,19,1932200
2016,19,2531200
2017,19,2335500
2018,19,2383900
2019,19,2481100
2020,19,2355800
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,85041
2016,20,84903
2017,20,85439
2018,20,87079
2019,20,87929
2020,20,102313
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,49369
2013,21,46525
2014,21,108435
2015,21,117834
2016,21,189423
2017,21,183231
2018,21,182799
2019,21,227016
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,22037
2012,22,20152
2013,22,18494
2014,22,16964
2015,22,18495
2016,22,17988
2017,22,15286
2018,22,15262
2019,22,15332
2020,22,15437
2008,23,72557
2009,23,78962
2010,23,64017
2011,23,53079
2012,23,54618
2013,23,39302
2014,23,44101
2015,23,48729
2016,23,51808
2017,23,53151
2018,23,52818
2019,23,50535
2020,23,25244
2008,24,8842
2009,24,15977
2010,24,27413
2011,24,27950
2012,24,33462
2013,24,33613
2014,24,50070
2015,24,67977
2016,24,73580
2017,24,100269
2018,24,113924
2019,24,151910
2020,24,158474
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,213
2013,25,415
2014,25,447
2015,25,639
2016,25,628
2017,25,1642
2018,25,7952
2019,25,
2020,25,
2008,26,3711
2009,26,3334
2010,26,3716
2011,26,44132
2012,26,107523
2013,26,58971
2014,26,32555
2015,26,47108
2016,26,74026
2017,26,79187
2018,26,53740
2019,26,48295
2020,26,35139
2008,27,16746
2009,27,16165
2010,27,15976
2011,27,15486
2012,27,10564
2013,27,10288
2014,27,10341
2015,27,13732
2016,27,22106
2017,27,22378
2018,27,23692
2019,27,25577
2020,27,23497
2008,28,885726
2009,28,896296
2010,28,920593
2011,28,903187
2012,28,881817
2013,28,773709
2014,28,752495
2015,28,707313
2016,28,683056
2017,28,682602
2018,28,771744
2019,28,722591
2020,28,631169
2008,29,8453
2009,29,8392
2010,29,8255
2011,29,8309
2012,29,8615
2013,29,9073
2014,29,10242
2015,29,10055
2016,29,10041
2017,29,10659
2018,29,
2019,29,
2020,29,
2008,30,7988
2009,30,13695
2010,30,18444
2011,30,20553
2012,30,28025
2013,30,48272
2014,30,80010
2015,30,87150
2016,30,65226
2017,30,5127
2018,30,6397
2019,30,6794
2020,30,10847
2008,31,4039
2009,31,3454
2010,31,2629
2011,31,2204
2012,31,1665
2013,31,1643
2014,31,5108
2015,31,5081
2016,31,4702
2017,31,5071
2018,31,4830
2019,31,4466
2020,31,
2008,32,0
2009,32,0
2010,32,0
2011,32,0
2012,32,0
2013,32,0
2014,32,32
2015,32,46
2016,32,127
2017,32,61
2018,32,37
2019,32,18
2020,32,10
2008,33,5268
2009,33,5253
2010,33,5675
2011,33,6389
2012,33,6498
2013,33,6605
2014,33,6883
2015,33,7134
2016,33,7113
2017,33,7029
2018,33,6695
2019,33,
2020,33,
2008,34,2079335
