Date,Id,total liabilities
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,19151
2009,2,36709
2010,2,170992
2011,2,156187
2012,2,168726
2013,2,194351
2014,2,541127
2015,2,475877
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,37318
2015,3,85415
2016,3,87932
2017,3,62132
2018,3,28816
2019,3,30393
2020,3,92377
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,5893
2014,4,15847
2015,4,59921
2016,4,61216
2017,4,57232
2018,4,51023
2019,4,84171
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,57771
2015,5,46814
2016,5,47132
2017,5,41225
2018,5,52715
2019,5,52197
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,20653
2015,6,37143
2016,6,37886
2017,6,21344
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,102911
2013,7,113304
2014,7,120259
2015,7,153953
2016,7,222729
2017,7,335657
2018,7,304364
2019,7,
2020,7,
2008,8,649739
2009,8,545244
2010,8,620699
2011,8,775313
2012,8,783448
2013,8,822914
2014,8,910561
2015,8,841449
2016,8,1024523
2017,8,1177239
2018,8,1239501
2019,8,1299859
2020,8,1614974
2008,9,1470483
2009,9,1559793
2010,9,1590980
2011,9,1587692
2012,9,1552207
2013,9,1537972
2014,9,1618563
2015,9,1605111
2016,9,1646289
2017,9,1547906
2018,9,1604930
2019,9,1600284
2020,9,1627468
2008,10,964881
2009,10,1094556
2010,10,1056538
2011,10,1018240
2012,10,1003638
2013,10,1008489
2014,10,1097105
2015,10,1090823
2016,10,1176629
2017,10,1066467
2018,10,1134475
2019,10,1179391
2020,10,1222279
2008,11,129043
2009,11,181387
2010,11,182275
2011,11,186581
2012,11,173358
2013,11,153872
2014,11,148101
2015,11,174233
2016,11,160268
2017,11,129421
2018,11,127986
2019,11,142896
2020,11,151402
2008,12,575658
2009,12,404614
2010,12,299461
2011,12,272154
2012,12,156777
2013,12,126850
2014,12,113430
2015,12,109868
2016,12,69835
2017,12,66228
2018,12,66612
2019,12,81675
2020,12,68941
2008,13,568027
2009,13,533700
2010,13,486667
2011,13,743162
2012,13,749470
2013,13,796091
2014,13,840292
2015,13,864223
2016,13,861805
2017,13,854683
2018,13,892521
2019,13,1021098
2020,13,1074371
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,
2013,17,1537650
2014,17,2051398
2015,17,3772180
2016,17,3400442
2017,17,3263077
2018,17,3437150
2019,17,3885401
2020,17,4320622
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,2550
2016,18,5533
2017,18,6852
2018,18,5164
2019,18,9496
2020,18,10887
2008,19,833748
2009,19,1304301
2010,19,1389800
2011,19,1527000
2012,19,1964900
2013,19,1894000
2014,19,1918700
2015,19,2465600
2016,19,2597100
2017,19,2433400
2018,19,2381300
2019,19,2411600
2020,19,2512600
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,97501
2016,20,98404
2017,20,96014
2018,20,102131
2019,20,103970
2020,20,115774
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,379050
2013,21,363808
2014,21,427398
2015,21,349264
2016,21,458803
2017,21,487593
2018,21,478924
2019,21,586715
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,45910
2012,22,41555
2013,22,40938
2014,22,35183
2015,22,31282
2016,22,28687
2017,22,31271
2018,22,29195
2019,22,40041
2020,22,51281
2008,23,237682
2009,23,228766
2010,23,259074
2011,23,113493
2012,23,119806
2013,23,108742
2014,23,99927
2015,23,107741
2016,23,106202
2017,23,112262
2018,23,114019
2019,23,112758
2020,23,45364
2008,24,277556
2009,24,291450
2010,24,301489
2011,24,351721
2012,24,372585
2013,24,398071
2014,24,452303
2015,24,496249
2016,24,518581
2017,24,545768
2018,24,559063
2019,24,667591
2020,24,729734
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,1347
2013,25,1365
2014,25,1605
2015,25,3271
2016,25,2591
2017,25,20998
2018,25,80053
2019,25,
2020,25,
2008,26,1977920
2009,26,2360438
2010,26,2418252
2011,26,2963930
2012,26,3185347
2013,26,3464923
2014,26,3487945
2015,26,3662214
2016,26,3939694
2017,26,4297911
2018,26,4780220
2019,26,5111792
2020,26,2172166
2008,27,232573
2009,27,205677
2010,27,196718
2011,27,200509
2012,27,196795
2013,27,182787
2014,27,175978
2015,27,209504
2016,27,245140
2017,27,247760
2018,27,258062
2019,27,348215
2020,27,348593
2008,28,1155211
2009,28,1127302
2010,28,1152997
2011,28,1150142
2012,28,1181920
2013,28,1043930
2014,28,929375
2015,28,903380
2016,28,1840135
2017,28,1740148
2018,28,1429307
2019,28,1353955
2020,28,1286752
2008,29,78842
2009,29,82033
2010,29,87503
2011,29,75784
2012,29,61742
2013,29,67601
2014,29,64846
2015,29,55946
2016,29,44642
2017,29,44772
2018,29,
2019,29,
2020,29,
2008,30,907588
2009,30,900570
2010,30,858709
2011,30,1094570
2012,30,1007737
2013,30,1125070
2014,30,1147870
2015,30,1262586
2016,30,1146370
2017,30,1156751
2018,30,1217756
2019,30,1230301
2020,30,541167
2008,31,5856
2009,31,6442
2010,31,6216
2011,31,6016
2012,31,4374
2013,31,4778
2014,31,10853
2015,31,7578
2016,31,6848
2017,31,7249
2018,31,6464
2019,31,7758
2020,31,
2008,32,11628
2009,32,12070
2010,32,8496
2011,32,7731
2012,32,13082
2013,32,8240
2014,32,9370
2015,32,9804
2016,32,309540
2017,32,266581
2018,32,256763
2019,32,190803
2020,32,179122
2008,33,247977
2009,33,239162
2010,33,214037
