Date,Id,treasury
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,0
2009,2,0
2010,2,0
2011,2,0
2012,2,0
2013,2,98
2014,2,176
2015,2,32
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,0
2015,3,0
2016,3,0
2017,3,0
2018,3,0
2019,3,0
2020,3,0
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,0
2014,4,26
2015,4,14
2016,4,24
2017,4,24
2018,4,92
2019,4,92
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,0
2015,5,0
2016,5,0
2017,5,0
2018,5,0
2019,5,0
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,0
2015,6,0
2016,6,0
2017,6,0
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,0
2013,7,0
2014,7,0
2015,7,0
2016,7,0
2017,7,0
2018,7,0
2019,7,
2020,7,
2008,8,7200
2009,8,7200
2010,8,7200
2011,8,8735
2012,8,8735
2013,8,8735
2014,8,8735
2015,8,8735
2016,8,8735
2017,8,8735
2018,8,8735
2019,8,10035
2020,8,10035
2008,9,0
2009,9,0
2010,9,2670
2011,9,2670
2012,9,2670
2013,9,0
2014,9,0
2015,9,0
2016,9,0
2017,9,0
2018,9,0
2019,9,0
2020,9,0
2008,10,26526
2009,10,27547
2010,10,4883
2011,10,6844
2012,10,11727
2013,10,840
2014,10,2467
2015,10,16
2016,10,3055
2017,10,0
2018,10,794
2019,10,899
2020,10,1029
2008,11,0
2009,11,0
2010,11,0
2011,11,0
2012,11,0
2013,11,0
2014,11,0
2015,11,0
2016,11,0
2017,11,0
2018,11,0
2019,11,0
2020,11,0
2008,12,24
2009,12,23
2010,12,23
2011,12,23
2012,12,23
2013,12,23
2014,12,23
2015,12,23
2016,12,23
2017,12,16
2018,12,16
2019,12,16
2020,12,16
2008,13,1956
2009,13,1956
2010,13,1956
2011,13,3253
2012,13,3768
2013,13,3763
2014,13,3430
2015,13,3252
2016,13,2878
2017,13,2698
2018,13,2486
2019,13,2260
2020,13,2122
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,
2013,17,0
2014,17,0
2015,17,0
2016,17,5003
2017,17,4974
2018,17,6008
2019,17,8642
2020,17,9178
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,0
2016,18,0
2017,18,0
2018,18,0
2019,18,0
2020,18,0
2008,19,7763
2009,19,9816
2010,19,4554
2011,19,6693
2012,19,8996
2013,19,10234
2014,19,7763
2015,19,3443
2016,19,2685
2017,19,9053
2018,19,14982
2019,19,13704
2020,19,55784
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,0
2016,20,0
2017,20,49
2018,20,154
2019,20,234
2020,20,38
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,0
2013,21,0
2014,21,0
2015,21,0
2016,21,0
2017,21,0
2018,21,0
2019,21,0
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,0
2012,22,0
2013,22,0
2014,22,0
2015,22,0
2016,22,0
2017,22,0
2018,22,0
2019,22,0
2020,22,0
2008,23,50
2009,23,50
2010,23,50
2011,23,50
2012,23,50
2013,23,50
2014,23,50
2015,23,50
2016,23,50
2017,23,50
2018,23,315
2019,23,865
2020,23,757
2008,24,0
2009,24,0
2010,24,
2011,24,0
2012,24,0
2013,24,0
2014,24,0
2015,24,0
2016,24,0
2017,24,0
2018,24,0
2019,24,0
2020,24,0
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,0
2013,25,0
2014,25,0
2015,25,0
2016,25,0
2017,25,0
2018,25,0
2019,25,
2020,25,
2008,26,1170
2009,26,992
2010,26,822
2011,26,611
2012,26,608
2013,26,520
2014,26,897
2015,26,801
2016,26,657
2017,26,540
2018,26,554
2019,26,554
2020,26,16984
2008,27,432
2009,27,432
2010,27,432
2011,27,432
2012,27,432
2013,27,432
2014,27,432
2015,27,432
2016,27,432
2017,27,432
2018,27,432
2019,27,432
2020,27,432
2008,28,0
2009,28,0
2010,28,0
2011,28,0
2012,28,0
2013,28,0
2014,28,0
2015,28,0
2016,28,0
2017,28,0
2018,28,0
2019,28,0
2020,28,0
2008,29,58
2009,29,58
2010,29,58
2011,29,58
2012,29,58
2013,29,58
2014,29,58
2015,29,58
2016,29,58
2017,29,58
2018,29,
2019,29,
2020,29,
2008,30,64
2009,30,0
2010,30,0
2011,30,18
2012,30,20
2013,30,20
2014,30,14
2015,30,22
2016,30,22
2017,30,22
2018,30,22
2019,30,22
2020,30,22
2008,31,
2009,31,
2010,31,
2011,31,
2012,31,0
2013,31,0
2014,31,0
2015,31,0
2016,31,0
2017,31,0
2018,31,0
2019,31,0
2020,31,
2008,32,0
2009,32,0
2010,32,0
2011,32,0
2012,32,0
2013,32,0
2014,32,0
2015,32,0
2016,32,0
2017,32,0
2018,32,0
2019,32,0
2020,32,0
2008,33,1069
2009,33,915
2010,33,999
2011,33,2230
2012,33,3143
2013,33,4079
2014,33,3222
2015,33,3074
2016,33,3095
2017,33,3069
2018,33,3069
2019,33,
2020,33,
2008,34,4455
2009,34,4455
2010,34,4455
2011,34,4455
2012,34,4455
2013,34,4455
2014,34,3862
2015,34,3862
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,0
2009,35,0
2010,35,0
2011,35,0
2012,35,0
2013,35,0
2014,35,0
2015,35,0
2016,35,0
2017,35,0
2018,35,0
2019,35,0
2020,35,0
2008,36,805
2009,36,757
2010,36,703
2011,36,640
2012,36,529
2013,36,529
2014,36,529
2015,36,529
2016,36,529
