Date,Id,working capital
2008,1,
2009,1,
2010,1,
2011,1,
2012,1,
2013,1,
2014,1,
2015,1,
2016,1,
2017,1,
2018,1,
2019,1,
2020,1,
2008,2,-439
2009,2,-188
2010,2,-8900
2011,2,-6418
2012,2,-32059
2013,2,-8380
2014,2,-34527
2015,2,-80545
2016,2,
2017,2,
2018,2,
2019,2,
2020,2,
2008,3,
2009,3,
2010,3,
2011,3,
2012,3,
2013,3,
2014,3,4214
2015,3,-680
2016,3,-9629
2017,3,-6759
2018,3,6770
2019,3,4093
2020,3,10678
2008,4,
2009,4,
2010,4,
2011,4,
2012,4,
2013,4,2276
2014,4,4274
2015,4,7908
2016,4,9027
2017,4,20648
2018,4,5629
2019,4,5265
2020,4,
2008,5,
2009,5,
2010,5,
2011,5,
2012,5,
2013,5,
2014,5,-14364
2015,5,-11403
2016,5,-10197
2017,5,-7405
2018,5,-8702
2019,5,-6333
2020,5,
2008,6,
2009,6,
2010,6,
2011,6,
2012,6,
2013,6,
2014,6,3150
2015,6,3152
2016,6,7424
2017,6,2034
2018,6,
2019,6,
2020,6,
2008,7,
2009,7,
2010,7,
2011,7,
2012,7,-13332
2013,7,-13767
2014,7,-12710
2015,7,-25896
2016,7,-40715
2017,7,-59131
2018,7,-40095
2019,7,
2020,7,
2008,8,51953
2009,8,-4901
2010,8,118918
2011,8,72268
2012,8,67410
2013,8,59497
2014,8,154780
2015,8,175985
2016,8,159326
2017,8,267057
2018,8,141680
2019,8,233358
2020,8,568753
2008,9,-321613
2009,9,-119877
2010,9,-141835
2011,9,-278900
2012,9,-402431
2013,9,-275436
2014,9,-340071
2015,9,-329380
2016,9,-458742
2017,9,-380167
2018,9,-429757
2019,9,-394803
2020,9,-413803
2008,10,-169392
2009,10,31352
2010,10,-40269
2011,10,-134569
2012,10,-159652
2013,10,-135500
2014,10,-84682
2015,10,-110372
2016,10,-99656
2017,10,-145214
2018,10,-78587
2019,10,-156030
2020,10,-190975
2008,11,60670
2009,11,93443
2010,11,89931
2011,11,53244
2012,11,58573
2013,11,14387
2014,11,27558
2015,11,-7739
2016,11,2225
2017,11,24525
2018,11,13503
2019,11,22709
2020,11,25854
2008,12,-10331
2009,12,-2951
2010,12,95003
2011,12,-65395
2012,12,68072
2013,12,-23023
2014,12,37485
2015,12,26060
2016,12,8130
2017,12,35158
2018,12,27237
2019,12,12215
2020,12,10285
2008,13,106515
2009,13,65360
2010,13,31856
2011,13,111225
2012,13,27098
2013,13,72089
2014,13,57284
2015,13,36261
2016,13,-46869
2017,13,-3085
2018,13,-68995
2019,13,-31421
2020,13,-36548
2008,14,
2009,14,
2010,14,
2011,14,
2012,14,
2013,14,
2014,14,
2015,14,
2016,14,
2017,14,
2018,14,
2019,14,
2020,14,
2008,15,
2009,15,
2010,15,
2011,15,
2012,15,
2013,15,
2014,15,
2015,15,
2016,15,
2017,15,
2018,15,
2019,15,
2020,15,
2008,16,
2009,16,
2010,16,
2011,16,
2012,16,
2013,16,
2014,16,
2015,16,
2016,16,
2017,16,
2018,16,
2019,16,
2020,16,
2008,17,
2009,17,
2010,17,
2011,17,
2012,17,
2013,17,908663
2014,17,1125649
2015,17,-107742
2016,17,211245
2017,17,560837
2018,17,921269
2019,17,742324
2020,17,815509
2008,18,
2009,18,
2010,18,
2011,18,
2012,18,
2013,18,
2014,18,
2015,18,-167
2016,18,354
2017,18,4405
2018,18,1954
2019,18,-655
2020,18,-1859
2008,19,261470
2009,19,328298
2010,19,478400
2011,19,518500
2012,19,771600
2013,19,772800
2014,19,578300
2015,19,897400
2016,19,708700
2017,19,928300
2018,19,890900
2019,19,559100
2020,19,799900
2008,20,
2009,20,
2010,20,
2011,20,
2012,20,
2013,20,
2014,20,
2015,20,17569
2016,20,18904
2017,20,16983
2018,20,16556
2019,20,20146
2020,20,18778
2008,21,
2009,21,
2010,21,
2011,21,
2012,21,47400
2013,21,40511
2014,21,44808
2015,21,71836
2016,21,92870
2017,21,105389
2018,21,95019
2019,21,57132
2020,21,
2008,22,
2009,22,
2010,22,
2011,22,35117
2012,22,41589
2013,22,40206
2014,22,41147
2015,22,56798
2016,22,49361
2017,22,41449
2018,22,44527
2019,22,34664
2020,22,47576
2008,23,-23927
2009,23,-19575
2010,23,-26664
2011,23,-7467
2012,23,-1938
2013,23,-7506
2014,23,33770
2015,23,42820
2016,23,55011
2017,23,60398
2018,23,49931
2019,23,41936
2020,23,61947
2008,24,142892
2009,24,154027
2010,24,163379
2011,24,194265
2012,24,221439
2013,24,216671
2014,24,225249
2015,24,240016
2016,24,282547
2017,24,262286
2018,24,279626
2019,24,283829
2020,24,382361
2008,25,
2009,25,
2010,25,
2011,25,
2012,25,104
2013,25,-111
2014,25,4956
2015,25,14745
2016,25,13284
2017,25,54909
2018,25,13982
2019,25,
2020,25,
2008,26,539973
2009,26,596108
2010,26,602057
2011,26,524147
2012,26,487069
2013,26,758063
2014,26,829179
2015,26,694844
2016,26,881281
2017,26,466119
2018,26,-2804703
2019,26,-2666256
2020,26,827612
2008,27,83932
2009,27,105452
2010,27,104731
2011,27,96540
2012,27,114889
2013,27,95529
2014,27,87943
2015,27,96976
2016,27,102479
2017,27,112982
2018,27,104804
2019,27,69570
2020,27,111195
2008,28,436477
2009,28,348628
2010,28,276956
2011,28,188187
2012,28,156648
2013,28,258287
2014,28,307929
2015,28,362883
2016,28,695029
2017,28,934675
2018,28,540183
2019,28,531332
2020,28,292424
2008,29,23933
2009,29,24269
2010,29,19770
2011,29,16468
2012,29,14622
2013,29,14595
2014,29,14590
2015,29,15729
2016,29,17635
2017,29,16312
2018,29,
2019,29,
2020,29,
2008,30,166381
2009,30,335480
2010,30,314183
2011,30,384853
2012,30,320636
2013,30,286722
2014,30,465369
2015,30,446235
2016,30,106705
2017,30,-269009
2018,30,-456592
2019,30,-528755
2020,30,13231
2008,31,157
2009,31,-894
2010,31,-1560
2011,31,-1246
2012,31,-1559
2013,31,-2113
2014,31,-2644
2015,31,-1478
2016,31,-1621
2017,31,-394
2018,31,338
2019,31,956
2020,31,
2008,32,91955
2009,32,69016
2010,32,63849
2011,32,62321
2012,32,38652
2013,32,37799
2014,32,38059
2015,32,38226
2016,32,171400
2017,32,174674
2018,32,93724
2019,32,-1673
2020,32,109
2008,33,77146
2009,33,85932
2010,33,97712
2011,33,65663
